"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","numBlurs","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"pavlovia","0","11","0.0-0.0","6362aca86b740b1ec4cb6efb","bdp_bc","Mon Mar 27 2023 16:51:35 GMT-0400 (Eastern Daylight Time)","169229","","","","","","","","","","","","","","",""
"instructions","1","1910","0.0-1.0","6362aca86b740b1ec4cb6efb","bdp_bc","Mon Mar 27 2023 16:51:35 GMT-0400 (Eastern Daylight Time)","169229","[{""page_index"":0,""viewing_time"":1898}]","1898","","","","","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_bc","Mon Mar 27 2023 16:51:35 GMT-0400 (Eastern Daylight Time)","169229","","","blur","2","3605","blurevent","1","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_bc","Mon Mar 27 2023 16:51:35 GMT-0400 (Eastern Daylight Time)","169229","","","focus","2","3614","focusevent","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_bc","Mon Mar 27 2023 16:51:35 GMT-0400 (Eastern Daylight Time)","169229","","","blur","2","3615","blurevent","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_bc","Mon Mar 27 2023 16:51:35 GMT-0400 (Eastern Daylight Time)","169229","","","fullscreenenter","2","3622","fullscreenenter","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_bc","Mon Mar 27 2023 16:51:35 GMT-0400 (Eastern Daylight Time)","169229","","","focus","2","3873","focusevent","","","","","","","","",""
"fullscreen","2","4591","0.0-2.0","6362aca86b740b1ec4cb6efb","bdp_bc","Mon Mar 27 2023 16:51:35 GMT-0400 (Eastern Daylight Time)","169229","","","","","","","","true","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_bc","Mon Mar 27 2023 16:51:35 GMT-0400 (Eastern Daylight Time)","169229","","","fullscreenexit","3","5568","fullscreenexit","","","","","","","","",""
"instructions","3","119717","0.0-4.0","6362aca86b740b1ec4cb6efb","bdp_bc","Mon Mar 27 2023 16:51:35 GMT-0400 (Eastern Daylight Time)","169229","[{""page_index"":0,""viewing_time"":14367},{""page_index"":1,""viewing_time"":21577},{""page_index"":2,""viewing_time"":12492},{""page_index"":3,""viewing_time"":3123},{""page_index"":4,""viewing_time"":47361},{""page_index"":5,""viewing_time"":8393},{""page_index"":6,""viewing_time"":3128},{""page_index"":7,""viewing_time"":4681}]","115123","","","","","","","","","","","","",""
