"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","response","stimulus","group","fraction","maxAmt","sliderStart","numBlurs","key_press"
"pavlovia","0","2","0.0-0.0","6362406ab7caf5fc96bb61c8","bdp_bc","Sat Mar 25 2023 21:14:23 GMT-0400 (Eastern Daylight Time)","283849","","","","","","","","","","","","","","",""
"instructions","1","2299","0.0-1.0","6362406ab7caf5fc96bb61c8","bdp_bc","Sat Mar 25 2023 21:14:23 GMT-0400 (Eastern Daylight Time)","283849","[{""page_index"":0,""viewing_time"":2296}]","2296","","","","","","","","","","","","",""
"","","","","6362406ab7caf5fc96bb61c8","bdp_bc","Sat Mar 25 2023 21:14:23 GMT-0400 (Eastern Daylight Time)","283849","","","fullscreenenter","2","5111","fullscreenenter","","","","","","","","",""
"fullscreen","2","6102","0.0-2.0","6362406ab7caf5fc96bb61c8","bdp_bc","Sat Mar 25 2023 21:14:23 GMT-0400 (Eastern Daylight Time)","283849","","","","","","","true","","","","","","","",""
"instructions","3","91014","0.0-4.0","6362406ab7caf5fc96bb61c8","bdp_bc","Sat Mar 25 2023 21:14:23 GMT-0400 (Eastern Daylight Time)","283849","[{""page_index"":0,""viewing_time"":23747},{""page_index"":1,""viewing_time"":15699},{""page_index"":2,""viewing_time"":20013},{""page_index"":3,""viewing_time"":3721},{""page_index"":4,""viewing_time"":7901},{""page_index"":5,""viewing_time"":1120},{""page_index"":6,""viewing_time"":5710},{""page_index"":7,""viewing_time"":7001}]","84912","","","","","","","","","","","","",""
"html-slider-response","4","108338","0.0-5.0-1.0","6362406ab7caf5fc96bb61c8","bdp_bc","Sat Mar 25 2023 21:14:23 GMT-0400 (Eastern Daylight Time)","283849","","17322","","","","decision","","39","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","your acquaintances","2/3 or 67%","","50","",""
"html-slider-response","5","118420","0.0-5.0-1.1","6362406ab7caf5fc96bb61c8","bdp_bc","Sat Mar 25 2023 21:14:23 GMT-0400 (Eastern Daylight Time)","283849","","10082","","","","decision","","34","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","complete strangers","1/2 or 50%","","50","",""
"html-slider-response","6","131822","0.0-5.0-1.2","6362406ab7caf5fc96bb61c8","bdp_bc","Sat Mar 25 2023 21:14:23 GMT-0400 (Eastern Daylight Time)","283849","","13401","","","","decision","","35","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","your high school classmates","1/3 or 33%","","50","",""
"html-slider-response","7","151906","0.0-5.0-1.3","6362406ab7caf5fc96bb61c8","bdp_bc","Sat Mar 25 2023 21:14:23 GMT-0400 (Eastern Daylight Time)","283849","","20082","","","","decision","","56","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","your closest friends","3/4 or 75%","","50","",""
"","","","","6362406ab7caf5fc96bb61c8","bdp_bc","Sat Mar 25 2023 21:14:23 GMT-0400 (Eastern Daylight Time)","283849","","","fullscreenexit","8","155208","fullscreenexit","","","","","","","","",""
"","","","","6362406ab7caf5fc96bb61c8","bdp_bc","Sat Mar 25 2023 21:14:23 GMT-0400 (Eastern Daylight Time)","283849","","","blur","8","159087","blurevent","","","","","","","","1",""
"","","","","6362406ab7caf5fc96bb61c8","bdp_bc","Sat Mar 25 2023 21:14:23 GMT-0400 (Eastern Daylight Time)","283849","","","focus","8","173377","focusevent","","","","","","","","",""
