"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","numBlurs","response","stimulus","group","fraction","maxAmt","sliderStart","key_press"
"pavlovia","0","3","0.0-0.0","61086469e5457fed4f164b8e","bdp_bc","Wed Mar 29 2023 12:29:17 GMT-0700 (Pacific Daylight Time)","368496","","","","","","","","","","","","","","",""
"instructions","1","3979","0.0-1.0","61086469e5457fed4f164b8e","bdp_bc","Wed Mar 29 2023 12:29:17 GMT-0700 (Pacific Daylight Time)","368496","[{""page_index"":0,""viewing_time"":3975}]","3975","","","","","","","","","","","","",""
"","","","","61086469e5457fed4f164b8e","bdp_bc","Wed Mar 29 2023 12:29:17 GMT-0700 (Pacific Daylight Time)","368496","","","fullscreenenter","2","6344","fullscreenenter","","","","","","","","",""
"fullscreen","2","7311","0.0-2.0","61086469e5457fed4f164b8e","bdp_bc","Wed Mar 29 2023 12:29:17 GMT-0700 (Pacific Daylight Time)","368496","","","","","","","true","","","","","","","",""
"instructions","3","178783","0.0-4.0","61086469e5457fed4f164b8e","bdp_bc","Wed Mar 29 2023 12:29:17 GMT-0700 (Pacific Daylight Time)","368496","[{""page_index"":0,""viewing_time"":86306},{""page_index"":1,""viewing_time"":17241},{""page_index"":2,""viewing_time"":31264},{""page_index"":3,""viewing_time"":7756},{""page_index"":4,""viewing_time"":7919},{""page_index"":5,""viewing_time"":4341},{""page_index"":6,""viewing_time"":3631},{""page_index"":7,""viewing_time"":13012}]","171471","","","","","","","","","","","","",""
"","","","","61086469e5457fed4f164b8e","bdp_bc","Wed Mar 29 2023 12:29:17 GMT-0700 (Pacific Daylight Time)","368496","","","blur","4","214164","blurevent","","1","","","","","","",""
"","","","","61086469e5457fed4f164b8e","bdp_bc","Wed Mar 29 2023 12:29:17 GMT-0700 (Pacific Daylight Time)","368496","","","focus","4","219966","focusevent","","","","","","","","",""
"html-slider-response","4","225567","0.0-5.0-1.0","61086469e5457fed4f164b8e","bdp_bc","Wed Mar 29 2023 12:29:17 GMT-0700 (Pacific Daylight Time)","368496","","46781","blur","4","214164","decision","","1","9","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","other prolific workers","3/4 or 75%","","50",""
"image-keyboard-response","5","232064","0.0-5.0-0.1-0.1","61086469e5457fed4f164b8e","bdp_bc","Wed Mar 29 2023 12:29:17 GMT-0700 (Pacific Daylight Time)","368496","","6495","","","","blurwarn","","1","","","","","","","49"
"html-slider-response","6","243108","0.0-5.0-1.1","61086469e5457fed4f164b8e","bdp_bc","Wed Mar 29 2023 12:29:17 GMT-0700 (Pacific Daylight Time)","368496","","10792","","","","decision","","","4","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","your high school classmates","1/3 or 33%","","50",""
"html-slider-response","7","252941","0.0-5.0-1.2","61086469e5457fed4f164b8e","bdp_bc","Wed Mar 29 2023 12:29:17 GMT-0700 (Pacific Daylight Time)","368496","","9832","","","","decision","","","19","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","your closest friends","2/3 or 67%","","50",""
"html-slider-response","8","259925","0.0-5.0-1.3","61086469e5457fed4f164b8e","bdp_bc","Wed Mar 29 2023 12:29:17 GMT-0700 (Pacific Daylight Time)","368496","","6983","","","","decision","","","25","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","your acquaintances","1/2 or 50%","","50",""
