"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"pavlovia","0","5","0.0-0.0","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","","","","","","","","","","","","","",""
"instructions","1","859","0.0-1.0","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","[{""page_index"":0,""viewing_time"":852}]","853","","","","","","","","","","","",""
"","","","","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","","","fullscreenexit","2","3557","fullscreenexit","","","","","","","",""
"fullscreen","2","4321","0.0-2.0","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","","","","","","","true","","","","","","",""
"image-keyboard-response","3","6278","0.0-3.0-0.0","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","","1951","","","","fullscreenfail","","","32","","","","",""
"instructions","4","140609","0.0-4.0","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","[{""page_index"":0,""viewing_time"":43390},{""page_index"":1,""viewing_time"":26192},{""page_index"":2,""viewing_time"":22929},{""page_index"":3,""viewing_time"":6437},{""page_index"":4,""viewing_time"":6859},{""page_index"":5,""viewing_time"":5852},{""page_index"":6,""viewing_time"":2993},{""page_index"":7,""viewing_time"":19421}]","134073","","","","","","","","","","","",""
"html-slider-response","5","176868","0.0-5.0-1.0","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","","36251","","","","decision","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","","44","your closest friends","2/3 or 67%","","50"
"html-slider-response","6","196810","0.0-5.0-1.1","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","","19940","","","","decision","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","","13","your high school classmates","1/3 or 33%","","50"
"html-slider-response","7","209004","0.0-5.0-1.2","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","","12188","","","","decision","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","","27","your acquaintances","1/2 or 50%","","50"
"html-slider-response","8","225349","0.0-5.0-1.3","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","","16339","","","","decision","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","12","other prolific workers","1/4 or 25%","","50"
"html-slider-response","9","233810","0.0-5.0-1.4","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","","8457","","","","decision","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","","40","complete strangers","3/4 or 75%","","50"
"instructions","10","239013","0.0-6.0","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","[{""page_index"":0,""viewing_time"":5202}]","5202","","","","","","","","","","","",""
"html-slider-response","11","247828","0.0-7.0-1.0","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","","8812","","","","simRating","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","4","your acquaintances","","",""
"html-slider-response","12","253607","0.0-7.0-1.1","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","","5777","","","","simRating","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","6","complete strangers","","",""
"html-slider-response","13","258710","0.0-7.0-1.2","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","","5099","","","","simRating","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","7","your closest friends","","",""
"html-slider-response","14","262739","0.0-7.0-1.3","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","","4025","","","","simRating","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","6","other prolific workers","","",""
"html-slider-response","15","274603","0.0-7.0-1.4","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","","11862","","","","simRating","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","7","your high school classmates","","",""
"instructions","16","282079","0.0-8.0","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","[{""page_index"":0,""viewing_time"":7474}]","7474","","","","","","","","","","","",""
"html-slider-response","17","287620","0.0-9.0-1.0","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","","5539","","","","abilRating","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","6","complete strangers","","",""
"html-slider-response","18","291999","0.0-9.0-1.1","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","","4375","","","","abilRating","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","6","your acquaintances","","",""
"html-slider-response","19","297572","0.0-9.0-1.2","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","","5572","","","","abilRating","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","9","your closest friends","","",""
"html-slider-response","20","301489","0.0-9.0-1.3","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","","3914","","","","abilRating","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","6","your high school classmates","","",""
"html-slider-response","21","305282","0.0-9.0-1.4","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","","3790","","","","abilRating","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","8","other prolific workers","","",""
"","","","","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","","","fullscreenexit","22","305579","fullscreenexit","","","","","","","",""
"fullscreen","22","306286","0.0-10.0","63b6c76ff03d438cd09b8c56","bdp_bc","Tue Mar 28 2023 10:15:42 GMT-0400 (Eastern Daylight Time)","306287","","","","","","","true","","","","","","",""
"html-keyboard-response","23","306798","0.0-11.0","","","","","","null","","","","","","","null","","","","",""
