"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"pavlovia","0","2","0.0-0.0","63dab0380b8791f9560fd329","bdp_bc","Tue Mar 28 2023 11:41:20 GMT-0500 (Central Daylight Time)","236743","","","","","","","","","","","","","","",""
"","","","","63dab0380b8791f9560fd329","bdp_bc","Tue Mar 28 2023 11:41:20 GMT-0500 (Central Daylight Time)","236743","blur","1","5084","blurevent","1","","","","","","","","","",""
"","","","","63dab0380b8791f9560fd329","bdp_bc","Tue Mar 28 2023 11:41:20 GMT-0500 (Central Daylight Time)","236743","focus","1","5381","focusevent","","","","","","","","","","",""
"instructions","1","9819","0.0-1.0","63dab0380b8791f9560fd329","bdp_bc","Tue Mar 28 2023 11:41:20 GMT-0500 (Central Daylight Time)","236743","","","","","","[{""page_index"":0,""viewing_time"":9817}]","9817","","","","","","","",""
"","","","","63dab0380b8791f9560fd329","bdp_bc","Tue Mar 28 2023 11:41:20 GMT-0500 (Central Daylight Time)","236743","fullscreenenter","2","11197","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","12185","0.0-2.0","63dab0380b8791f9560fd329","bdp_bc","Tue Mar 28 2023 11:41:20 GMT-0500 (Central Daylight Time)","236743","","","","","","","","true","","","","","","",""
"instructions","3","154095","0.0-4.0","63dab0380b8791f9560fd329","bdp_bc","Tue Mar 28 2023 11:41:20 GMT-0500 (Central Daylight Time)","236743","","","","","","[{""page_index"":0,""viewing_time"":32622},{""page_index"":1,""viewing_time"":16802},{""page_index"":2,""viewing_time"":9482},{""page_index"":3,""viewing_time"":2563},{""page_index"":4,""viewing_time"":2204},{""page_index"":5,""viewing_time"":2053},{""page_index"":6,""viewing_time"":999},{""page_index"":7,""viewing_time"":75184}]","141909","","","","","","","",""
"image-keyboard-response","4","165275","0.0-5.0-0.0-0.0","63dab0380b8791f9560fd329","bdp_bc","Tue Mar 28 2023 11:41:20 GMT-0500 (Central Daylight Time)","236743","","","","blurwarn","1","","11179","","","49","","","","",""
"html-slider-response","5","183239","0.0-5.0-1.0","63dab0380b8791f9560fd329","bdp_bc","Tue Mar 28 2023 11:41:20 GMT-0500 (Central Daylight Time)","236743","","","","decision","","","17710","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","40","other prolific workers","1/2 or 50%","","50"
"html-slider-response","6","187790","0.0-5.0-1.1","63dab0380b8791f9560fd329","bdp_bc","Tue Mar 28 2023 11:41:20 GMT-0500 (Central Daylight Time)","236743","","","","decision","","","4551","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","","34","your closest friends","1/4 or 25%","","50"
