"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","numBlurs","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"pavlovia","0","4","0.0-0.0","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","","","","","","","","","","","","","","",""
"instructions","1","73403","0.0-1.0","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","[{""page_index"":0,""viewing_time"":73398}]","73398","","","","","","","","","","","","",""
"","","","","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","","","blur","2","83799","blurevent","1","","","","","","","",""
"","","","","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","","","focus","2","86035","focusevent","","","","","","","","",""
"","","","","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","","","fullscreenenter","2","89880","fullscreenenter","","","","","","","","",""
"fullscreen","2","90866","0.0-2.0","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","","","","","","","","true","","","","","","",""
"instructions","3","216529","0.0-4.0","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","[{""page_index"":0,""viewing_time"":75853},{""page_index"":1,""viewing_time"":12364},{""page_index"":2,""viewing_time"":16513},{""page_index"":3,""viewing_time"":6761},{""page_index"":4,""viewing_time"":1558},{""page_index"":5,""viewing_time"":3253},{""page_index"":6,""viewing_time"":1649},{""page_index"":7,""viewing_time"":7711}]","125662","","","","","","","","","","","","",""
"image-keyboard-response","4","222761","0.0-5.0-0.0-0.0","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","","6230","","","","blurwarn","1","","","49","","","","",""
"html-slider-response","5","228982","0.0-5.0-1.0","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","","5967","","","","decision","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","","15","your closest friends","1/2 or 50%","","50"
"html-slider-response","6","235884","0.0-5.0-1.1","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","","6899","","","","decision","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","22","other prolific workers","3/4 or 75%","","50"
"html-slider-response","7","252208","0.0-5.0-1.2","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","","16320","","","","decision","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","","28","complete strangers","1/3 or 33%","","50"
"html-slider-response","8","254497","0.0-5.0-1.3","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","","2286","","","","decision","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","","12","your acquaintances","1/4 or 25%","","50"
"html-slider-response","9","265035","0.0-5.0-1.4","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","","10537","","","","decision","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","","17","your high school classmates","2/3 or 67%","","50"
"instructions","10","273242","0.0-6.0","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","[{""page_index"":0,""viewing_time"":8206}]","8206","","","","","","","","","","","","",""
"html-slider-response","11","278903","0.0-7.0-1.0","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","","5658","","","","simRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","8","your acquaintances","","",""
"html-slider-response","12","281861","0.0-7.0-1.1","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","","2957","","","","simRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","6","your high school classmates","","",""
"html-slider-response","13","284730","0.0-7.0-1.2","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","","2867","","","","simRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","3","other prolific workers","","",""
"html-slider-response","14","288284","0.0-7.0-1.3","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","","3553","","","","simRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","7","your closest friends","","",""
"html-slider-response","15","293045","0.0-7.0-1.4","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","","4758","","","","simRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","2","complete strangers","","",""
"instructions","16","299161","0.0-8.0","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","[{""page_index"":0,""viewing_time"":6114}]","6115","","","","","","","","","","","","",""
"html-slider-response","17","303959","0.0-9.0-1.0","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","","4796","","","","abilRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","3","complete strangers","","",""
"html-slider-response","18","307935","0.0-9.0-1.1","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","","3974","","","","abilRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","6","other prolific workers","","",""
"html-slider-response","19","311443","0.0-9.0-1.2","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","","3505","","","","abilRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","7","your closest friends","","",""
"html-slider-response","20","314475","0.0-9.0-1.3","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","","3030","","","","abilRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","5","your acquaintances","","",""
"html-slider-response","21","316781","0.0-9.0-1.4","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","","2303","","","","abilRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","7","your high school classmates","","",""
"","","","","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","","","fullscreenexit","22","316794","fullscreenexit","","","","","","","","",""
"fullscreen","22","317784","0.0-10.0","5f507fb3e29c991f68f5879a","bdp_bc","Tue Apr 11 2023 23:29:18 GMT-0500 (Central Daylight Time)","317785","","","","","","","","true","","","","","","",""
"html-keyboard-response","23","318288","0.0-11.0","","","","","","null","","","","","","","","null","","","","",""
