"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"focus","0","0","focusevent","5e03f8517f08edece67a3137","bdp_bc","Sat Mar 25 2023 17:38:30 GMT-0700 (Pacific Daylight Time)","1011293","","","","","","","","","","","","","",""
"","","","","5e03f8517f08edece67a3137","bdp_bc","Sat Mar 25 2023 17:38:30 GMT-0700 (Pacific Daylight Time)","1011293","pavlovia","0","8","0.0-0.0","","","","","","","","","",""
"","","","","5e03f8517f08edece67a3137","bdp_bc","Sat Mar 25 2023 17:38:30 GMT-0700 (Pacific Daylight Time)","1011293","instructions","1","5642","0.0-1.0","[{""page_index"":0,""viewing_time"":5632}]","5632","","","","","","","",""
"fullscreenexit","2","7359","fullscreenexit","5e03f8517f08edece67a3137","bdp_bc","Sat Mar 25 2023 17:38:30 GMT-0700 (Pacific Daylight Time)","1011293","","","","","","","","","","","","","",""
"","","","","5e03f8517f08edece67a3137","bdp_bc","Sat Mar 25 2023 17:38:30 GMT-0700 (Pacific Daylight Time)","1011293","fullscreen","2","8150","0.0-2.0","","","true","","","","","","",""
"","","","fullscreenfail","5e03f8517f08edece67a3137","bdp_bc","Sat Mar 25 2023 17:38:30 GMT-0700 (Pacific Daylight Time)","1011293","image-keyboard-response","3","8946","0.0-3.0-0.0","","793","","","32","","","","",""
"","","","","5e03f8517f08edece67a3137","bdp_bc","Sat Mar 25 2023 17:38:30 GMT-0700 (Pacific Daylight Time)","1011293","instructions","4","677090","0.0-4.0","[{""page_index"":0,""viewing_time"":59437},{""page_index"":1,""viewing_time"":117601},{""page_index"":2,""viewing_time"":206405},{""page_index"":3,""viewing_time"":106855},{""page_index"":4,""viewing_time"":47913},{""page_index"":5,""viewing_time"":53086},{""page_index"":6,""viewing_time"":51187},{""page_index"":7,""viewing_time"":25386}]","667874","","","","","","","",""
"","","","decision","5e03f8517f08edece67a3137","bdp_bc","Sat Mar 25 2023 17:38:30 GMT-0700 (Pacific Daylight Time)","1011293","html-slider-response","5","779565","0.0-5.0-1.0","","102442","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","","41","your high school classmates","1/3 or 33%","","50"
"","","","decision","5e03f8517f08edece67a3137","bdp_bc","Sat Mar 25 2023 17:38:30 GMT-0700 (Pacific Daylight Time)","1011293","html-slider-response","6","792780","0.0-5.0-1.1","","13203","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","","60","your closest friends","3/4 or 75%","","50"
"","","","decision","5e03f8517f08edece67a3137","bdp_bc","Sat Mar 25 2023 17:38:30 GMT-0700 (Pacific Daylight Time)","1011293","html-slider-response","7","821795","0.0-5.0-1.2","","29008","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","30","other prolific workers","1/2 or 50%","","50"
"","","","decision","5e03f8517f08edece67a3137","bdp_bc","Sat Mar 25 2023 17:38:30 GMT-0700 (Pacific Daylight Time)","1011293","html-slider-response","8","848435","0.0-5.0-1.3","","26636","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","","71","complete strangers","1/4 or 25%","","50"
"","","","decision","5e03f8517f08edece67a3137","bdp_bc","Sat Mar 25 2023 17:38:30 GMT-0700 (Pacific Daylight Time)","1011293","html-slider-response","9","857706","0.0-5.0-1.4","","9268","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","","20","your acquaintances","2/3 or 67%","","50"
"","","","","5e03f8517f08edece67a3137","bdp_bc","Sat Mar 25 2023 17:38:30 GMT-0700 (Pacific Daylight Time)","1011293","instructions","10","863181","0.0-6.0","[{""page_index"":0,""viewing_time"":5470}]","5471","","","","","","","",""
