"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"focus","0","0","focusevent","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","","","","","","","","","","","","","",""
"","","","","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","pavlovia","0","2","0.0-0.0","","","","","","","","","",""
"","","","","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","instructions","1","3115","0.0-1.0","[{""page_index"":0,""viewing_time"":3113}]","3113","","","","","","","",""
"fullscreenexit","2","6023","fullscreenexit","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","","","","","","","","","","","","","",""
"","","","","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","fullscreen","2","6800","0.0-2.0","","","true","","","","","","",""
"","","","fullscreenfail","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","image-keyboard-response","3","7949","0.0-3.0-0.0","","1147","","","32","","","","",""
"","","","","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","instructions","4","128547","0.0-4.0","[{""page_index"":0,""viewing_time"":22463},{""page_index"":1,""viewing_time"":22209},{""page_index"":2,""viewing_time"":19024},{""page_index"":3,""viewing_time"":10934},{""page_index"":4,""viewing_time"":12626},{""page_index"":5,""viewing_time"":3243},{""page_index"":6,""viewing_time"":11062},{""page_index"":7,""viewing_time"":18784}]","120346","","","","","","","",""
"","","","decision","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","html-slider-response","5","148737","0.0-5.0-1.0","","20186","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","","3","your high school classmates","1/4 or 25%","","50"
"","","","decision","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","html-slider-response","6","158441","0.0-5.0-1.1","","9702","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","","10","complete strangers","1/3 or 33%","","50"
"","","","decision","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","html-slider-response","7","165689","0.0-5.0-1.2","","7246","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","","16","your acquaintances","1/2 or 50%","","50"
"","","","decision","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","html-slider-response","8","172281","0.0-5.0-1.3","","6591","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","23","other prolific workers","3/4 or 75%","","50"
"","","","decision","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","html-slider-response","9","179321","0.0-5.0-1.4","","7038","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","","29","your closest friends","2/3 or 67%","","50"
"","","","","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","instructions","10","187949","0.0-6.0","[{""page_index"":0,""viewing_time"":8627}]","8627","","","","","","","",""
"","","","simRating","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","html-slider-response","11","199754","0.0-7.0-1.0","","11803","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","6","your closest friends","","",""
"","","","simRating","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","html-slider-response","12","204041","0.0-7.0-1.1","","4286","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","5","your acquaintances","","",""
"","","","simRating","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","html-slider-response","13","208537","0.0-7.0-1.2","","4495","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","4","complete strangers","","",""
"","","","simRating","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","html-slider-response","14","213113","0.0-7.0-1.3","","4575","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","4","other prolific workers","","",""
"","","","simRating","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","html-slider-response","15","216817","0.0-7.0-1.4","","3703","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","5","your high school classmates","","",""
"","","","","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","instructions","16","225017","0.0-8.0","[{""page_index"":0,""viewing_time"":8199}]","8199","","","","","","","",""
"","","","abilRating","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","html-slider-response","17","229210","0.0-9.0-1.0","","4192","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","5","your closest friends","","",""
"","","","abilRating","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","html-slider-response","18","233504","0.0-9.0-1.1","","4293","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","5","complete strangers","","",""
"","","","abilRating","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","html-slider-response","19","235841","0.0-9.0-1.2","","2335","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","5","your high school classmates","","",""
"","","","abilRating","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","html-slider-response","20","237985","0.0-9.0-1.3","","2143","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","5","other prolific workers","","",""
"","","","abilRating","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","html-slider-response","21","240441","0.0-9.0-1.4","","2454","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","5","your acquaintances","","",""
"fullscreenexit","22","240653","fullscreenexit","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","","","","","","","","","","","","","",""
"","","","","63b82398bbe6a599972413ad","bdp_bc","Tue Mar 28 2023 11:15:06 GMT-0400 (Eastern Daylight Time)","241453","fullscreen","22","241452","0.0-10.0","","","true","","","","","","",""
"","","","","","","","","html-keyboard-response","23","241956","0.0-11.0","","null","","","null","","","","",""
