"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","response","stimulus","group","fraction","maxAmt","sliderStart","key_press"
"html-slider-response","13","180728","0.0-7.0-1.3","62d06d1b651d6922f62fab9b","bdp_bc","Sat Mar 25 2023 22:02:10 GMT-0600 (Mountain Daylight Time)","217472","","3138","","","","simRating","","8","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your closest friends","","","",""
"html-slider-response","14","184090","0.0-7.0-1.4","62d06d1b651d6922f62fab9b","bdp_bc","Sat Mar 25 2023 22:02:10 GMT-0600 (Mountain Daylight Time)","217472","","3359","","","","simRating","","7","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your high school classmates","","","",""
"instructions","15","186207","0.0-8.0","62d06d1b651d6922f62fab9b","bdp_bc","Sat Mar 25 2023 22:02:10 GMT-0600 (Mountain Daylight Time)","217472","[{""page_index"":0,""viewing_time"":2117}]","2117","","","","","","","","","","","",""
"html-slider-response","16","201911","0.0-9.0-1.0","62d06d1b651d6922f62fab9b","bdp_bc","Sat Mar 25 2023 22:02:10 GMT-0600 (Mountain Daylight Time)","217472","","15700","","","","abilRating","","8","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","your acquaintances","","","",""
"html-slider-response","17","205447","0.0-9.0-1.1","62d06d1b651d6922f62fab9b","bdp_bc","Sat Mar 25 2023 22:02:10 GMT-0600 (Mountain Daylight Time)","217472","","3534","","","","abilRating","","7","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","complete strangers","","","",""
"html-slider-response","18","208064","0.0-9.0-1.2","62d06d1b651d6922f62fab9b","bdp_bc","Sat Mar 25 2023 22:02:10 GMT-0600 (Mountain Daylight Time)","217472","","2614","","","","abilRating","","8","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","your closest friends","","","",""
"html-slider-response","19","212446","0.0-9.0-1.3","62d06d1b651d6922f62fab9b","bdp_bc","Sat Mar 25 2023 22:02:10 GMT-0600 (Mountain Daylight Time)","217472","","4378","","","","abilRating","","7","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","other prolific workers","","","",""
"html-slider-response","20","216467","0.0-9.0-1.4","62d06d1b651d6922f62fab9b","bdp_bc","Sat Mar 25 2023 22:02:10 GMT-0600 (Mountain Daylight Time)","217472","","4019","","","","abilRating","","6","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","your high school classmates","","","",""
"","","","","62d06d1b651d6922f62fab9b","bdp_bc","Sat Mar 25 2023 22:02:10 GMT-0600 (Mountain Daylight Time)","217472","","","fullscreenexit","21","216498","fullscreenexit","","","","","","","",""
"fullscreen","21","217470","0.0-10.0","62d06d1b651d6922f62fab9b","bdp_bc","Sat Mar 25 2023 22:02:10 GMT-0600 (Mountain Daylight Time)","217472","","","","","","","true","","","","","","",""
"html-keyboard-response","22","217977","0.0-11.0","","","","","","null","","","","","","","","","","","","null"
