"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"focus","0","0","focusevent","5bbc4bd1f83ac60001fe665e","bdp_bc","Sat Mar 25 2023 19:04:38 GMT-0700 (Pacific Daylight Time)","217672","","","","","","","","","","","","","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_bc","Sat Mar 25 2023 19:04:38 GMT-0700 (Pacific Daylight Time)","217672","pavlovia","0","2","0.0-0.0","","","","","","","","","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_bc","Sat Mar 25 2023 19:04:38 GMT-0700 (Pacific Daylight Time)","217672","instructions","1","900","0.0-1.0","[{""page_index"":0,""viewing_time"":898}]","898","","","","","","","",""
"fullscreenexit","2","2769","fullscreenexit","5bbc4bd1f83ac60001fe665e","bdp_bc","Sat Mar 25 2023 19:04:38 GMT-0700 (Pacific Daylight Time)","217672","","","","","","","","","","","","","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_bc","Sat Mar 25 2023 19:04:38 GMT-0700 (Pacific Daylight Time)","217672","fullscreen","2","3479","0.0-2.0","","","true","","","","","","",""
"","","","fullscreenfail","5bbc4bd1f83ac60001fe665e","bdp_bc","Sat Mar 25 2023 19:04:38 GMT-0700 (Pacific Daylight Time)","217672","image-keyboard-response","3","4761","0.0-3.0-0.0","","1280","","","32","","","","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_bc","Sat Mar 25 2023 19:04:38 GMT-0700 (Pacific Daylight Time)","217672","instructions","4","101702","0.0-4.0","[{""page_index"":0,""viewing_time"":20826},{""page_index"":1,""viewing_time"":19090},{""page_index"":2,""viewing_time"":12401},{""page_index"":3,""viewing_time"":11333},{""page_index"":4,""viewing_time"":3967},{""page_index"":5,""viewing_time"":10720},{""page_index"":6,""viewing_time"":1910},{""page_index"":7,""viewing_time"":16440}]","96687","","","","","","","",""
"","","","decision","5bbc4bd1f83ac60001fe665e","bdp_bc","Sat Mar 25 2023 19:04:38 GMT-0700 (Pacific Daylight Time)","217672","html-slider-response","5","117340","0.0-5.0-1.0","","15636","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","","14","your acquaintances","1/4 or 25%","","50"
"","","","decision","5bbc4bd1f83ac60001fe665e","bdp_bc","Sat Mar 25 2023 19:04:38 GMT-0700 (Pacific Daylight Time)","217672","html-slider-response","6","128116","0.0-5.0-1.1","","10774","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","","39","complete strangers","2/3 or 67%","","50"
"","","","decision","5bbc4bd1f83ac60001fe665e","bdp_bc","Sat Mar 25 2023 19:04:38 GMT-0700 (Pacific Daylight Time)","217672","html-slider-response","7","137358","0.0-5.0-1.2","","9239","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","71","other prolific workers","3/4 or 75%","","50"
"","","","decision","5bbc4bd1f83ac60001fe665e","bdp_bc","Sat Mar 25 2023 19:04:38 GMT-0700 (Pacific Daylight Time)","217672","html-slider-response","8","143273","0.0-5.0-1.3","","5914","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","","39","your high school classmates","1/2 or 50%","","50"
