"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","response","stimulus","group","fraction","maxAmt","sliderStart","numBlurs","key_press"
"pavlovia","0","6","0.0-0.0","63ed9dbc1c7838ffcbb42142","bdp_bc","Sun Mar 26 2023 13:56:50 GMT-0700 (Pacific Daylight Time)","247930","","","","","","","","","","","","","","",""
"instructions","1","25424","0.0-1.0","63ed9dbc1c7838ffcbb42142","bdp_bc","Sun Mar 26 2023 13:56:50 GMT-0700 (Pacific Daylight Time)","247930","[{""page_index"":0,""viewing_time"":25417}]","25418","","","","","","","","","","","","",""
"","","","","63ed9dbc1c7838ffcbb42142","bdp_bc","Sun Mar 26 2023 13:56:50 GMT-0700 (Pacific Daylight Time)","247930","","","fullscreenenter","2","29957","fullscreenenter","","","","","","","","",""
"fullscreen","2","30916","0.0-2.0","63ed9dbc1c7838ffcbb42142","bdp_bc","Sun Mar 26 2023 13:56:50 GMT-0700 (Pacific Daylight Time)","247930","","","","","","","true","","","","","","","",""
"instructions","3","139723","0.0-4.0","63ed9dbc1c7838ffcbb42142","bdp_bc","Sun Mar 26 2023 13:56:50 GMT-0700 (Pacific Daylight Time)","247930","[{""page_index"":0,""viewing_time"":26698},{""page_index"":1,""viewing_time"":26286},{""page_index"":2,""viewing_time"":18103},{""page_index"":3,""viewing_time"":8983},{""page_index"":4,""viewing_time"":3216},{""page_index"":5,""viewing_time"":3649},{""page_index"":6,""viewing_time"":2552},{""page_index"":7,""viewing_time"":19319}]","108806","","","","","","","","","","","","",""
"html-slider-response","4","153156","0.0-5.0-1.0","63ed9dbc1c7838ffcbb42142","bdp_bc","Sun Mar 26 2023 13:56:50 GMT-0700 (Pacific Daylight Time)","247930","","13431","","","","decision","","14","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","your high school classmates","1/4 or 25%","","50","",""
"html-slider-response","5","177277","0.0-5.0-1.1","63ed9dbc1c7838ffcbb42142","bdp_bc","Sun Mar 26 2023 13:56:50 GMT-0700 (Pacific Daylight Time)","247930","","24119","","","","decision","","66","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","complete strangers","3/4 or 75%","","50","",""
"html-slider-response","6","186121","0.0-5.0-1.2","63ed9dbc1c7838ffcbb42142","bdp_bc","Sun Mar 26 2023 13:56:50 GMT-0700 (Pacific Daylight Time)","247930","","8842","","","","decision","","50","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","your acquaintances","2/3 or 67%","","50","",""
"html-slider-response","7","194506","0.0-5.0-1.3","63ed9dbc1c7838ffcbb42142","bdp_bc","Sun Mar 26 2023 13:56:50 GMT-0700 (Pacific Daylight Time)","247930","","8385","","","","decision","","19","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","your closest friends","1/2 or 50%","","50","",""
"html-slider-response","8","202670","0.0-5.0-1.4","63ed9dbc1c7838ffcbb42142","bdp_bc","Sun Mar 26 2023 13:56:50 GMT-0700 (Pacific Daylight Time)","247930","","8163","","","","decision","","14","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","other prolific workers","1/3 or 33%","","50","",""
