PROLIFIC_PID,distFromMedQA_lowMC_ltMADCutOff_goodSub,distFromMedQAAll_lowMC_ltMADCutOff_goodSub,Age,Race,HLS_ethnicity,BirthSex,Education,LEC-A_6,LEC-A_7,LEC-A_8,LEC-A_9,LEC-A_10,LEC-A_11,LEC-A_17,LEC-6-FU-Age,LEC-7-FU-Age,LEC-8-FU-Age,LEC-9-FU-Age,LEC-10-FU-Age,LEC-11-FU-Age,LEC-16-FU-Age,trust_rat_mean,trust_rat_std,trust_subjLR_bOC,trust_subjD_bOC,trust_subjNLL_bOC,trust_subjLRTp_bOC,trust_subjLR_3prm,trust_subjD_3prm,trust_subjp0_3prm,trust_subjNLL_3prm,trust_subjLRTp_3prm,trust_BIC_bOC,trust_BIC_3prm,lott_subjLR_bOC,lott_subjD_bOC,lott_subjNLL_bOC,lott_subjLRTp_bOC,lott_subjLR_3prm,lott_subjD_3prm,lott_subjp0_3prm,lott_subjNLL_3prm,lott_subjLRTp_3prm,lott_BIC_bOC,lott_BIC_3prm,trustDiscrim_fitOffset,trustDiscrim_fitScale,trustDiscrim_fitSlope
6400e07f37c248e81cbc9d41,1,1,41,5,2,2,16,0,0,0,0,0,0,0,,,,,,,,5.133333333,1.307950482,0.665504165,0.999954602,151.8712843,3.54E-28,0.618629503,0.999954602,-1,149.7353254,4.12E-29,313.5081724,314.1190565,0.381058783,0.999954602,161.384379,5.22E-24,0.324359304,0.999954602,-1,159.2548402,6.08E-25,332.5343619,333.1580862,1,3.751278172,0.018586774
63df609cf58947e964792bb6,1,1,21,5,1,2,13,0,0,1,1,0,0,0,14,23,20,19,,,,8.583333333,0.618682763,0.415271311,0.999954602,153.7897089,2.45E-27,0.15980031,0.999954602,-1,150.3718743,7.82E-29,317.3450217,315.3921543,0.018695006,0.999954602,210.7447274,0.065111339,0.003018832,4.54E-05,-0.364937504,209.0654926,0.009319118,431.2550586,432.779391,1.943337531,1.022415847,0.026996675
6156a0460b95fa57be8312c4,1,1,26,5,2,2,12,1,1,1,1,0,0,0,17,22,25,25,,,,3.716666667,1.647717133,0.210934756,0.565063571,210.2470372,0.035990927,0.183381186,0.531885822,-0.349064772,209.8305752,0.022194681,430.2596783,434.3095562,0.021820214,4.54E-05,210.0828934,0.029712976,0.003641649,0.46211401,0.328596564,209.0827796,0.009501479,429.9313906,432.8139649,1.810710141,1.174034265,0.069927659
63b6e5e23b31a38790ff1ce2,1,1,43,5,2,2,12,0,0,0,0,0,0,0,,,,,,,,4.966666667,1.024557228,0.162829132,0.878696742,191.192452,7.04E-11,0.162200998,0.90376306,0.224137763,190.9900496,5.73E-11,392.1505078,396.6285049,0.221834138,0.444843546,203.9614924,3.80E-05,0.226765328,0.499240077,1,198.6204069,1.45E-07,417.6885886,411.8892196,1,3.683433246,0.035800066
60fc9ce95a59b3400b38e2a7,1,1,22,5,2,2,15,0,0,0,0,0,0,0,,,,,,,,2.95,1.711625256,0.535585978,0.999954602,144.0716538,1.37E-31,0.430433628,0.999954602,-1,139.4616412,1.32E-33,297.9089115,293.5716882,0.142430672,0.999954602,188.5069602,4.54E-12,0.121903516,0.999954602,-0.246508145,188.2580522,3.52E-12,386.7795242,391.1645101,1.36476756,1.440919428,0.023101629
6276b88b3b4036b3f0ca289b,1,1,43,5,2,1,10,1,1,0,0,0,1,0,25,25,,,,25,,3.45,1.701694071,0.486822125,4.54E-05,123.3214213,1.17E-40,0.199085655,4.54E-05,1,111.8760175,1.18E-45,256.4084464,238.4004408,0.172783299,0.727800456,203.1049245,1.54E-05,0.185865449,0.648152959,-1,196.441024,1.53E-08,415.9754528,407.5304537,1,3.887065939,-0.018402338
63034df51d918e1e3b97e5ce,1,1,20,5,2,1,12,1,0,0,0,0,0,0,10,19,,21,,,,4.016666667,1.5348126,0.08378938,0.142876721,203.7264091,2.97E-05,0.076394998,0.183617876,0.191987991,203.5237847,2.40E-05,417.218422,421.6959752,0.110298244,0.498276549,205.5920167,0.000213591,0.110298793,0.498953277,0.003764808,205.5919434,0.000213575,420.9496372,425.8322926,1,3.728971523,0.017745614
63fffd232a889b722046523c,1,1,36,5,1,1,16,0,0,0,0,0,0,0,,,,,,,,4.633333333,2.016597795,0.097018452,0.024716128,200.3296711,8.54E-07,0.085681935,0.143487381,0.562232337,198.7172826,1.61E-07,410.4249461,412.082971,0.169061941,0.361836226,207.8090179,0.002324837,0.148475379,0.400234008,0.370454217,207.2483089,0.001263576,425.3836396,429.1450235,1,3.454856779,0.021678959
63d1834e69a637cd32f16634,0,0,42,5,2,1,16,1,0,0,0,0,0,0,19,,,,,,,3.933333333,1.725842135,0.176755338,4.54E-05,189.0867624,8.20E-12,0.153757658,4.54E-05,0.263350271,188.8634134,6.53E-12,,,0.160170978,4.54E-05,194.921663,3.22E-09,0.002142155,0.999954602,1,186.6863544,7.09E-13,,,2.189468679,0.143790738,0.098854854
63d420b1d5b7dc6a3a4c50aa,1,1,45,6,2,2,12,1,0,0,1,0,0,0,23,,,26,,,,3.55,1.419297988,0.100592497,0.340063799,210.4615546,0.046359059,0.10294362,0.329542199,-0.055424944,210.4458579,0.045503153,430.688713,435.5401217,0.021160086,0.838209297,211.0507185,0.094844059,0.021277307,0.678666201,-0.10857333,210.9578252,0.084510058,431.8670409,436.5640562,1.000001658,1.966100484,0.015387056
63e316f79fdeba5ba50385e1,1,1,25,5,2,1,12,0,0,0,0,0,0,0,,,,24,,,,4.566666667,1.3699767,0.04290499,0.999954602,207.8995078,0.002566467,0.004297924,4.54E-05,-0.614212543,203.7667616,3.10E-05,425.5646194,422.1819289,0.172386861,0.999954602,183.9197391,4.24E-14,0.135033853,0.905820068,-1,178.0341646,1.08E-16,377.6050821,370.716735,2.941512073,0.423799951,0.082264055
5f19fbbb7767270c32464eb5,0,0,27,5,1,2,16,1,0,0,1,1,1,0,30,,,23,16,17,,1,0,0.544642889,0.679387965,200.343279,8.66E-07,0.480356035,0.657352393,-1,195.5653923,6.23E-09,,,0.26737045,0.268875482,205.6714684,0.000232456,0.2645556,0.274936574,0.128541768,205.6233294,0.000220834,,,1.000003815,3.81E-06,6.75E-17
63d3fb1c82d319ac2f752d80,1,1,24,5,2,2,14,1,0,0,1,0,0,0,18,,,15,,,16,6.083333333,1.356611765,0.342946014,0.5834649,199.9274092,5.62E-07,0.334377443,0.595045659,0.315157345,199.6853842,4.38E-07,409.6204222,414.0191742,0.095044349,0.690849649,205.6751369,0.000233366,0.100306042,0.741445371,0.263688579,205.3147895,0.000159041,421.1158777,425.2779849,1.000000034,3.534368129,0.013847417
611343092396f1d9ed7018ad,1,1,22,5,2,2,16,0,0,0,0,0,0,0,,,,,,,,4.633333333,1.506670666,0.368947045,0.672418096,197.664816,5.42E-08,0.364952791,0.663679131,-0.288740811,197.4739431,4.45E-08,405.0952359,409.596292,0.451429388,0.335880913,197.5602359,4.86E-08,0.469467352,0.32904847,-0.2948567,197.3992883,4.12E-08,404.8860757,409.4469824,,,
60fcd9368e8d2b8740cf9251,1,1,21,6,2,2,16,0,0,0,0,0,0,0,18,,,,,,,4,1.327671595,0.190612448,0.756056427,199.820472,5.03E-07,0.196450986,0.777104445,0.295302873,199.5128244,3.66E-07,409.4065478,413.6740546,0.002586111,0.000492937,212.4002188,0.762693317,0.004823129,0.308652759,0.003369933,212.3969919,0.754698384,434.5660414,439.4423895,2.148215569,0.851296135,0.066443002
