"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","trial_duration","targFace","targCol","targOutcome","corr","numBlurs"
"pavlovia","0","7","0.0-0.0","","","","","","","","","","","","","","","","","","","",""
"instructions","1","6740","0.0-1.0","[{""page_index"":0,""viewing_time"":6732}]","6732","","","","","","","","","","","","","","","","","",""
"","","","","","","fullscreenenter","2","9244","fullscreenenter","","","","","","","","","","","","","",""
"fullscreen","2","10202","0.0-2.0","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","84342","0.0-4.0","[{""page_index"":0,""viewing_time"":15961},{""page_index"":1,""viewing_time"":32277},{""page_index"":2,""viewing_time"":12161},{""page_index"":3,""viewing_time"":4076},{""page_index"":4,""viewing_time"":9663}]","74139","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","84845","0.0-5.0-1.0","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","5","87847","0.0-5.0-2.0","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","2","trustrating_stim/white_mw033.bmp,trustrating_stim/white_mw040.bmp","0,1","Match","e","3000","","","","",""
"html-keyboard-response","6","91850","0.0-5.0-3.0","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","7","95042","0.0-5.0-4.0","","3190","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","2","trustrating_stim/white_mw033.bmp,trustrating_stim/white_mw040.bmp","0,1","Match","e","","trustrating_stim/white_mw033.bmp","red","Keep","1",""
"html-keyboard-response","8","95818","0.0-5.0-5.0","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","","",""
