"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","trial_duration","targFace","targCol","targOutcome","corr"
"html-keyboard-response","11","34265","0.0-5.0-3.1","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","DELAY","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","12","36268","0.0-5.0-4.1","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","TARGET","","","2001","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","1","trustrating_stim/white_mw013.bmp","0","Match","e","","trustrating_stim/white_mw003.bmp","red","Keep","1"
"html-keyboard-response","13","36771","0.0-5.0-5.1","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","FEEDBACK","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","14","37272","0.0-5.0-1.2","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","15","40275","0.0-5.0-2.2","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","ARRAY","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_00050_931230_fa_edt.bmp","1,0","Match","e","3000","","","",""
"html-keyboard-response","16","44279","0.0-5.0-3.2","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","DELAY","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","17","45457","0.0-5.0-4.2","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","TARGET","","","1177","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_00050_931230_fa_edt.bmp","1,0","Match","e","","trustrating_stim/white_mw003.bmp","red","Keep","1"
"html-keyboard-response","18","45958","0.0-5.0-5.2","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","FEEDBACK","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","19","46462","0.0-5.0-1.3","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","20","49464","0.0-5.0-2.3","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","ARRAY","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","3","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw070.bmp","1,0,0","noMatchOutcome","i","3000","","","",""
"html-keyboard-response","21","53468","0.0-5.0-3.3","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","DELAY","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","22","54930","0.0-5.0-4.3","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","TARGET","","","1461","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","3","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw070.bmp","1,0,0","noMatchOutcome","i","","trustrating_stim/white_mw003.bmp","red","Keep","0"
"html-keyboard-response","23","55432","0.0-5.0-5.3","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","FEEDBACK","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","24","55933","0.0-5.0-1.4","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","25","58936","0.0-5.0-2.4","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","ARRAY","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw015.bmp","0,1","noMatchOutcome","i","3000","","","",""
"html-keyboard-response","26","62937","0.0-5.0-3.4","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","DELAY","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","27","64217","0.0-5.0-4.4","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","TARGET","","","1278","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw015.bmp","0,1","noMatchOutcome","i","","trustrating_stim/white_mw003.bmp","red","Keep","0"
"html-keyboard-response","28","64722","0.0-5.0-5.4","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","FEEDBACK","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","29","65224","0.0-5.0-1.5","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","30","66726","0.0-5.0-2.5","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","ARRAY","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","1","trustrating_stim/white_mw012.bmp","1","noMatchFace","i","1500","","","",""
"html-keyboard-response","31","70727","0.0-5.0-3.5","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","DELAY","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","32","71567","0.0-5.0-4.5","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","TARGET","","","839","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","1","trustrating_stim/white_mw012.bmp","1","noMatchFace","i","","trustrating_stim/white_mw003.bmp","red","Keep","1"
"html-keyboard-response","33","72068","0.0-5.0-5.5","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","FEEDBACK","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","","","","","","","","","",""
"instructions","34","73440","0.0-6.0","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","","","[{""page_index"":0,""viewing_time"":1370}]","1370","","","","","","","","","","","","",""
"html-keyboard-response","35","73943","0.0-7.0-1.0","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","36","76948","0.0-7.0-2.0","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","ARRAY","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","2","trustrating_stim/white_mw003.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp","1,0","noMatchOutcome","i","3000","","","",""
"html-keyboard-response","37","80953","0.0-7.0-3.0","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","DELAY","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","38","82367","0.0-7.0-4.0","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","TARGET","","","1411","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","2","trustrating_stim/white_mw003.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp","1,0","noMatchOutcome","i","","trustrating_stim/white_mw003.bmp","red","Keep","1"
"html-keyboard-response","39","82872","0.0-7.0-5.0","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","FEEDBACK","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","40","83374","0.0-7.0-1.1","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","41","84878","0.0-7.0-2.1","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","ARRAY","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","1","trustrating_stim/white_mw012.bmp","1","noMatchFace","i","1500","","","",""
"html-keyboard-response","42","88881","0.0-7.0-3.1","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","DELAY","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","43","89770","0.0-7.0-4.1","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","TARGET","","","887","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","1","trustrating_stim/white_mw012.bmp","1","noMatchFace","i","","trustrating_stim/white_mw003.bmp","red","Keep","1"
"html-keyboard-response","44","90271","0.0-7.0-5.1","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","FEEDBACK","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","45","90777","0.0-7.0-1.2","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","46","93782","0.0-7.0-2.2","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","ARRAY","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","2","trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw070.bmp","1,0","noMatchFace","i","3000","","","",""
"html-keyboard-response","47","97783","0.0-7.0-3.2","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","DELAY","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","48","98614","0.0-7.0-4.2","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","TARGET","","","829","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","2","trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw070.bmp","1,0","noMatchFace","i","","trustrating_stim/white_mw003.bmp","red","Keep","1"
"html-keyboard-response","49","99117","0.0-7.0-5.2","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","FEEDBACK","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","50","99618","0.0-7.0-1.3","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","51","102623","0.0-7.0-2.3","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","ARRAY","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_00050_931230_fa_edt.bmp","1,0","Match","e","3000","","","",""
"html-keyboard-response","52","106625","0.0-7.0-3.3","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","DELAY","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","53","107298","0.0-7.0-4.3","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","TARGET","","","671","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_00050_931230_fa_edt.bmp","1,0","Match","e","","trustrating_stim/white_mw003.bmp","red","Keep","0"
"html-keyboard-response","54","107799","0.0-7.0-5.3","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","FEEDBACK","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","55","108303","0.0-7.0-1.4","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","56","111307","0.0-7.0-2.4","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","ARRAY","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","3","trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw092.bmp","0,0,1","Match","e","3000","","","",""
