"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","trial_duration","targFace","targCol","targOutcome","corr"
"pavlovia","0","4","0.0-0.0","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","","","","","","","","","","","","","","","","",""
"","","","","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","blur","1","2464","blurevent","1","","","","","","","","","","","","","","",""
"","","","","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","focus","1","8958","focusevent","","","","","","","","","","","","","","","",""
"","","","","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","blur","1","11746","blurevent","","","","","","","","","","","","","","","",""
"","","","","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","focus","1","11855","focusevent","","","","","","","","","","","","","","","",""
"instructions","1","12994","0.0-1.0","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","","","[{""page_index"":0,""viewing_time"":12990}]","12990","","","","","","","","","","","","",""
"","","","","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","fullscreenenter","2","14827","fullscreenenter","","","","","","","","","","","","","","","",""
"fullscreen","2","15806","0.0-2.0","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","","","","","true","","","","","","","","","","","",""
"instructions","3","18914","0.0-4.0","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","","","[{""page_index"":0,""viewing_time"":822},{""page_index"":1,""viewing_time"":493},{""page_index"":2,""viewing_time"":635},{""page_index"":3,""viewing_time"":541},{""page_index"":4,""viewing_time"":617}]","3108","","","","","","","","","","","","",""
"html-keyboard-response","4","19418","0.0-5.0-1.0","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","5","22421","0.0-5.0-2.0","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","ARRAY","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","3","trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw092.bmp","0,0,1","Match","e","3000","","","",""
"html-keyboard-response","6","26427","0.0-5.0-3.0","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","DELAY","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","7","27755","0.0-5.0-4.0","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","TARGET","","","1327","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","3","trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw092.bmp","0,0,1","Match","e","","trustrating_stim/white_mw003.bmp","red","Keep","1"
"html-keyboard-response","8","28257","0.0-5.0-5.0","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","FEEDBACK","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","9","28759","0.0-5.0-1.1","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","FIX","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","10","30260","0.0-5.0-2.1","dstest","bdp_wmem","Tue Feb 02 2021 12:24:18 GMT-0500 (Eastern Standard Time)","158310","Match,No Match","","","","ARRAY","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","1","trustrating_stim/white_mw013.bmp","0","Match","e","1500","","","",""
