"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","targFace","targCol","targOutcome","corr"
"","","","TARGET","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","8","69962","0.0-5.0-4.0","","2308","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","e","6","trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw040.bmp","0,1,1,0,0,1","Match","e","trustrating_stim/white_mw092.bmp","green","Share","1"
"","","","KEYFB","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","9","70172","0.0-5.0-5.0","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'><font style='color:orange'>Match<p>(e)</font></div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","null","","","","","","","","",""
"","","","FEEDBACK","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","10","70688","0.0-5.0-6.0","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"","","","FIX","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","11","71012","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","ARRAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","12","73032","0.0-5.0-2.1","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv2'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div></div></div>","null","2","trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw003.bmp","0,1","Match","e","","","",""
"","","","DELAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","13","74552","0.0-5.0-3.1","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","TARGET","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","14","76228","0.0-5.0-4.1","","1675","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","e","2","trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw003.bmp","0,1","Match","e","trustrating_stim/white_mw092.bmp","green","Share","1"
"","","","KEYFB","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","15","76432","0.0-5.0-5.1","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'><font style='color:orange'>Match<p>(e)</font></div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","null","","","","","","","","",""
"","","","FEEDBACK","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","16","76951","0.0-5.0-6.1","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"","","","FIX","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","17","77271","0.0-5.0-1.2","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","ARRAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","18","79289","0.0-5.0-2.2","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv4'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='tr'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='bl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='br'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div></div></div>","null","4","trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw015.bmp","0,1,0,1","noMatchFace","i","","","",""
"","","","DELAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","19","80791","0.0-5.0-3.2","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","TARGET","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","20","82192","0.0-5.0-4.2","","1400","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","i","4","trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw015.bmp","0,1,0,1","noMatchFace","i","trustrating_stim/white_mw092.bmp","green","Share","1"
"","","","KEYFB","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","21","82411","0.0-5.0-5.2","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'><font style='color:orange'>No Match<p>(i)</font></div></div></div></div>","null","","","","","","","","",""
"","","","FEEDBACK","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","22","82930","0.0-5.0-6.2","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"","","","FIX","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","23","83231","0.0-5.0-1.3","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","ARRAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","24","85232","0.0-5.0-2.3","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv2'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div></div></div>","null","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw092.bmp","0,1","noMatchFace","i","","","",""
"","","","DELAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","25","86751","0.0-5.0-3.3","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","TARGET","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","26","87902","0.0-5.0-4.3","","1149","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","e","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw092.bmp","0,1","noMatchFace","i","trustrating_stim/white_mw092.bmp","green","Share","0"
"","","","KEYFB","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","27","88111","0.0-5.0-5.3","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'><font style='color:orange'>Match<p>(e)</font></div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","null","","","","","","","","",""
"","","","FEEDBACK","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","28","88631","0.0-5.0-6.3","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/error.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"","","","FIX","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","29","88951","0.0-5.0-1.4","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","ARRAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","30","90971","0.0-5.0-2.4","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv6'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='tr'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='bl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='br'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div></div></div>","null","6","trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp","1,0,1,0,1,0","noMatchOutcome","i","","","",""
"","","","DELAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","31","92491","0.0-5.0-3.4","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","TARGET","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","32","93618","0.0-5.0-4.4","","1126","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","i","6","trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp","1,0,1,0,1,0","noMatchOutcome","i","trustrating_stim/white_mw092.bmp","green","Share","1"
"","","","KEYFB","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","33","93830","0.0-5.0-5.4","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'><font style='color:orange'>No Match<p>(i)</font></div></div></div></div>","null","","","","","","","","",""
"","","","FEEDBACK","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","34","94351","0.0-5.0-6.4","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"","","","FIX","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","35","94651","0.0-5.0-1.5","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","ARRAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","36","96670","0.0-5.0-2.5","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv4'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='tr'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='br'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div></div></div>","null","4","trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw033.bmp","0,0,1,1","Match","e","","","",""
"","","","DELAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","37","98190","0.0-5.0-3.5","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","TARGET","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","38","99968","0.0-5.0-4.5","","1777","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","e","4","trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw033.bmp","0,0,1,1","Match","e","trustrating_stim/white_mw092.bmp","green","Share","1"
"","","","KEYFB","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","39","100170","0.0-5.0-5.5","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'><font style='color:orange'>Match<p>(e)</font></div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","null","","","","","","","","",""
"","","","FEEDBACK","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","40","100690","0.0-5.0-6.5","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"","","","","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","instructions","41","103417","0.0-6.0","[{""page_index"":0,""viewing_time"":2726}]","2726","","","","","","","","","","","",""
"","","","FIX","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","42","103731","0.0-7.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","ARRAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","43","105751","0.0-7.0-2.0","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv4'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='tr'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='br'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div></div></div>","null","4","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw003.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw040.bmp","1,0,0,1","Match","e","","","",""
"","","","DELAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","44","107250","0.0-7.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","TARGET","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","45","109121","0.0-7.0-4.0","","1870","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","i","4","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw003.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw040.bmp","1,0,0,1","Match","e","trustrating_stim/white_mw092.bmp","green","Share","0"
"","","","KEYFB","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","46","109330","0.0-7.0-5.0","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'><font style='color:orange'>No Match<p>(i)</font></div></div></div></div>","null","","","","","","","","",""
"","","","FEEDBACK","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","47","109831","0.0-7.0-6.0","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/error.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"","","","FIX","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","48","110150","0.0-7.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","ARRAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","49","112170","0.0-7.0-2.1","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv2'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div></div></div>","null","2","trustrating_stim/white_mw012.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp","0,1","Match","e","","","",""
"","","","DELAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","50","113689","0.0-7.0-3.1","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
