"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","targFace","targCol","targOutcome","corr"
"focus","0","0","focusevent","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","","","","","","","","","","","","","","","","","",""
"","","","","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","",""
"","","","","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","instructions","1","2555","0.0-1.0","[{""page_index"":0,""viewing_time"":2552}]","2552","","","","","","","","","","","",""
"fullscreenexit","2","4448","fullscreenexit","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","","","","","","","","","","","","","","","","","",""
"","","","","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","fullscreen","2","5205","0.0-2.0","","","true","","","","","","","","","","",""
"","","","fullscreenfail","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","image-keyboard-response","3","5780","0.0-3.0-0.0","","573","","","32","","","","","","","","",""
"","","","","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","instructions","4","63817","0.0-4.0","[{""page_index"":0,""viewing_time"":18467},{""page_index"":1,""viewing_time"":6336},{""page_index"":2,""viewing_time"":23095},{""page_index"":3,""viewing_time"":3865},{""page_index"":4,""viewing_time"":6009}]","57772","","","","","","","","","","","",""
"","","","FIX","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","5","64132","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","ARRAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","6","66152","0.0-5.0-2.0","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv6'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='tr'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='bl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='br'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div></div></div>","null","6","trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw040.bmp","0,1,1,0,0,1","Match","e","","","",""
"","","","DELAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","7","67653","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
