"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","targFace","targCol","targOutcome","corr","numBlurs"
"html-keyboard-response","9","67257","0.0-5.0-6.0","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/error.jpg'></div></div></div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","10","67559","0.0-5.0-1.1","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","11","69063","0.0-5.0-2.1","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv4'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='tr'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw035.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='bl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw099.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='br'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw089.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div></div></div>","null","4","trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw035.bmp,trustrating_stim/white_mw099.bmp,trustrating_stim/white_mw089.bmp","0,1,1,0","noMatchFace","i","","","","",""
"html-keyboard-response","12","71065","0.0-5.0-3.1","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","13","72428","0.0-5.0-4.1","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","1362","","","","TARGET","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","i","4","trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw035.bmp,trustrating_stim/white_mw099.bmp,trustrating_stim/white_mw089.bmp","0,1,1,0","noMatchFace","i","trustrating_stim/white_mw099.bmp","green","Share","1",""
"html-keyboard-response","14","72632","0.0-5.0-5.1","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","KEYFB","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'><font style='color:orange'>No Match<p>(i)</font></div></div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","15","73137","0.0-5.0-6.1","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","16","73439","0.0-5.0-1.2","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","17","74943","0.0-5.0-2.2","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv2'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw071.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div></div></div>","null","2","trustrating_stim/white_mw071.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp","1,0","Match","e","","","","",""
"html-keyboard-response","18","76947","0.0-5.0-3.2","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","19","77739","0.0-5.0-4.2","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","791","","","","TARGET","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","e","2","trustrating_stim/white_mw071.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp","1,0","Match","e","trustrating_stim/white_mw099.bmp","green","Share","1",""
"html-keyboard-response","20","77941","0.0-5.0-5.2","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","KEYFB","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'><font style='color:orange'>Match<p>(e)</font></div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","21","78444","0.0-5.0-6.2","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","22","78746","0.0-5.0-1.3","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","23","80249","0.0-5.0-2.3","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv6'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00785_941205_fb_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='tr'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw089.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='bl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00761_941201_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='br'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw046.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div></div></div>","null","6","trustrating_stim/white_mw013.bmp,trustrating_stim/white_00785_941205_fb_edt.bmp,trustrating_stim/white_mw089.bmp,trustrating_stim/white_mw015.bmp,trustrating_stim/white_00761_941201_fb_edt.bmp,trustrating_stim/white_mw046.bmp","0,0,1,1,1,0","noMatchOutcome","i","","","","",""
"html-keyboard-response","24","82254","0.0-5.0-3.3","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","25","83394","0.0-5.0-4.3","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","1138","","","","TARGET","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00761_941201_fb_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","i","6","trustrating_stim/white_mw013.bmp,trustrating_stim/white_00785_941205_fb_edt.bmp,trustrating_stim/white_mw089.bmp,trustrating_stim/white_mw015.bmp,trustrating_stim/white_00761_941201_fb_edt.bmp,trustrating_stim/white_mw046.bmp","0,0,1,1,1,0","noMatchOutcome","i","trustrating_stim/white_mw099.bmp","green","Share","1",""
"html-keyboard-response","26","83596","0.0-5.0-5.3","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","KEYFB","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00761_941201_fb_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'><font style='color:orange'>No Match<p>(i)</font></div></div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","27","84099","0.0-5.0-6.3","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","28","84401","0.0-5.0-1.4","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","29","85902","0.0-5.0-2.4","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv4'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='tr'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='bl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='br'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw084.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div></div></div>","null","4","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw015.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw084.bmp","0,1,1,0","Match","e","","","","",""
"html-keyboard-response","30","87907","0.0-5.0-3.4","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","31","89027","0.0-5.0-4.4","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","1119","","","","TARGET","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","e","4","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw015.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw084.bmp","0,1,1,0","Match","e","trustrating_stim/white_mw099.bmp","green","Share","1",""
"html-keyboard-response","32","89231","0.0-5.0-5.4","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","KEYFB","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'><font style='color:orange'>Match<p>(e)</font></div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","33","89734","0.0-5.0-6.4","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","34","90035","0.0-5.0-1.5","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","35","91541","0.0-5.0-2.5","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv2'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00785_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div></div></div>","null","2","trustrating_stim/white_mw033.bmp,trustrating_stim/white_00785_941205_fb_edt.bmp","0,1","noMatchFace","i","","","","",""
"html-keyboard-response","36","93544","0.0-5.0-3.5","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","37","94409","0.0-5.0-4.5","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","864","","","","TARGET","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw071.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","i","2","trustrating_stim/white_mw033.bmp,trustrating_stim/white_00785_941205_fb_edt.bmp","0,1","noMatchFace","i","trustrating_stim/white_mw099.bmp","green","Share","1",""
"html-keyboard-response","38","94611","0.0-5.0-5.5","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","KEYFB","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw071.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'><font style='color:orange'>No Match<p>(i)</font></div></div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","39","95115","0.0-5.0-6.5","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","","",""
"","","","","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","","blur","40","121653","blurevent","","","","","","","","","","","","","1"
"","","","","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","","focus","40","172695","focusevent","","","","","","","","","","","","",""
"instructions","40","255780","0.0-6.0","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","[{""page_index"":0,""viewing_time"":160665}]","160665","","","","","","","","","","","","","","","","",""
"html-keyboard-response","41","256082","0.0-7.0-1.0","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","42","257584","0.0-7.0-2.0","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv2'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw099.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw089.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div></div></div>","null","2","trustrating_stim/white_mw099.bmp,trustrating_stim/white_mw089.bmp","1,0","Match","e","","","","",""
"html-keyboard-response","43","259589","0.0-7.0-3.0","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","44","261228","0.0-7.0-4.0","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","1639","","","","TARGET","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw089.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","e","2","trustrating_stim/white_mw099.bmp,trustrating_stim/white_mw089.bmp","1,0","Match","e","trustrating_stim/white_mw099.bmp","green","Share","1",""
"html-keyboard-response","45","261431","0.0-7.0-5.0","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","KEYFB","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw089.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'><font style='color:orange'>Match<p>(e)</font></div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","46","261934","0.0-7.0-6.0","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","47","262235","0.0-7.0-1.1","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","48","263742","0.0-7.0-2.1","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv2'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div></div></div>","null","2","trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw033.bmp","0,1","noMatchOutcome","i","","","","",""
"html-keyboard-response","49","265747","0.0-7.0-3.1","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
