"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","targFace","targCol","targOutcome","corr","numBlurs"
"pavlovia","0","3","0.0-0.0","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","","","","","","","","","","","","","","","","","",""
"instructions","1","38544","0.0-1.0","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","[{""page_index"":0,""viewing_time"":38539}]","38540","","","","","","","","","","","","","","","","",""
"","","","","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","","fullscreenenter","2","40870","fullscreenenter","","","","","","","","","","","","",""
"fullscreen","2","41869","0.0-2.0","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","","","","","","true","","","","","","","","","","","",""
"instructions","3","61434","0.0-4.0","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","[{""page_index"":0,""viewing_time"":6116},{""page_index"":1,""viewing_time"":4668},{""page_index"":2,""viewing_time"":2244},{""page_index"":3,""viewing_time"":3475},{""page_index"":4,""viewing_time"":3061}]","19564","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","61737","0.0-5.0-1.0","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","5","63241","0.0-5.0-2.0","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv6'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='tr'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw084.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw089.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw046.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='br'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div></div></div>","null","6","trustrating_stim/white_mw015.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw084.bmp,trustrating_stim/white_mw089.bmp,trustrating_stim/white_mw046.bmp,trustrating_stim/white_mw033.bmp","1,1,0,0,0,1","Match","e","","","","",""
"html-keyboard-response","6","65243","0.0-5.0-3.0","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","7","66555","0.0-5.0-4.0","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","1311","","","","TARGET","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw046.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","i","6","trustrating_stim/white_mw015.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw084.bmp,trustrating_stim/white_mw089.bmp,trustrating_stim/white_mw046.bmp,trustrating_stim/white_mw033.bmp","1,1,0,0,0,1","Match","e","trustrating_stim/white_mw099.bmp","green","Share","0",""
"html-keyboard-response","8","66756","0.0-5.0-5.0","dstest","bdp_wmem","Tue Nov 17 2020 14:39:33 GMT-0500 (Eastern Standard Time)","314207","Match,No Match","","null","","","","KEYFB","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw046.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'><font style='color:orange'>No Match<p>(i)</font></div></div></div></div>","null","","","","","","","","","",""
