"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","targFace","targCol","targOutcome","corr"
"html-keyboard-response","25","771527","0.0-5.0-4.3","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","3394","","","","TARGET","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","e","2","trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw091.bmp","0,1","Match","e","trustrating_stim/white_mw033.bmp","red","Keep","1"
"html-keyboard-response","26","771729","0.0-5.0-5.3","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","KEYFB","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'><font style='color:orange'>Match<p>(e)</font></div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","27","772231","0.0-5.0-6.3","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","28","772533","0.0-5.0-1.4","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","29","774537","0.0-5.0-2.4","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv6'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='tr'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='bl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='br'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div></div></div>","null","6","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw033.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp","1,1,1,0,0,0","noMatchOutcome","i","","","",""
"html-keyboard-response","30","776041","0.0-5.0-3.4","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","31","780718","0.0-5.0-4.4","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","4676","","","","TARGET","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","e","6","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw033.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp","1,1,1,0,0,0","noMatchOutcome","i","trustrating_stim/white_mw033.bmp","red","Keep","0"
"html-keyboard-response","32","780922","0.0-5.0-5.4","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","KEYFB","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'><font style='color:orange'>Match<p>(e)</font></div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","33","781427","0.0-5.0-6.4","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/error.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","34","781728","0.0-5.0-1.5","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","35","783732","0.0-5.0-2.5","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv4'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='tr'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='br'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div></div></div>","null","4","trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw033.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw013.bmp","1,0,1,0","Match","e","","","",""
"html-keyboard-response","36","785235","0.0-5.0-3.5","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","37","791976","0.0-5.0-4.5","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","6740","","","","TARGET","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","e","4","trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw033.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw013.bmp","1,0,1,0","Match","e","trustrating_stim/white_mw033.bmp","red","Keep","1"
"html-keyboard-response","38","792178","0.0-5.0-5.5","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","KEYFB","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'><font style='color:orange'>Match<p>(e)</font></div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","39","792683","0.0-5.0-6.5","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"instructions","40","820441","0.0-6.0","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","[{""page_index"":0,""viewing_time"":27757}]","27758","","","","","","","","","","","","","","","",""
"html-keyboard-response","41","820745","0.0-7.0-1.0","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","42","822749","0.0-7.0-2.0","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv2'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div></div></div>","null","2","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw092.bmp","0,1","noMatchFace","i","","","",""
"html-keyboard-response","43","824254","0.0-7.0-3.0","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","44","826912","0.0-7.0-4.0","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","2657","","","","TARGET","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","i","2","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw092.bmp","0,1","noMatchFace","i","trustrating_stim/white_mw033.bmp","red","Keep","1"
"html-keyboard-response","45","827113","0.0-7.0-5.0","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","KEYFB","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'><font style='color:orange'>No Match<p>(i)</font></div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","46","827614","0.0-7.0-6.0","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","47","827916","0.0-7.0-1.1","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","48","829923","0.0-7.0-2.1","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv4'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='tr'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='br'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div></div></div>","null","4","trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw033.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw013.bmp","1,0,1,0","Match","e","","","",""
"html-keyboard-response","49","831427","0.0-7.0-3.1","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
