"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","targFace","targCol","targOutcome","corr"
"pavlovia","0","4","0.0-0.0","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","","","","","","","","","","","","","","","","",""
"instructions","1","4440","0.0-1.0","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","[{""page_index"":0,""viewing_time"":4436}]","4436","","","","","","","","","","","","","","","",""
"","","","","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","","fullscreenenter","2","10026","fullscreenenter","","","","","","","","","","","",""
"fullscreen","2","11016","0.0-2.0","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","","","","","","true","","","","","","","","","","",""
"instructions","3","741102","0.0-4.0","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","[{""page_index"":0,""viewing_time"":160916},{""page_index"":1,""viewing_time"":169893},{""page_index"":0,""viewing_time"":197870},{""page_index"":1,""viewing_time"":70394},{""page_index"":2,""viewing_time"":32849},{""page_index"":3,""viewing_time"":37001},{""page_index"":4,""viewing_time"":61162}]","730085","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","741406","0.0-5.0-1.0","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","5","743409","0.0-5.0-2.0","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv2'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div></div></div>","null","2","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw092.bmp","0,1","noMatchFace","i","","","",""
"html-keyboard-response","6","744910","0.0-5.0-3.0","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","7","747973","0.0-5.0-4.0","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","3062","","","","TARGET","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","i","2","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw092.bmp","0,1","noMatchFace","i","trustrating_stim/white_mw033.bmp","red","Keep","1"
"html-keyboard-response","8","748175","0.0-5.0-5.0","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","KEYFB","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'><font style='color:orange'>No Match<p>(i)</font></div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","9","748680","0.0-5.0-6.0","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","10","748981","0.0-5.0-1.1","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","11","750986","0.0-5.0-2.1","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv6'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='tr'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='bl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='br'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div></div></div>","null","6","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw003.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw038.bmp","0,1,1,0,0,1","Match","e","","","",""
"html-keyboard-response","12","752488","0.0-5.0-3.1","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","13","756407","0.0-5.0-4.1","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","3917","","","","TARGET","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","i","6","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw003.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw038.bmp","0,1,1,0,0,1","Match","e","trustrating_stim/white_mw033.bmp","red","Keep","0"
"html-keyboard-response","14","756608","0.0-5.0-5.1","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","KEYFB","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'><font style='color:orange'>No Match<p>(i)</font></div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","15","757113","0.0-5.0-6.1","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/error.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","16","757415","0.0-5.0-1.2","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","17","759419","0.0-5.0-2.2","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv4'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='tr'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='br'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div></div></div>","null","4","trustrating_stim/white_mw070.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw013.bmp","0,0,1,1","noMatchOutcome","i","","","",""
"html-keyboard-response","18","760921","0.0-5.0-3.2","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","19","763614","0.0-5.0-4.2","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","2692","","","","TARGET","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","i","4","trustrating_stim/white_mw070.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw013.bmp","0,0,1,1","noMatchOutcome","i","trustrating_stim/white_mw033.bmp","red","Keep","1"
"html-keyboard-response","20","763819","0.0-5.0-5.2","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","KEYFB","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'><font style='color:orange'>No Match<p>(i)</font></div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","21","764324","0.0-5.0-6.2","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","22","764626","0.0-5.0-1.3","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","23","766629","0.0-5.0-2.3","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv2'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div></div></div>","null","2","trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw091.bmp","0,1","Match","e","","","",""
"html-keyboard-response","24","768132","0.0-5.0-3.3","pilottest","bdp_wmem","Wed Nov 18 2020 14:39:53 GMT-0500 (Eastern Standard Time)","888649","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
