"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","trial_duration","targFace","targCol","targOutcome","corr"
"focus","0","0","focusevent","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","","","","","","","","","","","","","","","","","","",""
"","","","","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","pavlovia","0","5","0.0-0.0","","","","","","","","","","","","","","",""
"","","","","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","instructions","1","5637","0.0-1.0","[{""page_index"":0,""viewing_time"":5630}]","5631","","","","","","","","","","","","",""
"fullscreenexit","2","6899","fullscreenexit","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","","","","","","","","","","","","","","","","","","",""
"","","","","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","fullscreen","2","7668","0.0-2.0","","","true","","","","","","","","","","","",""
"","","","fullscreenfail","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","image-keyboard-response","3","12561","0.0-3.0-0.0","","4890","","","32","","","","","","","","","",""
"","","","","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","instructions","4","73570","0.0-4.0","[{""page_index"":0,""viewing_time"":24755},{""page_index"":1,""viewing_time"":27629},{""page_index"":2,""viewing_time"":4029},{""page_index"":3,""viewing_time"":2071},{""page_index"":4,""viewing_time"":2267}]","60751","","","","","","","","","","","","",""
"","","","FIX","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","5","74078","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"","","","ARRAY","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","6","78596","0.0-5.0-2.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","3","trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw003.bmp","0,1,0","noMatchOutcome","i","4500","","","",""
"","","","DELAY","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","7","82608","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"","","","TARGET","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","8","84548","0.0-5.0-4.0","","1939","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","3","trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw003.bmp","0,1,0","noMatchOutcome","i","","trustrating_stim/white_mw092.bmp","green","Share","0"
"","","","FEEDBACK","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","9","85054","0.0-5.0-5.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"","","","FIX","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","10","85557","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"","","","ARRAY","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","11","87072","0.0-5.0-2.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","1","trustrating_stim/white_mw092.bmp","1","Match","e","1500","","","",""
"","","","DELAY","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","12","91077","0.0-5.0-3.1","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"","","","TARGET","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","13","92179","0.0-5.0-4.1","","1102","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","1","trustrating_stim/white_mw092.bmp","1","Match","e","","trustrating_stim/white_mw092.bmp","green","Share","1"
"","","","FEEDBACK","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","14","92686","0.0-5.0-5.1","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"","","","FIX","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","15","93193","0.0-5.0-1.2","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"","","","ARRAY","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","16","94695","0.0-5.0-2.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","1","trustrating_stim/white_mw038.bmp","0","noMatchFace","i","1500","","","",""
"","","","DELAY","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","17","98696","0.0-5.0-3.2","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"","","","TARGET","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","18","100108","0.0-5.0-4.2","","1410","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","1","trustrating_stim/white_mw038.bmp","0","noMatchFace","i","","trustrating_stim/white_00050_931230_fa_edt.bmp","red","Keep","1"
"","","","FEEDBACK","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","19","100610","0.0-5.0-5.2","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","","","","","","","","","",""
"","","","FIX","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","20","101117","0.0-5.0-1.3","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"","","","ARRAY","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","21","104122","0.0-5.0-2.3","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw091.bmp","0,1","noMatchOutcome","i","3000","","","",""
"","","","DELAY","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","22","108132","0.0-5.0-3.3","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"","","","TARGET","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","23","109418","0.0-5.0-4.3","","1284","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw091.bmp","0,1","noMatchOutcome","i","","trustrating_stim/white_mw091.bmp","red","Keep","0"
"","","","FEEDBACK","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","24","109932","0.0-5.0-5.3","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"","","","FIX","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","25","110437","0.0-5.0-1.4","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
