"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","trial_duration","targFace","targCol","targOutcome","corr"
"","","","ARRAY","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","26","114947","0.0-5.0-2.4","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","3","trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw013.bmp","0,0,1","Match","e","4500","","","",""
"","","","DELAY","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","27","118951","0.0-5.0-3.4","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"","","","TARGET","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","28","121847","0.0-5.0-4.4","","2896","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","3","trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw013.bmp","0,0,1","Match","e","","trustrating_stim/white_mw013.bmp","green","Share","1"
"","","","FEEDBACK","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","29","122357","0.0-5.0-5.4","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"","","","FIX","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","30","122860","0.0-5.0-1.5","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"","","","ARRAY","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","31","125872","0.0-5.0-2.5","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","2","trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw015.bmp","0,1","Match","e","3000","","","",""
"","","","DELAY","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","32","129887","0.0-5.0-3.5","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"","","","TARGET","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","33","131842","0.0-5.0-4.5","","1954","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","2","trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw015.bmp","0,1","Match","e","","trustrating_stim/white_00807_941205_fb_edt.bmp","red","Keep","1"
"","","","FEEDBACK","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","34","132353","0.0-5.0-5.5","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"","","","","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","instructions","35","137655","0.0-6.0","[{""page_index"":0,""viewing_time"":5302}]","5302","","","","","","","","","","","","",""
"","","","FIX","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","36","138157","0.0-7.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"","","","ARRAY","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","37","139658","0.0-7.0-2.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","1","trustrating_stim/white_mw033.bmp","1","Match","e","1500","","","",""
"","","","DELAY","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","38","143671","0.0-7.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"","","","TARGET","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","39","144744","0.0-7.0-4.0","","1073","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","1","trustrating_stim/white_mw033.bmp","1","Match","e","","trustrating_stim/white_mw033.bmp","green","Share","1"
"","","","FEEDBACK","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","40","145257","0.0-7.0-5.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"","","","FIX","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","41","145762","0.0-7.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"","","","ARRAY","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","42","148778","0.0-7.0-2.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","2","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw003.bmp","0,1","noMatchOutcome","i","3000","","","",""
"","","","DELAY","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","43","152786","0.0-7.0-3.1","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"","","","TARGET","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","44","155439","0.0-7.0-4.1","","2652","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","2","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw003.bmp","0,1","noMatchOutcome","i","","trustrating_stim/white_mw003.bmp","red","Keep","1"
"","","","FEEDBACK","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","45","155940","0.0-7.0-5.1","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","","","","","","","","","",""
"","","","FIX","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","46","156447","0.0-7.0-1.2","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"","","","ARRAY","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","47","157963","0.0-7.0-2.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","1","trustrating_stim/white_mw070.bmp","0","noMatchOutcome","i","1500","","","",""
"","","","DELAY","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","48","161963","0.0-7.0-3.2","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"","","","TARGET","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","49","163833","0.0-7.0-4.2","","1867","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","1","trustrating_stim/white_mw070.bmp","0","noMatchOutcome","i","","trustrating_stim/white_mw070.bmp","green","Share","1"
"","","","FEEDBACK","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","50","164343","0.0-7.0-5.2","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","","","","","","","","","",""
"","","","FIX","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","51","164846","0.0-7.0-1.3","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"","","","ARRAY","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","52","167853","0.0-7.0-2.3","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","2","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw040.bmp","1,0","Match","e","3000","","","",""
"","","","DELAY","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","53","171860","0.0-7.0-3.3","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"","","","TARGET","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","54","174795","0.0-7.0-4.3","","2934","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","2","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw040.bmp","1,0","Match","e","","trustrating_stim/white_mw012.bmp","green","Share","1"
"","","","FEEDBACK","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","55","175302","0.0-7.0-5.3","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"","","","FIX","5eebc221ed4f5e389254775c","bdp_wmem","Fri Feb 05 2021 12:28:53 GMT-0800 (Pacific Standard Time)","599914","Match,No Match","html-keyboard-response","56","175805","0.0-7.0-1.4","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
