"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","trial_duration","targFace","targCol","targOutcome","corr"
"focus","0","0","focusevent","601c68ae3baef979dea29b9c","bdp_wmem","Fri Feb 05 2021 11:02:52 GMT-0600 (Central Standard Time)","643377","Match,No Match","","","","","","","","","","","","","","","","","","",""
"","","","","601c68ae3baef979dea29b9c","bdp_wmem","Fri Feb 05 2021 11:02:52 GMT-0600 (Central Standard Time)","643377","Match,No Match","pavlovia","0","14","0.0-0.0","","","","","","","","","","","","","","",""
"","","","","601c68ae3baef979dea29b9c","bdp_wmem","Fri Feb 05 2021 11:02:52 GMT-0600 (Central Standard Time)","643377","Match,No Match","instructions","1","4651","0.0-1.0","[{""page_index"":0,""viewing_time"":4635}]","4636","","","","","","","","","","","","",""
"fullscreenexit","2","7996","fullscreenexit","601c68ae3baef979dea29b9c","bdp_wmem","Fri Feb 05 2021 11:02:52 GMT-0600 (Central Standard Time)","643377","Match,No Match","","","","","","","","","","","","","","","","","","",""
"","","","","601c68ae3baef979dea29b9c","bdp_wmem","Fri Feb 05 2021 11:02:52 GMT-0600 (Central Standard Time)","643377","Match,No Match","fullscreen","2","8987","0.0-2.0","","","true","","","","","","","","","","","",""
"","","","fullscreenfail","601c68ae3baef979dea29b9c","bdp_wmem","Fri Feb 05 2021 11:02:52 GMT-0600 (Central Standard Time)","643377","Match,No Match","image-keyboard-response","3","12892","0.0-3.0-0.0","","3901","","","32","","","","","","","","","",""
"","","","","601c68ae3baef979dea29b9c","bdp_wmem","Fri Feb 05 2021 11:02:52 GMT-0600 (Central Standard Time)","643377","Match,No Match","instructions","4","114169","0.0-4.0","[{""page_index"":0,""viewing_time"":42122},{""page_index"":1,""viewing_time"":34794},{""page_index"":2,""viewing_time"":11718},{""page_index"":3,""viewing_time"":5515},{""page_index"":4,""viewing_time"":6863}]","101012","","","","","","","","","","","","",""
"","","","FIX","601c68ae3baef979dea29b9c","bdp_wmem","Fri Feb 05 2021 11:02:52 GMT-0600 (Central Standard Time)","643377","Match,No Match","html-keyboard-response","5","114688","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"","","","ARRAY","601c68ae3baef979dea29b9c","bdp_wmem","Fri Feb 05 2021 11:02:52 GMT-0600 (Central Standard Time)","643377","Match,No Match","html-keyboard-response","6","119208","0.0-5.0-2.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","3","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw091.bmp","0,0,1","noMatchOutcome","i","4500","","","",""
"","","","DELAY","601c68ae3baef979dea29b9c","bdp_wmem","Fri Feb 05 2021 11:02:52 GMT-0600 (Central Standard Time)","643377","Match,No Match","html-keyboard-response","7","123218","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"","","","TARGET","601c68ae3baef979dea29b9c","bdp_wmem","Fri Feb 05 2021 11:02:52 GMT-0600 (Central Standard Time)","643377","Match,No Match","html-keyboard-response","8","127313","0.0-5.0-4.0","","4095","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","3","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw091.bmp","0,0,1","noMatchOutcome","i","","trustrating_stim/white_mw040.bmp","green","Share","1"
"","","","FEEDBACK","601c68ae3baef979dea29b9c","bdp_wmem","Fri Feb 05 2021 11:02:52 GMT-0600 (Central Standard Time)","643377","Match,No Match","html-keyboard-response","9","127817","0.0-5.0-5.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","","","","","","","","","",""
"","","","FIX","601c68ae3baef979dea29b9c","bdp_wmem","Fri Feb 05 2021 11:02:52 GMT-0600 (Central Standard Time)","643377","Match,No Match","html-keyboard-response","10","128326","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"","","","ARRAY","601c68ae3baef979dea29b9c","bdp_wmem","Fri Feb 05 2021 11:02:52 GMT-0600 (Central Standard Time)","643377","Match,No Match","html-keyboard-response","11","129837","0.0-5.0-2.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","1","trustrating_stim/white_mw033.bmp","1","noMatchFace","i","1500","","","",""
"","","","DELAY","601c68ae3baef979dea29b9c","bdp_wmem","Fri Feb 05 2021 11:02:52 GMT-0600 (Central Standard Time)","643377","Match,No Match","html-keyboard-response","12","133858","0.0-5.0-3.1","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"","","","TARGET","601c68ae3baef979dea29b9c","bdp_wmem","Fri Feb 05 2021 11:02:52 GMT-0600 (Central Standard Time)","643377","Match,No Match","html-keyboard-response","13","135040","0.0-5.0-4.1","","1179","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","1","trustrating_stim/white_mw033.bmp","1","noMatchFace","i","","trustrating_stim/white_mw015.bmp","green","Share","1"
