"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","view_history","rt","success","stimulus","key_press","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","trial_duration","targFace","targCol","targOutcome","corr"
"pavlovia","0","5","0.0-0.0","5ed2958cf3d85d0880db5011","bdp_wmem","Fri Feb 05 2021 11:48:54 GMT-0800 (Pacific Standard Time)","575600","Match,No Match","","","","","","","","","","","","","","","","","","",""
"","","","","5ed2958cf3d85d0880db5011","bdp_wmem","Fri Feb 05 2021 11:48:54 GMT-0800 (Pacific Standard Time)","575600","Match,No Match","focus","1","13790","focusevent","","","","","","","","","","","","","","",""
"instructions","1","15921","0.0-1.0","5ed2958cf3d85d0880db5011","bdp_wmem","Fri Feb 05 2021 11:48:54 GMT-0800 (Pacific Standard Time)","575600","Match,No Match","","","","","[{""page_index"":0,""viewing_time"":15915}]","15915","","","","","","","","","","","","",""
"","","","","5ed2958cf3d85d0880db5011","bdp_wmem","Fri Feb 05 2021 11:48:54 GMT-0800 (Pacific Standard Time)","575600","Match,No Match","fullscreenenter","2","18441","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","19391","0.0-2.0","5ed2958cf3d85d0880db5011","bdp_wmem","Fri Feb 05 2021 11:48:54 GMT-0800 (Pacific Standard Time)","575600","Match,No Match","","","","","","","true","","","","","","","","","","","",""
"instructions","3","75449","0.0-4.0","5ed2958cf3d85d0880db5011","bdp_wmem","Fri Feb 05 2021 11:48:54 GMT-0800 (Pacific Standard Time)","575600","Match,No Match","","","","","[{""page_index"":0,""viewing_time"":6146},{""page_index"":1,""viewing_time"":16983},{""page_index"":2,""viewing_time"":20735},{""page_index"":3,""viewing_time"":6495},{""page_index"":4,""viewing_time"":5698}]","56057","","","","","","","","","","","","",""
"html-keyboard-response","4","75955","0.0-5.0-1.0","5ed2958cf3d85d0880db5011","bdp_wmem","Fri Feb 05 2021 11:48:54 GMT-0800 (Pacific Standard Time)","575600","Match,No Match","","","","FIX","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","5","77459","0.0-5.0-2.0","5ed2958cf3d85d0880db5011","bdp_wmem","Fri Feb 05 2021 11:48:54 GMT-0800 (Pacific Standard Time)","575600","Match,No Match","","","","ARRAY","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","1","trustrating_stim/white_mw070.bmp","1","noMatchFace","i","1500","","","",""
"html-keyboard-response","6","81465","0.0-5.0-3.0","5ed2958cf3d85d0880db5011","bdp_wmem","Fri Feb 05 2021 11:48:54 GMT-0800 (Pacific Standard Time)","575600","Match,No Match","","","","DELAY","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","7","82680","0.0-5.0-4.0","5ed2958cf3d85d0880db5011","bdp_wmem","Fri Feb 05 2021 11:48:54 GMT-0800 (Pacific Standard Time)","575600","Match,No Match","","","","TARGET","","1212","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","1","trustrating_stim/white_mw070.bmp","1","noMatchFace","i","","trustrating_stim/white_mw015.bmp","green","Share","1"
"html-keyboard-response","8","83185","0.0-5.0-5.0","5ed2958cf3d85d0880db5011","bdp_wmem","Fri Feb 05 2021 11:48:54 GMT-0800 (Pacific Standard Time)","575600","Match,No Match","","","","FEEDBACK","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","","","","","","","","","",""
