"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","view_history","rt","success","stimulus","key_press","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","trial_duration","targFace","targCol","targOutcome","corr"
"pavlovia","0","6","0.0-0.0","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","","","","","","","","","","","","","","","",""
"","","","","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","focus","1","9755","focusevent","","","","","","","","","","","","","","",""
"instructions","1","13935","0.0-1.0","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","","[{""page_index"":0,""viewing_time"":13927}]","13928","","","","","","","","","","","","",""
"","","","","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","fullscreenenter","2","17077","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","18064","0.0-2.0","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","","","","true","","","","","","","","","","","",""
"instructions","3","101633","0.0-4.0","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","","[{""page_index"":0,""viewing_time"":28828},{""page_index"":1,""viewing_time"":31782},{""page_index"":2,""viewing_time"":9475},{""page_index"":3,""viewing_time"":4557},{""page_index"":4,""viewing_time"":8926}]","83568","","","","","","","","","","","","",""
"html-keyboard-response","4","102136","0.0-5.0-1.0","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","FIX","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","5","103639","0.0-5.0-2.0","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","ARRAY","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","1","trustrating_stim/white_00807_941205_fb_edt.bmp","1","noMatchFace","i","1500","","","",""
"html-keyboard-response","6","107640","0.0-5.0-3.0","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","DELAY","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","7","108495","0.0-5.0-4.0","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","TARGET","","853","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","1","trustrating_stim/white_00807_941205_fb_edt.bmp","1","noMatchFace","i","","trustrating_stim/white_mw092.bmp","green","Share","1"
"html-keyboard-response","8","108998","0.0-5.0-5.0","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","FEEDBACK","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","9","109500","0.0-5.0-1.1","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","FIX","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","10","114003","0.0-5.0-2.1","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","ARRAY","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","3","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw015.bmp","0,1,0","noMatchOutcome","i","4500","","","",""
"html-keyboard-response","11","118005","0.0-5.0-3.1","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","DELAY","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","12","120797","0.0-5.0-4.1","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","TARGET","","2791","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","3","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw015.bmp","0,1,0","noMatchOutcome","i","","trustrating_stim/white_mw012.bmp","red","Keep","0"
"html-keyboard-response","13","121300","0.0-5.0-5.1","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","FEEDBACK","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","14","121801","0.0-5.0-1.2","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","FIX","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","15","123304","0.0-5.0-2.2","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","ARRAY","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","1","trustrating_stim/white_mw012.bmp","0","Match","e","1500","","","",""
"html-keyboard-response","16","127306","0.0-5.0-3.2","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","DELAY","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","17","128859","0.0-5.0-4.2","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","TARGET","","1552","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","1","trustrating_stim/white_mw012.bmp","0","Match","e","","trustrating_stim/white_mw012.bmp","red","Keep","0"
"html-keyboard-response","18","129361","0.0-5.0-5.2","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","FEEDBACK","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","19","129863","0.0-5.0-1.3","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","FIX","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","20","132866","0.0-5.0-2.3","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","ARRAY","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","2","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw038.bmp","0,1","noMatchFace","i","3000","","","",""
"html-keyboard-response","21","136868","0.0-5.0-3.3","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","DELAY","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","22","138160","0.0-5.0-4.3","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","TARGET","","1290","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","2","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw038.bmp","0,1","noMatchFace","i","","trustrating_stim/white_00807_941205_fb_edt.bmp","green","Share","1"
"html-keyboard-response","23","138662","0.0-5.0-5.3","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","FEEDBACK","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","24","139163","0.0-5.0-1.4","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","FIX","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","25","143666","0.0-5.0-2.4","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","ARRAY","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","3","trustrating_stim/white_mw013.bmp,trustrating_stim/white_00050_931230_fa_edt.bmp,trustrating_stim/white_mw033.bmp","1,1,0","Match","e","4500","","","",""
"html-keyboard-response","26","147668","0.0-5.0-3.4","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","DELAY","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","27","149636","0.0-5.0-4.4","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","TARGET","","1966","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","3","trustrating_stim/white_mw013.bmp,trustrating_stim/white_00050_931230_fa_edt.bmp,trustrating_stim/white_mw033.bmp","1,1,0","Match","e","","trustrating_stim/white_00050_931230_fa_edt.bmp","green","Share","1"
"html-keyboard-response","28","150138","0.0-5.0-5.4","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","FEEDBACK","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","29","150640","0.0-5.0-1.5","5f7e06f049f7a508b2d53ca7","bdp_wmem","Fri Feb 05 2021 14:43:59 GMT-0500 (Eastern Standard Time)","611233","Match,No Match","","","","FIX","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
