"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","numBlurs","stimulus","key_press","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","targFace","targCol","targOutcome","corr"
"html-keyboard-response","5","923448","0.0-5.0-2.0","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","ARRAY","","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv2'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div></div></div>","null","2","trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw003.bmp","1,0","Match","e","","","",""
"html-keyboard-response","6","924951","0.0-5.0-3.0","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","DELAY","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","7","930050","0.0-5.0-4.0","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","5098","","","","TARGET","","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","i","2","trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw003.bmp","1,0","Match","e","trustrating_stim/white_mw012.bmp","green","Share","0"
"html-keyboard-response","8","930252","0.0-5.0-5.0","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","KEYFB","","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'><font style='color:orange'>No Match<p>(i)</font></div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","9","930756","0.0-5.0-6.0","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","FEEDBACK","","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/error.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","10","931058","0.0-5.0-1.1","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","11","933061","0.0-5.0-2.1","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","ARRAY","","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv6'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='tr'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='bl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='br'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div></div></div>","null","6","trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw033.bmp,trustrating_stim/white_mw012.bmp","0,0,1,1,0,1","noMatchOutcome","i","","","",""
"html-keyboard-response","12","934564","0.0-5.0-3.1","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","DELAY","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","13","934955","0.0-5.0-4.1","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","389","","","","TARGET","","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","i","6","trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw033.bmp,trustrating_stim/white_mw012.bmp","0,0,1,1,0,1","noMatchOutcome","i","trustrating_stim/white_mw012.bmp","green","Share","1"
"html-keyboard-response","14","935157","0.0-5.0-5.1","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","KEYFB","","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'><font style='color:orange'>No Match<p>(i)</font></div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","15","935662","0.0-5.0-6.1","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","FEEDBACK","","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","16","935967","0.0-5.0-1.2","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","17","937971","0.0-5.0-2.2","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","ARRAY","","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv2'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div></div></div>","null","2","trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw092.bmp","1,0","noMatchFace","i","","","",""
"html-keyboard-response","18","939476","0.0-5.0-3.2","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","DELAY","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","19","942755","0.0-5.0-4.2","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","3278","","","","TARGET","","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","i","2","trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw092.bmp","1,0","noMatchFace","i","trustrating_stim/white_mw012.bmp","green","Share","1"
"html-keyboard-response","20","942960","0.0-5.0-5.2","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","KEYFB","","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'><font style='color:orange'>No Match<p>(i)</font></div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","21","943465","0.0-5.0-6.2","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","FEEDBACK","","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","22","943766","0.0-5.0-1.3","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","23","945771","0.0-5.0-2.3","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","ARRAY","","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv4'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='tr'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='bl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='br'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div></div></div>","null","4","trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw070.bmp","0,1,0,1","Match","e","","","",""
"html-keyboard-response","24","947272","0.0-5.0-3.3","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","DELAY","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","25","948299","0.0-5.0-4.3","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","1026","","","","TARGET","","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","i","4","trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw070.bmp","0,1,0,1","Match","e","trustrating_stim/white_mw012.bmp","green","Share","0"
"html-keyboard-response","26","948504","0.0-5.0-5.3","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","KEYFB","","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'><font style='color:orange'>No Match<p>(i)</font></div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","27","949008","0.0-5.0-6.3","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","FEEDBACK","","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/error.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","28","949310","0.0-5.0-1.4","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","29","951313","0.0-5.0-2.4","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","ARRAY","","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv4'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='tr'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='bl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='br'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div></div></div>","null","4","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw013.bmp,trustrating_stim/white_00050_931230_fa_edt.bmp,trustrating_stim/white_mw003.bmp","0,1,0,1","noMatchFace","i","","","",""
"html-keyboard-response","30","952816","0.0-5.0-3.4","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","DELAY","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","31","953572","0.0-5.0-4.4","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","754","","","","TARGET","","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","i","4","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw013.bmp,trustrating_stim/white_00050_931230_fa_edt.bmp,trustrating_stim/white_mw003.bmp","0,1,0,1","noMatchFace","i","trustrating_stim/white_mw012.bmp","green","Share","1"
"html-keyboard-response","32","953774","0.0-5.0-5.4","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","KEYFB","","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'><font style='color:orange'>No Match<p>(i)</font></div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","33","954276","0.0-5.0-6.4","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","FEEDBACK","","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","34","954577","0.0-5.0-1.5","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","35","956579","0.0-5.0-2.5","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","ARRAY","","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv6'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='tr'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='bl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='br'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div></div></div>","null","6","trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw033.bmp,trustrating_stim/white_00050_931230_fa_edt.bmp,trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw092.bmp","1,0,1,0,1,0","Match","e","","","",""
"html-keyboard-response","36","958082","0.0-5.0-3.5","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","DELAY","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","37","958540","0.0-5.0-4.5","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","456","","","","TARGET","","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","i","6","trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw033.bmp,trustrating_stim/white_00050_931230_fa_edt.bmp,trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw092.bmp","1,0,1,0,1,0","Match","e","trustrating_stim/white_mw012.bmp","green","Share","0"
"html-keyboard-response","38","958744","0.0-5.0-5.5","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","KEYFB","","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'><font style='color:orange'>No Match<p>(i)</font></div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","39","959248","0.0-5.0-6.5","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","FEEDBACK","","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/error.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"instructions","40","964108","0.0-6.0","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","[{""page_index"":0,""viewing_time"":4860}]","4860","","","","","","","","","","","","","","","","",""
"html-keyboard-response","41","964409","0.0-7.0-1.0","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","42","966414","0.0-7.0-2.0","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","ARRAY","","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv2'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div></div></div>","null","2","trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw015.bmp","0,1","noMatchOutcome","i","","","",""
"html-keyboard-response","43","967916","0.0-7.0-3.0","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","DELAY","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"html-keyboard-response","44","968628","0.0-7.0-4.0","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","710","","","","TARGET","","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","i","2","trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw015.bmp","0,1","noMatchOutcome","i","trustrating_stim/white_mw012.bmp","green","Share","1"
"html-keyboard-response","45","968830","0.0-7.0-5.0","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","KEYFB","","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'><font style='color:orange'>No Match<p>(i)</font></div></div></div></div>","null","","","","","","","","",""
"html-keyboard-response","46","969335","0.0-7.0-6.0","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","FEEDBACK","","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","",""
