"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","numBlurs","stimulus","key_press","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","targFace","targCol","targOutcome","corr"
"pavlovia","0","3","0.0-0.0","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","","","","","","","","","","","","","","","","","",""
"instructions","1","3758","0.0-1.0","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","[{""page_index"":0,""viewing_time"":3754}]","3755","","","","","","","","","","","","","","","","",""
"","","","","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","","fullscreenenter","2","19572","fullscreenenter","","","","","","","","","","","","",""
"fullscreen","2","20488","0.0-2.0","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","","","","","","true","","","","","","","","","","","",""
"","","","","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","","fullscreenexit","3","23816","fullscreenexit","","","","","","","","","","","","",""
"","","","","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","","blur","3","28782","blurevent","","1","","","","","","","","","","",""
"","","","","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","","focus","3","308007","focusevent","","","","","","","","","","","","",""
"","","","","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","","blur","3","321110","blurevent","","","","","","","","","","","","",""
"","","","","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","","focus","3","399426","focusevent","","","","","","","","","","","","",""
"","","","","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","","blur","3","407065","blurevent","","","","","","","","","","","","",""
"","","","","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","","focus","3","656873","focusevent","","","","","","","","","","","","",""
"","","","","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","","blur","3","661657","blurevent","","","","","","","","","","","","",""
"","","","","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","","focus","3","857944","focusevent","","","","","","","","","","","","",""
"","","","","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","","blur","3","879567","blurevent","","","","","","","","","","","","",""
"","","","","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","","focus","3","920475","focusevent","","","","","","","","","","","","",""
"instructions","3","921138","0.0-4.0","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","[{""page_index"":0,""viewing_time"":288085},{""page_index"":1,""viewing_time"":349219},{""page_index"":2,""viewing_time"":201103},{""page_index"":3,""viewing_time"":8972},{""page_index"":4,""viewing_time"":53270}]","900649","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","921443","0.0-5.0-1.0","pilottest","bdp_wmem","Wed Nov 18 2020 16:29:38 GMT-0500 (Eastern Standard Time)","1012091","Match,No Match","","null","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
