PROLIFIC_PID,totalTime,qa:dec_%rt<300,qa:dec_%rt>10000,qa:dec_%Conseqs,qa:dec_instruxDur,qa:frat_%rt<300,qa:frat_%rt>10000,qa:frat_%Conseqs,qa:frat_instruxDur,qa:blurEv,subj2LR_posOC,subj2LR_negOC,subj2p0_3prm,subj2NLL_biasedOC,subj2LRTp_biasedOC,subj2LR_biasedOC
5f2f86864fd821374b4367bc,317.618,0.7803030303030303,0.0075757575757575,0.8712121212121212,2.0,0.0,0.0,0.8333333333333334,0.6,0.0,0.0049438439288689,0.2689414213699951,1.0,425.9192167336682,1.0,
61492ac26b91b5b11ba2c88b,504.727,0.0,0.0,0.1590909090909091,7.36,0.0,0.0,0.0,29.62,0.0,0.1325680128753343,0.2689414213699951,0.4778329525932891,382.6123513936547,3.7301028311419895e-20,
60234c1d5a0cf81cba76ce5d,1140.393,0.0,0.053030303030303,0.1590909090909091,22.99,0.0,0.3333333333333333,0.0,56.12,0.0,4.53978687024344e-05,0.5,0.9416901287428008,421.0014491796162,0.0052818457902341,
6362aca86b740b1ec4cb6efb,635.299,0.3712121212121212,0.0075757575757575,0.2045454545454545,1.86,0.0,0.1666666666666666,0.0,65.18,4.0,4.53978687024344e-05,0.1192029220221175,0.3992367124017215,346.6328428346674,6.524940564438043e-36,
60fcd2b146529d02f1566012,442.68,0.0,0.0,0.3863636363636363,7.45,0.0,0.0,0.3333333333333333,24.14,0.0,0.0227229135715116,0.7310585786300049,0.3249696094631732,368.2876743238799,1.9429888348459246e-26,
63ed12d2c25b08ba24fe8a41,496.667,0.0,0.0,0.2196969696969697,6.32,0.0,0.0,0.3333333333333333,16.07,1.0,0.0683565922356097,0.8807970779778824,0.6688854926942703,411.577198916742,2.465386276424968e-07,
5d412a9013864b0015b14b31,324.832,0.6590909090909091,0.0,0.3484848484848485,4.58,0.0,0.0,0.0,19.13,0.0,0.0344048595387911,0.7310585786300049,0.8244400916149945,419.6984120581368,0.0012694733148016,-0.6966537190912138
63d2bc12a843f8466a8f83e0,546.348,0.0075757575757575,0.0,0.4318181818181818,13.8,0.0,0.0,0.0,71.33,1.0,4.53978687024344e-05,0.2689414213699951,0.8036873622562449,410.63498979320127,9.306002965533344e-08,
610b416fd4f5d1dcfaa28d7a,465.434,0.0,0.0,0.2424242424242424,10.85,0.0,0.0,0.1666666666666666,12.14,0.0,0.0221182547638232,0.5,0.8554318060319217,421.7382486529716,0.0120281130501875,
63d9f31dba727de153019798,336.128,0.6666666666666666,0.0,0.553030303030303,5.47,0.0,0.0,0.8333333333333334,21.47,0.0,0.9999546021312976,0.1192029220221175,1.0,287.72866274430663,1.2945745738304741e-61,
620bdd8ca922fc3f247f6c82,335.259,0.2575757575757575,0.0,0.2651515151515151,3.28,0.1666666666666666,0.0,0.1666666666666666,5.62,0.0,0.0365956607023505,0.5,0.6039361625961747,413.446500078474,1.7152256579106749e-06,-0.4634043392976494
62ec219e5f3634408fb35580,462.284,0.1893939393939394,0.0,0.3863636363636363,10.25,0.0,0.0,0.0,29.29,0.0,4.53978687024344e-05,0.1192029220221175,0.9512533472710692,421.4811624236899,0.009009750994153,
594936ad4152bf0001bfd5cd,407.559,0.0,0.0,0.3181818181818182,6.83,0.0,0.0,0.0,10.92,0.0,0.0138479767644389,0.5,0.6415912301742593,404.50288246480005,1.7059001978784398e-10,
63d842d3e9626bd5fe5c17b1,675.732,0.803030303030303,0.0,0.7121212121212122,9.1,0.0,0.0,0.0,47.24,1.0,0.0184976841834041,0.8807970779778824,1.0,429.6282200137657,1.0,
631bc422eec20143118ad66b,316.584,0.8560606060606061,0.0,0.5151515151515151,6.89,0.0,0.0,0.5,4.68,1.0,0.9999546021312976,0.1192029220221175,1.0,338.3722579660435,1.6051558755295803e-39,
58016c9f551314000145af58,471.173,0.5909090909090909,0.0,0.5378787878787878,7.46,0.0,0.0,0.1666666666666666,21.06,2.0,0.0424331972480498,0.7310585786300049,1.0,415.25353086394057,1.131101132517853e-05,
63d1c10210ce566ce71616e8,419.72,0.4166666666666667,0.0,0.1439393939393939,5.71,0.0,0.0,0.1666666666666666,26.35,0.0,0.0219801756414049,0.5,0.9997009846370816,421.8408325604557,0.0135063162133659,
