PROLIFIC_PID,totalTime,subj2LR_posOC,subj2LR_negOC,subj2p0_3prm,subj2NLL_biasedOC,subj2LR_biasedOC,subj2LRTp_biasedOC,qa:dec_%rt<300,qa:dec_%rt>10000,qa:dec_%Conseqs,qa:dec_instruxDur,qa:frat_%rt<300,qa:frat_%rt>10000,qa:frat_%Conseqs,qa:frat_instruxDur,qa:blurEv
5f2f86864fd821374b4367bc,317.618,0.0049794783761301,4.53978687024344e-05,1.0,212.96832377077936,0.0049340805074277,1.0,0.7803030303030303,0.0075757575757575,0.8712121212121212,2.0,0.0,0.0,0.8333333333333334,0.6,0.0
61492ac26b91b5b11ba2c88b,504.727,0.2110916456939131,0.0806447126701911,0.574604076319059,185.8478049481182,0.1304469330237219,3.01873030729314e-13,0.0,0.0,0.1590909090909091,7.36,0.0,0.0,0.0,29.62,0.0
60234c1d5a0cf81cba76ce5d,1140.393,0.0020999418618941,0.0089255428740772,0.984052815853364,210.3973029246911,-0.006825601012183,0.0429592989077659,0.0,0.053030303030303,0.1590909090909091,22.99,0.0,0.3333333333333333,0.0,56.12,0.0
6362aca86b740b1ec4cb6efb,635.299,4.53978687024344e-05,0.1282243053830234,0.7416888692540682,169.92169920795556,-0.128178907514321,2.9117818182736564e-20,0.3712121212121212,0.0075757575757575,0.2045454545454545,1.86,0.0,0.1666666666666666,0.0,65.18,4.0
60fcd2b146529d02f1566012,442.68,0.0353240199543072,0.1264466486924497,0.5490018499673387,181.7774944908594,-0.0911226287381424,4.810493079613905e-15,0.0,0.0,0.3863636363636363,7.45,0.0,0.0,0.3333333333333333,24.14,0.0
63ed12d2c25b08ba24fe8a41,496.667,0.3816602577923664,0.3660880688228373,1.0,151.22064126922064,0.0155721889695291,1.839638635172919e-28,0.0,0.0,0.2196969696969697,6.32,0.0,0.0,0.3333333333333333,16.07,1.0
5d412a9013864b0015b14b31,324.832,0.0344230959128883,4.53978687024344e-05,0.8244939579738573,209.8522032468656,0.0343776980441858,0.0227538163274945,0.6590909090909091,0.0,0.3484848484848485,4.58,0.0,0.0,0.0,19.13,0.0
63d2bc12a843f8466a8f83e0,546.348,0.5781214586232367,0.9999546021312976,0.9799518958801268,133.46100120691548,-0.4218331435080609,3.142549119111159e-36,0.0075757575757575,0.0,0.4318181818181818,13.8,0.0,0.0,0.0,71.33,1.0
610b416fd4f5d1dcfaa28d7a,465.434,0.5099222844314898,0.6299190662232713,0.5001247048895179,171.14467321759415,-0.1199967817917815,1.0034215154374e-19,0.0,0.0,0.2424242424242424,10.85,0.0,0.0,0.1666666666666666,12.14,0.0
63d9f31dba727de153019798,336.128,0.9999546021312976,4.53978687024344e-05,1.0,143.86716922187836,0.9999092042625952,1.1140306380273402e-31,0.6666666666666666,0.0,0.553030303030303,5.47,0.0,0.0,0.8333333333333334,21.47,0.0
