PID,"0.2,0.65","0.35,0.65","0.35,0.8","0.65,0.2","0.8,0.2","0.8,0.35","0.2,0.8","0.65,0.35"
5f2f86864fd821374b4367bc,1,1.0,1,1,1.0,2,,
5f2f86864fd821374b4367bc,1,1.0,4,1,2.0,1,,
5f2f86864fd821374b4367bc,5,1.0,1,1,5.0,5,,
5f2f86864fd821374b4367bc,1,2.0,5,5,2.0,5,,
5f2f86864fd821374b4367bc,1,5.0,5,5,1.0,1,,
5f2f86864fd821374b4367bc,1,5.0,5,5,1.0,1,,
5f2f86864fd821374b4367bc,1,5.0,5,5,1.0,1,,
5f2f86864fd821374b4367bc,1,5.0,5,5,5.0,5,,
5f2f86864fd821374b4367bc,1,5.0,5,5,5.0,5,,
5f2f86864fd821374b4367bc,1,5.0,5,5,1.0,1,,
5f2f86864fd821374b4367bc,1,5.0,5,5,1.0,1,,
5f2f86864fd821374b4367bc,1,5.0,5,5,1.0,1,,
5f2f86864fd821374b4367bc,1,5.0,5,5,1.0,1,,
5f2f86864fd821374b4367bc,1,5.0,5,5,1.0,1,,
5f2f86864fd821374b4367bc,1,5.0,5,5,1.0,1,,
5f2f86864fd821374b4367bc,1,5.0,5,5,1.0,1,,
5f2f86864fd821374b4367bc,1,5.0,5,5,1.0,1,,
5f2f86864fd821374b4367bc,1,5.0,5,5,1.0,1,,
5f2f86864fd821374b4367bc,1,5.0,5,5,1.0,1,,
5f2f86864fd821374b4367bc,1,5.0,5,5,1.0,1,,
5f2f86864fd821374b4367bc,1,5.0,5,5,1.0,1,,
5f2f86864fd821374b4367bc,1,5.0,5,5,1.0,1,,
61492ac26b91b5b11ba2c88b,2,3.0,3,3,3.0,3,,
61492ac26b91b5b11ba2c88b,1,2.0,3,2,3.0,3,,
61492ac26b91b5b11ba2c88b,1,2.0,3,3,3.0,3,,
61492ac26b91b5b11ba2c88b,1,1.0,2,2,4.0,3,,
61492ac26b91b5b11ba2c88b,3,1.0,1,2,4.0,3,,
61492ac26b91b5b11ba2c88b,4,1.0,2,2,5.0,4,,
61492ac26b91b5b11ba2c88b,4,2.0,1,3,5.0,4,,
61492ac26b91b5b11ba2c88b,5,3.0,1,3,5.0,4,,
61492ac26b91b5b11ba2c88b,5,4.0,1,3,5.0,4,,
61492ac26b91b5b11ba2c88b,5,4.0,1,2,5.0,5,,
61492ac26b91b5b11ba2c88b,5,4.0,1,1,5.0,4,,
61492ac26b91b5b11ba2c88b,5,4.0,2,5,5.0,4,,
61492ac26b91b5b11ba2c88b,5,4.0,1,2,5.0,5,,
61492ac26b91b5b11ba2c88b,4,4.0,1,2,4.0,5,,
61492ac26b91b5b11ba2c88b,5,4.0,1,1,4.0,5,,
61492ac26b91b5b11ba2c88b,5,4.0,1,1,4.0,5,,
61492ac26b91b5b11ba2c88b,5,4.0,3,1,4.0,5,,
61492ac26b91b5b11ba2c88b,5,4.0,3,1,3.0,5,,
61492ac26b91b5b11ba2c88b,4,5.0,4,1,2.0,5,,
61492ac26b91b5b11ba2c88b,5,4.0,3,1,3.0,5,,
61492ac26b91b5b11ba2c88b,5,4.0,4,1,3.0,5,,
61492ac26b91b5b11ba2c88b,5,5.0,4,1,4.0,5,,
60234c1d5a0cf81cba76ce5d,3,,4,2,,4,2.0,1.0
60234c1d5a0cf81cba76ce5d,2,,5,2,,3,4.0,2.0
60234c1d5a0cf81cba76ce5d,3,,1,3,,3,3.0,3.0
60234c1d5a0cf81cba76ce5d,3,,3,2,,2,4.0,4.0
60234c1d5a0cf81cba76ce5d,5,,2,1,,1,2.0,3.0
60234c1d5a0cf81cba76ce5d,5,,2,5,,1,3.0,2.0
60234c1d5a0cf81cba76ce5d,2,,5,4,,3,4.0,4.0
60234c1d5a0cf81cba76ce5d,1,,4,2,,3,4.0,1.0
60234c1d5a0cf81cba76ce5d,5,,5,1,,2,3.0,1.0
60234c1d5a0cf81cba76ce5d,2,,1,4,,1,5.0,2.0
60234c1d5a0cf81cba76ce5d,4,,2,2,,2,1.0,3.0
60234c1d5a0cf81cba76ce5d,1,,1,4,,3,2.0,4.0
60234c1d5a0cf81cba76ce5d,1,,2,1,,4,5.0,5.0
60234c1d5a0cf81cba76ce5d,2,,2,1,,3,3.0,1.0
60234c1d5a0cf81cba76ce5d,4,,3,5,,5,4.0,2.0
60234c1d5a0cf81cba76ce5d,2,,4,1,,5,5.0,2.0
60234c1d5a0cf81cba76ce5d,4,,5,3,,3,1.0,3.0
60234c1d5a0cf81cba76ce5d,5,,1,1,,4,2.0,1.0
60234c1d5a0cf81cba76ce5d,1,,2,2,,1,3.0,2.0
60234c1d5a0cf81cba76ce5d,4,,3,1,,3,4.0,2.0
60234c1d5a0cf81cba76ce5d,2,,3,1,,4,5.0,1.0
60234c1d5a0cf81cba76ce5d,3,,5,1,,5,1.0,2.0
6362aca86b740b1ec4cb6efb,2,,2,3,4.0,1,,2.0
6362aca86b740b1ec4cb6efb,1,,3,1,1.0,2,,1.0
6362aca86b740b1ec4cb6efb,1,,5,3,4.0,3,,2.0
6362aca86b740b1ec4cb6efb,3,,2,2,3.0,5,,1.0
6362aca86b740b1ec4cb6efb,1,,2,2,1.0,3,,2.0
6362aca86b740b1ec4cb6efb,3,,5,1,3.0,4,,1.0
6362aca86b740b1ec4cb6efb,2,,1,1,2.0,1,,1.0
6362aca86b740b1ec4cb6efb,1,,2,2,2.0,1,,2.0
6362aca86b740b1ec4cb6efb,2,,3,3,2.0,2,,1.0
6362aca86b740b1ec4cb6efb,3,,5,2,1.0,1,,1.0
6362aca86b740b1ec4cb6efb,1,,1,2,5.0,2,,2.0
6362aca86b740b1ec4cb6efb,3,,1,1,3.0,1,,2.0
6362aca86b740b1ec4cb6efb,2,,3,1,2.0,3,,1.0
6362aca86b740b1ec4cb6efb,1,,5,3,1.0,3,,5.0
6362aca86b740b1ec4cb6efb,2,,2,1,1.0,1,,1.0
6362aca86b740b1ec4cb6efb,1,,1,2,3.0,1,,1.0
6362aca86b740b1ec4cb6efb,1,,1,2,3.0,2,,2.0
6362aca86b740b1ec4cb6efb,1,,2,1,1.0,3,,1.0
6362aca86b740b1ec4cb6efb,1,,2,1,1.0,3,,1.0
6362aca86b740b1ec4cb6efb,1,,3,2,1.0,2,,1.0
