PID,"0.2,0.65","0.2,0.8","0.35,0.65","0.35,0.8","0.65,0.2","0.8,0.35","0.65,0.35","0.8,0.2"
5f2f86864fd821374b4367bc,0,0.0,0.0,0,0,1,,
5f2f86864fd821374b4367bc,0,0.0,0.0,1,1,1,,
5f2f86864fd821374b4367bc,0,0.0,1.0,1,1,1,,
5f2f86864fd821374b4367bc,0,0.0,0.0,1,0,1,,
5f2f86864fd821374b4367bc,0,1.0,0.0,0,1,1,,
5f2f86864fd821374b4367bc,1,0.0,0.0,0,0,1,,
5f2f86864fd821374b4367bc,0,0.0,0.0,0,1,1,,
5f2f86864fd821374b4367bc,0,1.0,0.0,1,1,1,,
5f2f86864fd821374b4367bc,0,0.0,0.0,0,1,0,,
5f2f86864fd821374b4367bc,0,0.0,0.0,1,1,0,,
5f2f86864fd821374b4367bc,0,1.0,0.0,0,1,0,,
5f2f86864fd821374b4367bc,1,1.0,1.0,0,1,0,,
5f2f86864fd821374b4367bc,0,1.0,1.0,1,0,0,,
5f2f86864fd821374b4367bc,0,1.0,1.0,1,1,0,,
5f2f86864fd821374b4367bc,0,1.0,1.0,1,1,0,,
5f2f86864fd821374b4367bc,1,1.0,1.0,0,0,1,,
5f2f86864fd821374b4367bc,1,1.0,1.0,1,0,0,,
5f2f86864fd821374b4367bc,1,1.0,1.0,1,1,0,,
5f2f86864fd821374b4367bc,1,1.0,1.0,1,0,0,,
5f2f86864fd821374b4367bc,1,1.0,1.0,1,1,1,,
5f2f86864fd821374b4367bc,0,1.0,1.0,1,0,1,,
5f2f86864fd821374b4367bc,0,0.0,1.0,1,1,1,,
61492ac26b91b5b11ba2c88b,0,0.0,,0,1,1,1.0,
61492ac26b91b5b11ba2c88b,0,0.0,,0,0,1,0.0,
61492ac26b91b5b11ba2c88b,0,0.0,,0,1,1,1.0,
61492ac26b91b5b11ba2c88b,1,1.0,,0,0,0,1.0,
61492ac26b91b5b11ba2c88b,0,0.0,,0,1,0,1.0,
61492ac26b91b5b11ba2c88b,1,0.0,,1,1,1,1.0,
61492ac26b91b5b11ba2c88b,0,0.0,,1,1,0,0.0,
61492ac26b91b5b11ba2c88b,0,0.0,,1,1,1,0.0,
61492ac26b91b5b11ba2c88b,0,0.0,,1,1,1,0.0,
61492ac26b91b5b11ba2c88b,0,0.0,,1,1,1,0.0,
61492ac26b91b5b11ba2c88b,1,0.0,,1,1,1,0.0,
61492ac26b91b5b11ba2c88b,0,1.0,,1,0,1,1.0,
61492ac26b91b5b11ba2c88b,0,1.0,,1,0,1,0.0,
61492ac26b91b5b11ba2c88b,1,1.0,,1,0,0,1.0,
61492ac26b91b5b11ba2c88b,1,1.0,,1,0,0,0.0,
61492ac26b91b5b11ba2c88b,0,1.0,,0,0,0,1.0,
61492ac26b91b5b11ba2c88b,0,0.0,,1,0,0,1.0,
61492ac26b91b5b11ba2c88b,1,1.0,,1,0,1,1.0,
61492ac26b91b5b11ba2c88b,1,1.0,,1,0,0,0.0,
61492ac26b91b5b11ba2c88b,0,1.0,,1,1,1,0.0,
61492ac26b91b5b11ba2c88b,0,1.0,,0,0,0,1.0,
61492ac26b91b5b11ba2c88b,1,1.0,,1,0,1,1.0,
60234c1d5a0cf81cba76ce5d,0,,,1,1,1,0.0,1.0
60234c1d5a0cf81cba76ce5d,0,,,0,1,0,1.0,0.0
60234c1d5a0cf81cba76ce5d,0,,,1,0,1,0.0,1.0
60234c1d5a0cf81cba76ce5d,0,,,0,0,1,0.0,1.0
60234c1d5a0cf81cba76ce5d,1,,,0,1,1,1.0,1.0
60234c1d5a0cf81cba76ce5d,0,,,0,0,1,0.0,1.0
60234c1d5a0cf81cba76ce5d,0,,,0,1,1,1.0,0.0
60234c1d5a0cf81cba76ce5d,0,,,1,1,0,1.0,1.0
60234c1d5a0cf81cba76ce5d,0,,,1,0,1,1.0,0.0
60234c1d5a0cf81cba76ce5d,1,,,0,1,1,0.0,1.0
60234c1d5a0cf81cba76ce5d,0,,,1,1,1,1.0,0.0
60234c1d5a0cf81cba76ce5d,1,,,1,1,1,1.0,0.0
60234c1d5a0cf81cba76ce5d,1,,,1,0,1,0.0,0.0
60234c1d5a0cf81cba76ce5d,0,,,1,1,0,0.0,0.0
60234c1d5a0cf81cba76ce5d,1,,,1,1,0,0.0,0.0
60234c1d5a0cf81cba76ce5d,0,,,1,0,0,1.0,0.0
60234c1d5a0cf81cba76ce5d,0,,,1,0,0,1.0,0.0
60234c1d5a0cf81cba76ce5d,0,,,1,0,1,0.0,0.0
60234c1d5a0cf81cba76ce5d,1,,,1,0,0,1.0,0.0
60234c1d5a0cf81cba76ce5d,1,,,1,1,0,1.0,1.0
60234c1d5a0cf81cba76ce5d,0,,,1,0,1,0.0,0.0
60234c1d5a0cf81cba76ce5d,1,,,1,0,0,0.0,0.0
6362aca86b740b1ec4cb6efb,0,1.0,,0,1,1,1.0,
6362aca86b740b1ec4cb6efb,1,0.0,,0,1,0,1.0,
6362aca86b740b1ec4cb6efb,0,0.0,,1,0,1,1.0,
6362aca86b740b1ec4cb6efb,0,0.0,,0,1,1,0.0,
6362aca86b740b1ec4cb6efb,0,0.0,,0,1,1,1.0,
6362aca86b740b1ec4cb6efb,0,1.0,,1,0,1,1.0,
6362aca86b740b1ec4cb6efb,0,0.0,,0,0,1,1.0,
6362aca86b740b1ec4cb6efb,0,1.0,,0,1,1,0.0,
6362aca86b740b1ec4cb6efb,1,1.0,,0,0,1,0.0,
6362aca86b740b1ec4cb6efb,1,1.0,,1,1,1,1.0,
6362aca86b740b1ec4cb6efb,0,0.0,,1,0,1,0.0,
6362aca86b740b1ec4cb6efb,1,1.0,,0,1,1,0.0,
6362aca86b740b1ec4cb6efb,1,0.0,,1,0,0,0.0,
6362aca86b740b1ec4cb6efb,1,1.0,,0,0,0,0.0,
6362aca86b740b1ec4cb6efb,1,1.0,,1,0,0,0.0,
6362aca86b740b1ec4cb6efb,0,1.0,,1,0,0,0.0,
6362aca86b740b1ec4cb6efb,0,1.0,,1,0,0,0.0,
6362aca86b740b1ec4cb6efb,1,1.0,,1,0,0,1.0,
6362aca86b740b1ec4cb6efb,0,1.0,,1,0,1,0.0,
6362aca86b740b1ec4cb6efb,1,1.0,,1,0,0,0.0,
6362aca86b740b1ec4cb6efb,0,1.0,,1,0,0,0.0,
6362aca86b740b1ec4cb6efb,1,1.0,,1,0,1,0.0,
60fcd2b146529d02f1566012,0,,,0,1,1,0.0,1.0
60fcd2b146529d02f1566012,0,,,0,1,1,1.0,1.0
60fcd2b146529d02f1566012,0,,,1,0,1,0.0,1.0
