"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round","numBlurs"
"focus","0","0","focusevent","63e885e4e1fc973179d56f63","bdp_trlrn","Sat Apr 08 2023 11:24:00 GMT-0500 (Central Daylight Time)","646275","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63e885e4e1fc973179d56f63","bdp_trlrn","Sat Apr 08 2023 11:24:00 GMT-0500 (Central Daylight Time)","646275","Untrustworthy,Trustworthy","pavlovia","0","13","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","63e885e4e1fc973179d56f63","bdp_trlrn","Sat Apr 08 2023 11:24:00 GMT-0500 (Central Daylight Time)","646275","Untrustworthy,Trustworthy","instructions","1","14192","0.0-1.0","[{""page_index"":0,""viewing_time"":14175}]","14175","","","","","","","","","","","","","","",""
"fullscreenexit","2","19084","fullscreenexit","63e885e4e1fc973179d56f63","bdp_trlrn","Sat Apr 08 2023 11:24:00 GMT-0500 (Central Daylight Time)","646275","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63e885e4e1fc973179d56f63","bdp_trlrn","Sat Apr 08 2023 11:24:00 GMT-0500 (Central Daylight Time)","646275","Untrustworthy,Trustworthy","fullscreen","2","19842","0.0-2.0","","","true","","","","","","","","","","","","","",""
"","","","fullscreenfail","63e885e4e1fc973179d56f63","bdp_trlrn","Sat Apr 08 2023 11:24:00 GMT-0500 (Central Daylight Time)","646275","Untrustworthy,Trustworthy","image-keyboard-response","3","21465","0.0-3.0-0.0","","1610","","","32","","","","","","","","","","","",""
"","","","","63e885e4e1fc973179d56f63","bdp_trlrn","Sat Apr 08 2023 11:24:00 GMT-0500 (Central Daylight Time)","646275","Untrustworthy,Trustworthy","instructions","4","30876","0.0-4.0","[{""page_index"":0,""viewing_time"":8310},{""page_index"":1,""viewing_time"":842}]","9154","","","","","","","","","","","","","","",""
"","","","","63e885e4e1fc973179d56f63","bdp_trlrn","Sat Apr 08 2023 11:24:00 GMT-0500 (Central Daylight Time)","646275","Untrustworthy,Trustworthy","instructions","5","32452","0.0-5.0","[{""page_index"":0,""viewing_time"":1572}]","1573","","","","","","","","","","","","","","",""
"","","","rating","63e885e4e1fc973179d56f63","bdp_trlrn","Sat Apr 08 2023 11:24:00 GMT-0500 (Central Daylight Time)","646275","Untrustworthy,Trustworthy","image-keyboard-response","6","34488","0.0-6.0-1.0","","1919","","trustrating_stim/white_00340_940422_fa_edt.bmp","2","","","","","","","","","","","",""
"","","","ratingFB","63e885e4e1fc973179d56f63","bdp_trlrn","Sat Apr 08 2023 11:24:00 GMT-0500 (Central Daylight Time)","646275","Untrustworthy,Trustworthy","image-keyboard-response","7","34707","0.0-6.0-2.0","","null","","trustrating_stim/white_00340_940422_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63e885e4e1fc973179d56f63","bdp_trlrn","Sat Apr 08 2023 11:24:00 GMT-0500 (Central Daylight Time)","646275","Untrustworthy,Trustworthy","image-keyboard-response","8","36553","0.0-6.0-1.1","","1724","","trustrating_stim/white_00299_940422_fa_edt.bmp","7","","","","","","","","","","","",""
"","","","ratingFB","63e885e4e1fc973179d56f63","bdp_trlrn","Sat Apr 08 2023 11:24:00 GMT-0500 (Central Daylight Time)","646275","Untrustworthy,Trustworthy","image-keyboard-response","9","36756","0.0-6.0-2.1","","null","","trustrating_stim/white_00299_940422_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63e885e4e1fc973179d56f63","bdp_trlrn","Sat Apr 08 2023 11:24:00 GMT-0500 (Central Daylight Time)","646275","Untrustworthy,Trustworthy","image-keyboard-response","10","38743","0.0-6.0-1.2","","1868","","trustrating_stim/white_mw071.bmp","4","","","","","","","","","","","",""
"","","","ratingFB","63e885e4e1fc973179d56f63","bdp_trlrn","Sat Apr 08 2023 11:24:00 GMT-0500 (Central Daylight Time)","646275","Untrustworthy,Trustworthy","image-keyboard-response","11","38945","0.0-6.0-2.2","","null","","trustrating_stim/white_mw071.bmp","null","","","","","","","","","","","",""
"","","","rating","63e885e4e1fc973179d56f63","bdp_trlrn","Sat Apr 08 2023 11:24:00 GMT-0500 (Central Daylight Time)","646275","Untrustworthy,Trustworthy","image-keyboard-response","12","40710","0.0-6.0-1.3","","1638","","trustrating_stim/white_00577_940928_fa_edt.bmp","3","","","","","","","","","","","",""
"","","","ratingFB","63e885e4e1fc973179d56f63","bdp_trlrn","Sat Apr 08 2023 11:24:00 GMT-0500 (Central Daylight Time)","646275","Untrustworthy,Trustworthy","image-keyboard-response","13","40926","0.0-6.0-2.3","","null","","trustrating_stim/white_00577_940928_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63e885e4e1fc973179d56f63","bdp_trlrn","Sat Apr 08 2023 11:24:00 GMT-0500 (Central Daylight Time)","646275","Untrustworthy,Trustworthy","image-keyboard-response","14","42519","0.0-6.0-1.4","","1471","","trustrating_stim/white_00109_931230_fa_edt.bmp","8","","","","","","","","","","","",""
"","","","ratingFB","63e885e4e1fc973179d56f63","bdp_trlrn","Sat Apr 08 2023 11:24:00 GMT-0500 (Central Daylight Time)","646275","Untrustworthy,Trustworthy","image-keyboard-response","15","42737","0.0-6.0-2.4","","null","","trustrating_stim/white_00109_931230_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63e885e4e1fc973179d56f63","bdp_trlrn","Sat Apr 08 2023 11:24:00 GMT-0500 (Central Daylight Time)","646275","Untrustworthy,Trustworthy","image-keyboard-response","16","44879","0.0-6.0-1.5","","2021","","trustrating_stim/white_00761_941201_fb_edt.bmp","3","","","","","","","","","","","",""
"","","","ratingFB","63e885e4e1fc973179d56f63","bdp_trlrn","Sat Apr 08 2023 11:24:00 GMT-0500 (Central Daylight Time)","646275","Untrustworthy,Trustworthy","image-keyboard-response","17","45086","0.0-6.0-2.5","","null","","trustrating_stim/white_00761_941201_fb_edt.bmp","null","","","","","","","","","","","",""
