"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","numBlurs","view_history","rt","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"focus","0","0","focusevent","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","pavlovia","0","1","0.0-0.0","","","","","","","","","","","","","","","","",""
"blur","1","1556","blurevent","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","","","","","1","","","","","","","","","","","","","","","",""
"focus","1","2990","focusevent","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","instructions","1","4560","0.0-1.0","","[{""page_index"":0,""viewing_time"":4558}]","4558","","","","","","","","","","","","","",""
"fullscreenexit","2","6157","fullscreenexit","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","fullscreen","2","6911","0.0-2.0","","","","true","","","","","","","","","","","","",""
"","","","fullscreenfail","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","3","7658","0.0-3.0-0.0","","","743","","","32","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","instructions","4","11561","0.0-4.0","","[{""page_index"":0,""viewing_time"":2571},{""page_index"":1,""viewing_time"":1075}]","3646","","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","instructions","5","12929","0.0-5.0","","[{""page_index"":0,""viewing_time"":1367}]","1367","","","","","","","","","","","","","",""
"","","","rating","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","6","15553","0.0-6.0-1.0","","","2514","","trustrating_stim/white_00761_941201_fb_edt.bmp","6","","","","","","","","","","",""
"","","","ratingFB","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","7","15762","0.0-6.0-2.0","","","null","","trustrating_stim/white_00761_941201_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","8","17440","0.0-6.0-1.1","","","1574","","trustrating_stim/white_00659_941121_fa_edt.bmp","5","","","","","","","","","","",""
"","","","ratingFB","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","9","17646","0.0-6.0-2.1","","","null","","trustrating_stim/white_00659_941121_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","10","18543","0.0-6.0-1.2","","","788","","trustrating_stim/white_00757_941201_fa_edt.bmp","7","","","","","","","","","","",""
"","","","ratingFB","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","11","18746","0.0-6.0-2.2","","","null","","trustrating_stim/white_00757_941201_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","12","19736","0.0-6.0-1.3","","","887","","trustrating_stim/white_00299_940422_fa_edt.bmp","8","","","","","","","","","","",""
"","","","ratingFB","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","13","19940","0.0-6.0-2.3","","","null","","trustrating_stim/white_00299_940422_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","14","20818","0.0-6.0-1.4","","","770","","trustrating_stim/white_00129_931230_fb_edt.bmp","9","","","","","","","","","","",""
"","","","ratingFB","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","15","21025","0.0-6.0-2.4","","","null","","trustrating_stim/white_00129_931230_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","16","22439","0.0-6.0-1.5","","","1311","","trustrating_stim/white_mw089.bmp","6","","","","","","","","","","",""
"","","","ratingFB","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","17","22645","0.0-6.0-2.5","","","null","","trustrating_stim/white_mw089.bmp","null","","","","","","","","","","",""
"","","","rating","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","18","23436","0.0-6.0-1.6","","","686","","trustrating_stim/white_mw084.bmp","7","","","","","","","","","","",""
"","","","ratingFB","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","19","23643","0.0-6.0-2.6","","","null","","trustrating_stim/white_mw084.bmp","null","","","","","","","","","","",""
"","","","rating","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","20","24822","0.0-6.0-1.7","","","1076","","trustrating_stim/white_00602_940928_fb_edt.bmp","7","","","","","","","","","","",""
"","","","ratingFB","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","21","25027","0.0-6.0-2.7","","","null","","trustrating_stim/white_00602_940928_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","22","26586","0.0-6.0-1.8","","","1454","","trustrating_stim/white_mw060.bmp","5","","","","","","","","","","",""
"","","","ratingFB","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","23","26792","0.0-6.0-2.8","","","null","","trustrating_stim/white_mw060.bmp","null","","","","","","","","","","",""
"","","","rating","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","24","28341","0.0-6.0-1.9","","","1446","","trustrating_stim/white_mw066.bmp","6","","","","","","","","","","",""
"","","","ratingFB","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","25","28547","0.0-6.0-2.9","","","null","","trustrating_stim/white_mw066.bmp","null","","","","","","","","","","",""
"","","","rating","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","26","29743","0.0-6.0-1.10","","","1088","","trustrating_stim/white_00340_940422_fa_edt.bmp","6","","","","","","","","","","",""
"","","","ratingFB","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","27","29951","0.0-6.0-2.10","","","null","","trustrating_stim/white_00340_940422_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","28","31225","0.0-6.0-1.11","","","1172","","trustrating_stim/white_mw048.bmp","6","","","","","","","","","","",""
"","","","ratingFB","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","29","31431","0.0-6.0-2.11","","","null","","trustrating_stim/white_mw048.bmp","null","","","","","","","","","","",""
"","","","rating","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","30","32404","0.0-6.0-1.12","","","866","","trustrating_stim/white_00519_940519_fb_edt.bmp","7","","","","","","","","","","",""
"","","","ratingFB","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","31","32606","0.0-6.0-2.12","","","null","","trustrating_stim/white_00519_940519_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","32","33635","0.0-6.0-1.13","","","923","","trustrating_stim/white_00807_941205_fb_edt.bmp","7","","","","","","","","","","",""
"","","","ratingFB","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","33","33842","0.0-6.0-2.13","","","null","","trustrating_stim/white_00807_941205_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","34","34675","0.0-6.0-1.14","","","730","","trustrating_stim/white_00898_960530_fa_edt.bmp","8","","","","","","","","","","",""
"","","","ratingFB","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","35","34879","0.0-6.0-2.14","","","null","","trustrating_stim/white_00898_960530_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","36","36079","0.0-6.0-1.15","","","1094","","trustrating_stim/white_00577_940928_fa_edt.bmp","6","","","","","","","","","","",""
"","","","ratingFB","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","37","36285","0.0-6.0-2.15","","","null","","trustrating_stim/white_00577_940928_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6005fd9c8bbd67931607e518","bdp_trlrn","Sun Mar 12 2023 20:28:29 GMT-0700 (Pacific Daylight Time)","461831","Untrustworthy,Trustworthy","image-keyboard-response","38","37441","0.0-6.0-1.16","","","1049","","trustrating_stim/white_mw049.bmp","8","","","","","","","","","","",""
