"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","numBlurs","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"focus","0","0","focusevent","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","instructions","1","12004","0.0-1.0","[{""page_index"":0,""viewing_time"":12002}]","12002","","","","","","","","","","","","","","",""
"fullscreenenter","2","14247","fullscreenenter","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","fullscreen","2","15237","0.0-2.0","","","true","","","","","","","","","","","","","",""
"fullscreenexit","3","16196","fullscreenexit","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"blur","3","19547","blurevent","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","","","","","","","","1","","","","","","","","","","","","",""
"focus","3","28808","focusevent","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","instructions","3","53684","0.0-4.0","[{""page_index"":0,""viewing_time"":24317},{""page_index"":1,""viewing_time"":14129}]","38446","","","","","","","","","","","","","","",""
"","","","","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","instructions","4","55108","0.0-5.0","[{""page_index"":0,""viewing_time"":1424}]","1424","","","","","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","5","57580","0.0-6.0-1.0","","2370","","","trustrating_stim/white_00120_931230_fa_edt.bmp","8","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","6","57795","0.0-6.0-2.0","","null","","","trustrating_stim/white_00120_931230_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","7","59250","0.0-6.0-1.1","","1354","","","trustrating_stim/white_00519_940519_fb_edt.bmp","8","","","","","","","","","","",""
