"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"focus","0","0","focusevent","5e090bd339bcde2032a37427","bdp_trlrn","Tue May 11 2021 12:55:01 GMT-0600 (Mountain Daylight Time)","642547","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"","","","","5e090bd339bcde2032a37427","bdp_trlrn","Tue May 11 2021 12:55:01 GMT-0600 (Mountain Daylight Time)","642547","Untrustworthy,Trustworthy","pavlovia","0","3","0.0-0.0","","","","","","","","","","","","","",""
"","","","","5e090bd339bcde2032a37427","bdp_trlrn","Tue May 11 2021 12:55:01 GMT-0600 (Mountain Daylight Time)","642547","Untrustworthy,Trustworthy","instructions","1","5316","0.0-1.0","[{""page_index"":0,""viewing_time"":5311}]","5311","","","","","","","","","","","",""
"fullscreenexit","2","7943","fullscreenexit","5e090bd339bcde2032a37427","bdp_trlrn","Tue May 11 2021 12:55:01 GMT-0600 (Mountain Daylight Time)","642547","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"","","","","5e090bd339bcde2032a37427","bdp_trlrn","Tue May 11 2021 12:55:01 GMT-0600 (Mountain Daylight Time)","642547","Untrustworthy,Trustworthy","fullscreen","2","8721","0.0-2.0","","","true","","","","","","","","","","",""
"","","","fullscreenfail","5e090bd339bcde2032a37427","bdp_trlrn","Tue May 11 2021 12:55:01 GMT-0600 (Mountain Daylight Time)","642547","Untrustworthy,Trustworthy","image-keyboard-response","3","11486","0.0-3.0-0.0","","2764","","","32","","","","","","","","",""
"","","","","5e090bd339bcde2032a37427","bdp_trlrn","Tue May 11 2021 12:55:01 GMT-0600 (Mountain Daylight Time)","642547","Untrustworthy,Trustworthy","instructions","4","93101","0.0-4.0","[{""page_index"":0,""viewing_time"":5432},{""page_index"":1,""viewing_time"":75927}]","81359","","","","","","","","","","","",""
"","","","","5e090bd339bcde2032a37427","bdp_trlrn","Tue May 11 2021 12:55:01 GMT-0600 (Mountain Daylight Time)","642547","Untrustworthy,Trustworthy","instructions","5","94516","0.0-5.0","[{""page_index"":0,""viewing_time"":1414}]","1414","","","","","","","","","","","",""
"","","","rating","5e090bd339bcde2032a37427","bdp_trlrn","Tue May 11 2021 12:55:01 GMT-0600 (Mountain Daylight Time)","642547","Untrustworthy,Trustworthy","image-keyboard-response","6","96711","0.0-6.0-1.0","","2092","","trustrating_stim/white_mw085.bmp","7","","","","","","","","",""
"","","","ratingFB","5e090bd339bcde2032a37427","bdp_trlrn","Tue May 11 2021 12:55:01 GMT-0600 (Mountain Daylight Time)","642547","Untrustworthy,Trustworthy","image-keyboard-response","7","96913","0.0-6.0-2.0","","null","","trustrating_stim/white_mw085.bmp","null","","","","","","","","",""
"","","","rating","5e090bd339bcde2032a37427","bdp_trlrn","Tue May 11 2021 12:55:01 GMT-0600 (Mountain Daylight Time)","642547","Untrustworthy,Trustworthy","image-keyboard-response","8","98555","0.0-6.0-1.1","","1537","","trustrating_stim/white_00658_941121_fb_edt.bmp","7","","","","","","","","",""
"","","","ratingFB","5e090bd339bcde2032a37427","bdp_trlrn","Tue May 11 2021 12:55:01 GMT-0600 (Mountain Daylight Time)","642547","Untrustworthy,Trustworthy","image-keyboard-response","9","98757","0.0-6.0-2.1","","null","","trustrating_stim/white_00658_941121_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","5e090bd339bcde2032a37427","bdp_trlrn","Tue May 11 2021 12:55:01 GMT-0600 (Mountain Daylight Time)","642547","Untrustworthy,Trustworthy","image-keyboard-response","10","99817","0.0-6.0-1.2","","958","","trustrating_stim/white_mw022.bmp","7","","","","","","","","",""
