"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"pavlovia","0","4","0.0-0.0","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","blur","1","1135","blurevent","1","","","","","","","","","","","","","","","",""
"","","","","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","focus","1","3489","focusevent","","","","","","","","","","","","","","","","",""
"instructions","1","5974","0.0-1.0","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","","","[{""page_index"":0,""viewing_time"":5969}]","5969","","","","","","","","","","","","","",""
"","","","","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","fullscreenenter","2","10608","fullscreenenter","","","","","","","","","","","","","","","","",""
"fullscreen","2","11586","0.0-2.0","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","18118","0.0-4.0","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","","","[{""page_index"":0,""viewing_time"":5273},{""page_index"":1,""viewing_time"":1254}]","6528","","","","","","","","","","","","","",""
"instructions","4","19364","0.0-5.0","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","","","[{""page_index"":0,""viewing_time"":1244}]","1245","","","","","","","","","","","","","",""
"image-keyboard-response","5","21925","0.0-6.0-1.0","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","rating","","","2453","","trustrating_stim/white_mw089.bmp","5","","","","","","","","","","",""
"image-keyboard-response","6","22136","0.0-6.0-2.0","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_mw089.bmp","null","","","","","","","","","","",""
"image-keyboard-response","7","23662","0.0-6.0-1.1","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","rating","","","1407","","trustrating_stim/white_mw035.bmp","4","","","","","","","","","","",""
"image-keyboard-response","8","23874","0.0-6.0-2.1","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_mw035.bmp","null","","","","","","","","","","",""
"image-keyboard-response","9","25737","0.0-6.0-1.2","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","rating","","","1755","","trustrating_stim/white_00602_940928_fb_edt.bmp","4","","","","","","","","","","",""
"image-keyboard-response","10","25955","0.0-6.0-2.2","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_00602_940928_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","11","27005","0.0-6.0-1.3","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","rating","","","944","","trustrating_stim/white_00898_960530_fa_edt.bmp","5","","","","","","","","","","",""
"image-keyboard-response","12","27213","0.0-6.0-2.3","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_00898_960530_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","13","29342","0.0-6.0-1.4","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","rating","","","2022","","trustrating_stim/white_mw060.bmp","3","","","","","","","","","","",""
"image-keyboard-response","14","29547","0.0-6.0-2.4","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_mw060.bmp","null","","","","","","","","","","",""
"image-keyboard-response","15","30903","0.0-6.0-1.5","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","rating","","","1244","","trustrating_stim/white_00757_941201_fa_edt.bmp","2","","","","","","","","","","",""
"image-keyboard-response","16","31108","0.0-6.0-2.5","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_00757_941201_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","17","32264","0.0-6.0-1.6","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","rating","","","1046","","trustrating_stim/white_mw049.bmp","5","","","","","","","","","","",""
"image-keyboard-response","18","32473","0.0-6.0-2.6","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_mw049.bmp","null","","","","","","","","","","",""
"image-keyboard-response","19","33662","0.0-6.0-1.7","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","rating","","","1081","","trustrating_stim/white_00761_941201_fb_edt.bmp","4","","","","","","","","","","",""
"image-keyboard-response","20","33868","0.0-6.0-2.7","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_00761_941201_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","21","35893","0.0-6.0-1.8","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","rating","","","1916","","trustrating_stim/white_00659_941121_fa_edt.bmp","2","","","","","","","","","","",""
"image-keyboard-response","22","36103","0.0-6.0-2.8","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_00659_941121_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","23","38464","0.0-6.0-1.9","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","rating","","","2247","","trustrating_stim/white_00223_940128_fb_edt.bmp","3","","","","","","","","","","",""
"image-keyboard-response","24","38674","0.0-6.0-2.9","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_00223_940128_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","25","40055","0.0-6.0-1.10","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","rating","","","1277","","trustrating_stim/white_mw066.bmp","5","","","","","","","","","","",""
"image-keyboard-response","26","40264","0.0-6.0-2.10","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_mw066.bmp","null","","","","","","","","","","",""
"image-keyboard-response","27","41414","0.0-6.0-1.11","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","rating","","","1045","","trustrating_stim/white_mw084.bmp","5","","","","","","","","","","",""
"image-keyboard-response","28","41621","0.0-6.0-2.11","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_mw084.bmp","null","","","","","","","","","","",""
"image-keyboard-response","29","43219","0.0-6.0-1.12","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","rating","","","1496","","trustrating_stim/white_mw046.bmp","4","","","","","","","","","","",""
"image-keyboard-response","30","43422","0.0-6.0-2.12","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_mw046.bmp","null","","","","","","","","","","",""
"image-keyboard-response","31","44397","0.0-6.0-1.13","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","rating","","","865","","trustrating_stim/white_00577_940928_fa_edt.bmp","5","","","","","","","","","","",""
"image-keyboard-response","32","44599","0.0-6.0-2.13","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_00577_940928_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","33","46341","0.0-6.0-1.14","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","rating","","","1628","","trustrating_stim/white_00785_941205_fb_edt.bmp","4","","","","","","","","","","",""
"image-keyboard-response","34","46546","0.0-6.0-2.14","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","35","48182","0.0-6.0-1.15","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","rating","","","1527","","trustrating_stim/white_mw071.bmp","3","","","","","","","","","","",""
"image-keyboard-response","36","48385","0.0-6.0-2.15","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_mw071.bmp","null","","","","","","","","","","",""
"image-keyboard-response","37","49741","0.0-6.0-1.16","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","rating","","","1248","","trustrating_stim/white_mw053.bmp","5","","","","","","","","","","",""
"image-keyboard-response","38","49943","0.0-6.0-2.16","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_mw053.bmp","null","","","","","","","","","","",""
"image-keyboard-response","39","51274","0.0-6.0-1.17","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","rating","","","1222","","trustrating_stim/white_mw099.bmp","5","","","","","","","","","","",""
"image-keyboard-response","40","51477","0.0-6.0-2.17","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_mw099.bmp","null","","","","","","","","","","",""
"image-keyboard-response","41","52345","0.0-6.0-1.18","62b33e2a447824fbd0770025","bdp_trlrn","Sat Apr 08 2023 12:50:03 GMT-0400 (Eastern Daylight Time)","624284","Untrustworthy,Trustworthy","","","","rating","","","752","","trustrating_stim/white_mw063.bmp","4","","","","","","","","","","",""
