"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","numBlurs","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"image-keyboard-response","12","33173","0.0-6.0-2.3","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw033.bmp","null","","","","","","","","","","",""
"image-keyboard-response","13","34479","0.0-6.0-1.4","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","1205","","","","rating","","","trustrating_stim/white_00577_940928_fa_edt.bmp","5","","","","","","","","","","",""
"image-keyboard-response","14","34680","0.0-6.0-2.4","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00577_940928_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","15","35764","0.0-6.0-1.5","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","983","","","","rating","","","trustrating_stim/white_mw097.bmp","5","","","","","","","","","","",""
"image-keyboard-response","16","35965","0.0-6.0-2.5","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw097.bmp","null","","","","","","","","","","",""
"image-keyboard-response","17","37337","0.0-6.0-1.6","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","1270","","","","rating","","","trustrating_stim/white_00785_941205_fb_edt.bmp","6","","","","","","","","","","",""
"image-keyboard-response","18","37538","0.0-6.0-2.6","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","19","38754","0.0-6.0-1.7","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","1113","","","","rating","","","trustrating_stim/white_00602_940928_fb_edt.bmp","7","","","","","","","","","","",""
"image-keyboard-response","20","38956","0.0-6.0-2.7","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00602_940928_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","21","40487","0.0-6.0-1.8","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","1429","","","","rating","","","trustrating_stim/white_00659_941121_fa_edt.bmp","3","","","","","","","","","","",""
"image-keyboard-response","22","40688","0.0-6.0-2.8","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00659_941121_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","23","44241","0.0-6.0-1.9","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","3451","","","","rating","","","trustrating_stim/white_mw053.bmp","5","","","","","","","","","","",""
"image-keyboard-response","24","44443","0.0-6.0-2.9","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw053.bmp","null","","","","","","","","","","",""
"image-keyboard-response","25","45436","0.0-6.0-1.10","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","890","","","","rating","","","trustrating_stim/white_mw071.bmp","5","","","","","","","","","","",""
"image-keyboard-response","26","45638","0.0-6.0-2.10","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw071.bmp","null","","","","","","","","","","",""
"image-keyboard-response","27","46789","0.0-6.0-1.11","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","1049","","","","rating","","","trustrating_stim/white_mw084.bmp","7","","","","","","","","","","",""
"image-keyboard-response","28","46990","0.0-6.0-2.11","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw084.bmp","null","","","","","","","","","","",""
"image-keyboard-response","29","48631","0.0-6.0-1.12","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","1540","","","","rating","","","trustrating_stim/white_00761_941201_fb_edt.bmp","6","","","","","","","","","","",""
"image-keyboard-response","30","48833","0.0-6.0-2.12","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00761_941201_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","31","49869","0.0-6.0-1.13","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","934","","","","rating","","","trustrating_stim/white_00120_931230_fa_edt.bmp","6","","","","","","","","","","",""
"image-keyboard-response","32","50071","0.0-6.0-2.13","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00120_931230_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","33","51084","0.0-6.0-1.14","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","912","","","","rating","","","trustrating_stim/white_mw035.bmp","5","","","","","","","","","","",""
"image-keyboard-response","34","51285","0.0-6.0-2.14","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw035.bmp","null","","","","","","","","","","",""
"image-keyboard-response","35","52254","0.0-6.0-1.15","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","866","","","","rating","","","trustrating_stim/white_00223_940128_fb_edt.bmp","5","","","","","","","","","","",""
"image-keyboard-response","36","52454","0.0-6.0-2.15","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00223_940128_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","37","54121","0.0-6.0-1.16","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","1565","","","","rating","","","trustrating_stim/white_mw063.bmp","2","","","","","","","","","","",""
"image-keyboard-response","38","54323","0.0-6.0-2.16","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw063.bmp","null","","","","","","","","","","",""
"image-keyboard-response","39","55314","0.0-6.0-1.17","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","890","","","","rating","","","trustrating_stim/white_mw099.bmp","4","","","","","","","","","","",""
"image-keyboard-response","40","55514","0.0-6.0-2.17","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw099.bmp","null","","","","","","","","","","",""
"image-keyboard-response","41","57453","0.0-6.0-1.18","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","1837","","","","rating","","","trustrating_stim/white_mw089.bmp","4","","","","","","","","","","",""
"image-keyboard-response","42","57655","0.0-6.0-2.18","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw089.bmp","null","","","","","","","","","","",""
"image-keyboard-response","43","58801","0.0-6.0-1.19","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","1045","","","","rating","","","trustrating_stim/white_00299_940422_fa_edt.bmp","4","","","","","","","","","","",""
"image-keyboard-response","44","59004","0.0-6.0-2.19","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00299_940422_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","45","61183","0.0-6.0-1.20","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","2063","","","","rating","","","trustrating_stim/white_00340_940422_fa_edt.bmp","3","","","","","","","","","","",""
"image-keyboard-response","46","61385","0.0-6.0-2.20","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00340_940422_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","47","63302","0.0-6.0-1.21","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","1815","","","","rating","","","trustrating_stim/white_00807_941205_fb_edt.bmp","2","","","","","","","","","","",""
"image-keyboard-response","48","63503","0.0-6.0-2.21","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00807_941205_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","49","64741","0.0-6.0-1.22","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","1136","","","","rating","","","trustrating_stim/white_mw056.bmp","2","","","","","","","","","","",""
"image-keyboard-response","50","64943","0.0-6.0-2.22","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw056.bmp","null","","","","","","","","","","",""
"image-keyboard-response","51","66519","0.0-6.0-1.23","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","1474","","","","rating","","","trustrating_stim/white_00898_960530_fa_edt.bmp","5","","","","","","","","","","",""
"image-keyboard-response","52","66722","0.0-6.0-2.23","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00898_960530_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","53","68930","0.0-6.0-1.24","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","2106","","","","rating","","","trustrating_stim/white_00519_940519_fb_edt.bmp","4","","","","","","","","","","",""
"image-keyboard-response","54","69132","0.0-6.0-2.24","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00519_940519_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","55","70366","0.0-6.0-1.25","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","1132","","","","rating","","","trustrating_stim/white_00109_931230_fa_edt.bmp","7","","","","","","","","","","",""
"image-keyboard-response","56","70567","0.0-6.0-2.25","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00109_931230_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","57","71965","0.0-6.0-1.26","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","1295","","","","rating","","","trustrating_stim/white_mw046.bmp","5","","","","","","","","","","",""
"image-keyboard-response","58","72168","0.0-6.0-2.26","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw046.bmp","null","","","","","","","","","","",""
"image-keyboard-response","59","73652","0.0-6.0-1.27","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","1381","","","","rating","","","trustrating_stim/white_mw048.bmp","4","","","","","","","","","","",""
"image-keyboard-response","60","73853","0.0-6.0-2.27","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw048.bmp","null","","","","","","","","","","",""
"image-keyboard-response","61","76059","0.0-6.0-1.28","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","2104","","","","rating","","","trustrating_stim/white_mw060.bmp","1","","","","","","","","","","",""
"image-keyboard-response","62","76260","0.0-6.0-2.28","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw060.bmp","null","","","","","","","","","","",""
"image-keyboard-response","63","78534","0.0-6.0-1.29","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","2171","","","","rating","","","trustrating_stim/white_mw066.bmp","5","","","","","","","","","","",""
"image-keyboard-response","64","78736","0.0-6.0-2.29","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw066.bmp","null","","","","","","","","","","",""
"image-keyboard-response","65","80066","0.0-6.0-1.30","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","1229","","","","rating","","","trustrating_stim/white_mw084.bmp","6","","","","","","","","","","",""
"image-keyboard-response","66","80266","0.0-6.0-2.30","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw084.bmp","null","","","","","","","","","","",""
"image-keyboard-response","67","81099","0.0-6.0-1.31","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","731","","","","rating","","","trustrating_stim/white_mw066.bmp","5","","","","","","","","","","",""
"image-keyboard-response","68","81300","0.0-6.0-2.31","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw066.bmp","null","","","","","","","","","","",""
"image-keyboard-response","69","83033","0.0-6.0-1.32","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","1631","","","","rating","","","trustrating_stim/white_mw089.bmp","2","","","","","","","","","","",""
"image-keyboard-response","70","83235","0.0-6.0-2.32","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw089.bmp","null","","","","","","","","","","",""
"image-keyboard-response","71","84159","0.0-6.0-1.33","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","823","","","","rating","","","trustrating_stim/white_mw060.bmp","3","","","","","","","","","","",""
"image-keyboard-response","72","84360","0.0-6.0-2.33","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw060.bmp","null","","","","","","","","","","",""
"image-keyboard-response","73","86319","0.0-6.0-1.34","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","1856","","","","rating","","","trustrating_stim/white_00299_940422_fa_edt.bmp","5","","","","","","","","","","",""
"image-keyboard-response","74","86520","0.0-6.0-2.34","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00299_940422_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","75","88858","0.0-6.0-1.35","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","2236","","","","rating","","","trustrating_stim/white_00757_941201_fa_edt.bmp","4","","","","","","","","","","",""
"image-keyboard-response","76","89059","0.0-6.0-2.35","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00757_941201_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","77","95182","0.0-6.0-1.36","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","6020","","","","rating","","","trustrating_stim/white_mw056.bmp","4","","","","","","","","","","",""
"image-keyboard-response","78","95385","0.0-6.0-2.36","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw056.bmp","null","","","","","","","","","","",""
"image-keyboard-response","79","96445","0.0-6.0-1.37","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","956","","","","rating","","","trustrating_stim/white_mw063.bmp","3","","","","","","","","","","",""
"image-keyboard-response","80","96646","0.0-6.0-2.37","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw063.bmp","null","","","","","","","","","","",""
"image-keyboard-response","81","98222","0.0-6.0-1.38","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","1472","","","","rating","","","trustrating_stim/white_00120_931230_fa_edt.bmp","5","","","","","","","","","","",""
"image-keyboard-response","82","98423","0.0-6.0-2.38","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00120_931230_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","83","99729","0.0-6.0-1.39","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","1204","","","","rating","","","trustrating_stim/white_mw046.bmp","5","","","","","","","","","","",""
"image-keyboard-response","84","99930","0.0-6.0-2.39","5d2a49241d8d930001c263a7","bdp_trlrn","Tue Mar 14 2023 00:17:35 GMT-0400 (Eastern Daylight Time)","744489","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw046.bmp","null","","","","","","","","","","",""
