"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","numBlurs","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"focus","0","0","focusevent","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"blur","0","0","blurevent","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","1","","","","","","","","","","","","","","","","","","","",""
"","","","","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","pavlovia","0","1","0.0-0.0","","","","","","","","","","","","","","","",""
"focus","1","1367","focusevent","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","instructions","1","6187","0.0-1.0","[{""page_index"":0,""viewing_time"":6186}]","6186","","","","","","","","","","","","","",""
"fullscreenexit","2","9295","fullscreenexit","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","fullscreen","2","10102","0.0-2.0","","","true","","","","","","","","","","","","",""
"","","","fullscreenfail","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","3","18975","0.0-3.0-0.0","","8872","","","32","","","","","","","","","","",""
"","","","","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","instructions","4","29481","0.0-4.0","[{""page_index"":0,""viewing_time"":8438},{""page_index"":1,""viewing_time"":1815}]","10253","","","","","","","","","","","","","",""
"","","","","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","instructions","5","30926","0.0-5.0","[{""page_index"":0,""viewing_time"":1444}]","1444","","","","","","","","","","","","","",""
"","","","rating","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","6","32302","0.0-6.0-1.0","","1263","","trustrating_stim/white_00785_941205_fb_edt.bmp","2","","","","","","","","","","",""
"","","","ratingFB","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","7","32503","0.0-6.0-2.0","","null","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","8","33857","0.0-6.0-1.1","","1243","","trustrating_stim/white_00659_941121_fa_edt.bmp","3","","","","","","","","","","",""
"","","","ratingFB","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","9","34060","0.0-6.0-2.1","","null","","trustrating_stim/white_00659_941121_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","10","35962","0.0-6.0-1.2","","1791","","trustrating_stim/white_mw084.bmp","3","","","","","","","","","","",""
"","","","ratingFB","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","11","36175","0.0-6.0-2.2","","null","","trustrating_stim/white_mw084.bmp","null","","","","","","","","","","",""
"","","","rating","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","12","37489","0.0-6.0-1.3","","1203","","trustrating_stim/white_00757_941201_fa_edt.bmp","2","","","","","","","","","","",""
"","","","ratingFB","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","13","37704","0.0-6.0-2.3","","null","","trustrating_stim/white_00757_941201_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","14","38932","0.0-6.0-1.4","","1118","","trustrating_stim/white_00299_940422_fa_edt.bmp","4","","","","","","","","","","",""
"","","","ratingFB","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","15","39142","0.0-6.0-2.4","","null","","trustrating_stim/white_00299_940422_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","16","40362","0.0-6.0-1.5","","1108","","trustrating_stim/white_00898_960530_fa_edt.bmp","4","","","","","","","","","","",""
"","","","ratingFB","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","17","40570","0.0-6.0-2.5","","null","","trustrating_stim/white_00898_960530_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","18","41704","0.0-6.0-1.6","","1023","","trustrating_stim/white_mw033.bmp","3","","","","","","","","","","",""
"","","","ratingFB","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","19","41907","0.0-6.0-2.6","","null","","trustrating_stim/white_mw033.bmp","null","","","","","","","","","","",""
"","","","rating","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","20","43510","0.0-6.0-1.7","","1492","","trustrating_stim/white_00602_940928_fb_edt.bmp","4","","","","","","","","","","",""
"","","","ratingFB","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","21","43723","0.0-6.0-2.7","","null","","trustrating_stim/white_00602_940928_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","22","44774","0.0-6.0-1.8","","942","","trustrating_stim/white_mw053.bmp","3","","","","","","","","","","",""
"","","","ratingFB","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","23","44976","0.0-6.0-2.8","","null","","trustrating_stim/white_mw053.bmp","null","","","","","","","","","","",""
"","","","rating","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","24","46288","0.0-6.0-1.9","","1204","","trustrating_stim/white_00519_940519_fb_edt.bmp","2","","","","","","","","","","",""
"","","","ratingFB","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","25","46490","0.0-6.0-2.9","","null","","trustrating_stim/white_00519_940519_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","26","48411","0.0-6.0-1.10","","1810","","trustrating_stim/white_00340_940422_fa_edt.bmp","1","","","","","","","","","","",""
"","","","ratingFB","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","27","48619","0.0-6.0-2.10","","null","","trustrating_stim/white_00340_940422_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","28","49754","0.0-6.0-1.11","","1025","","trustrating_stim/white_mw089.bmp","4","","","","","","","","","","",""
"","","","ratingFB","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","29","49968","0.0-6.0-2.11","","null","","trustrating_stim/white_mw089.bmp","null","","","","","","","","","","",""
"","","","rating","5f5834134283933a1c3b42d0","bdp_trlrn","Wed Mar 15 2023 15:17:23 GMT-0400 (Eastern Daylight Time)","577561","Untrustworthy,Trustworthy","","image-keyboard-response","30","51660","0.0-6.0-1.12","","1584","","trustrating_stim/white_mw066.bmp","5","","","","","","","","","","",""
