"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","numBlurs","success"
"pavlovia","0","2","0.0-0.0","","","","","","","",""
"instructions","1","13025","0.0-1.0","[{""page_index"":0,""viewing_time"":13022}]","13022","","","","","",""
"","","","","","","blur","2","19803","blurevent","1",""
"","","","","","","focus","2","38205","focusevent","",""
"","","","","","","fullscreenenter","2","40226","fullscreenenter","",""
"fullscreen","2","41210","0.0-2.0","","","","","","","","true"
"","","","","","","fullscreenexit","3","52508","fullscreenexit","",""
"","","","","","","blur","3","59516","blurevent","2",""
