"trial_type","trial_index","time_elapsed","internal_node_id","event","trial","time","trialtype","numBlurs"
"pavlovia","0","2","0.0-0.0","","","","",""
"","","","","blur","1","28524","blurevent","1"
"","","","","focus","1","32842","focusevent",""
"","","","","blur","1","52171","blurevent",""
"","","","","focus","1","165680","focusevent",""
"","","","","blur","1","171350","blurevent",""
"","","","","focus","1","420782","focusevent",""
"","","","","blur","1","426920","blurevent",""
"","","","","focus","1","426921","focusevent",""
