"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"focus","0","0","focusevent","608eca7ccddd6b465ae4805b","bdp_trlrn","Tue May 11 2021 22:03:23 GMT-0500 (Central Daylight Time)","661618","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"","","","","608eca7ccddd6b465ae4805b","bdp_trlrn","Tue May 11 2021 22:03:23 GMT-0500 (Central Daylight Time)","661618","Untrustworthy,Trustworthy","pavlovia","0","10","0.0-0.0","","","","","","","","","","","","","",""
"","","","","608eca7ccddd6b465ae4805b","bdp_trlrn","Tue May 11 2021 22:03:23 GMT-0500 (Central Daylight Time)","661618","Untrustworthy,Trustworthy","instructions","1","79097","0.0-1.0","[{""page_index"":0,""viewing_time"":79086}]","79086","","","","","","","","","","","",""
"fullscreenexit","2","81314","fullscreenexit","608eca7ccddd6b465ae4805b","bdp_trlrn","Tue May 11 2021 22:03:23 GMT-0500 (Central Daylight Time)","661618","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"","","","","608eca7ccddd6b465ae4805b","bdp_trlrn","Tue May 11 2021 22:03:23 GMT-0500 (Central Daylight Time)","661618","Untrustworthy,Trustworthy","fullscreen","2","82266","0.0-2.0","","","true","","","","","","","","","","",""
"","","","fullscreenfail","608eca7ccddd6b465ae4805b","bdp_trlrn","Tue May 11 2021 22:03:23 GMT-0500 (Central Daylight Time)","661618","Untrustworthy,Trustworthy","image-keyboard-response","3","86202","0.0-3.0-0.0","","3931","","","32","","","","","","","","",""
"","","","","608eca7ccddd6b465ae4805b","bdp_trlrn","Tue May 11 2021 22:03:23 GMT-0500 (Central Daylight Time)","661618","Untrustworthy,Trustworthy","instructions","4","107964","0.0-4.0","[{""page_index"":0,""viewing_time"":11473},{""page_index"":1,""viewing_time"":10036}]","21510","","","","","","","","","","","",""
"","","","","608eca7ccddd6b465ae4805b","bdp_trlrn","Tue May 11 2021 22:03:23 GMT-0500 (Central Daylight Time)","661618","Untrustworthy,Trustworthy","instructions","5","109477","0.0-5.0","[{""page_index"":0,""viewing_time"":1511}]","1512","","","","","","","","","","","",""
"","","","rating","608eca7ccddd6b465ae4805b","bdp_trlrn","Tue May 11 2021 22:03:23 GMT-0500 (Central Daylight Time)","661618","Untrustworthy,Trustworthy","image-keyboard-response","6","113139","0.0-6.0-1.0","","3559","","trustrating_stim/white_mw085.bmp","2","","","","","","","","",""
"","","","ratingFB","608eca7ccddd6b465ae4805b","bdp_trlrn","Tue May 11 2021 22:03:23 GMT-0500 (Central Daylight Time)","661618","Untrustworthy,Trustworthy","image-keyboard-response","7","113341","0.0-6.0-2.0","","null","","trustrating_stim/white_mw085.bmp","null","","","","","","","","",""
"","","","rating","608eca7ccddd6b465ae4805b","bdp_trlrn","Tue May 11 2021 22:03:23 GMT-0500 (Central Daylight Time)","661618","Untrustworthy,Trustworthy","image-keyboard-response","8","115397","0.0-6.0-1.1","","1953","","trustrating_stim/white_00960_960627_fb_edt.bmp","2","","","","","","","","",""
"","","","ratingFB","608eca7ccddd6b465ae4805b","bdp_trlrn","Tue May 11 2021 22:03:23 GMT-0500 (Central Daylight Time)","661618","Untrustworthy,Trustworthy","image-keyboard-response","9","115599","0.0-6.0-2.1","","null","","trustrating_stim/white_00960_960627_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","608eca7ccddd6b465ae4805b","bdp_trlrn","Tue May 11 2021 22:03:23 GMT-0500 (Central Daylight Time)","661618","Untrustworthy,Trustworthy","image-keyboard-response","10","117797","0.0-6.0-1.2","","2096","","trustrating_stim/white_mw043.bmp","4","","","","","","","","",""
"","","","ratingFB","608eca7ccddd6b465ae4805b","bdp_trlrn","Tue May 11 2021 22:03:23 GMT-0500 (Central Daylight Time)","661618","Untrustworthy,Trustworthy","image-keyboard-response","11","117999","0.0-6.0-2.2","","null","","trustrating_stim/white_mw043.bmp","null","","","","","","","","",""
"","","","rating","608eca7ccddd6b465ae4805b","bdp_trlrn","Tue May 11 2021 22:03:23 GMT-0500 (Central Daylight Time)","661618","Untrustworthy,Trustworthy","image-keyboard-response","12","119448","0.0-6.0-1.3","","1348","","trustrating_stim/white_mw084.bmp","2","","","","","","","","",""
"","","","ratingFB","608eca7ccddd6b465ae4805b","bdp_trlrn","Tue May 11 2021 22:03:23 GMT-0500 (Central Daylight Time)","661618","Untrustworthy,Trustworthy","image-keyboard-response","13","119651","0.0-6.0-2.3","","null","","trustrating_stim/white_mw084.bmp","null","","","","","","","","",""
