"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"blur","0","0","blurevent","1","60fd933d5461857048f9e74c","bdp_trlrn","Sun Mar 12 2023 19:56:23 GMT-0700 (Pacific Daylight Time)","552315","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","","60fd933d5461857048f9e74c","bdp_trlrn","Sun Mar 12 2023 19:56:23 GMT-0700 (Pacific Daylight Time)","552315","Untrustworthy,Trustworthy","pavlovia","0","4","0.0-0.0","","","","","","","","","","","","","","","",""
"focus","1","1903","focusevent","","60fd933d5461857048f9e74c","bdp_trlrn","Sun Mar 12 2023 19:56:23 GMT-0700 (Pacific Daylight Time)","552315","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","","60fd933d5461857048f9e74c","bdp_trlrn","Sun Mar 12 2023 19:56:23 GMT-0700 (Pacific Daylight Time)","552315","Untrustworthy,Trustworthy","instructions","1","30449","0.0-1.0","[{""page_index"":0,""viewing_time"":30445}]","30445","","","","","","","","","","","","","",""
"fullscreenenter","2","33291","fullscreenenter","","60fd933d5461857048f9e74c","bdp_trlrn","Sun Mar 12 2023 19:56:23 GMT-0700 (Pacific Daylight Time)","552315","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","","60fd933d5461857048f9e74c","bdp_trlrn","Sun Mar 12 2023 19:56:23 GMT-0700 (Pacific Daylight Time)","552315","Untrustworthy,Trustworthy","fullscreen","2","34246","0.0-2.0","","","true","","","","","","","","","","","","",""
"","","","","","60fd933d5461857048f9e74c","bdp_trlrn","Sun Mar 12 2023 19:56:23 GMT-0700 (Pacific Daylight Time)","552315","Untrustworthy,Trustworthy","instructions","3","44622","0.0-4.0","[{""page_index"":0,""viewing_time"":7229},{""page_index"":1,""viewing_time"":3144}]","10373","","","","","","","","","","","","","",""
"","","","","","60fd933d5461857048f9e74c","bdp_trlrn","Sun Mar 12 2023 19:56:23 GMT-0700 (Pacific Daylight Time)","552315","Untrustworthy,Trustworthy","instructions","4","45821","0.0-5.0","[{""page_index"":0,""viewing_time"":1198}]","1198","","","","","","","","","","","","","",""
"","","","rating","","60fd933d5461857048f9e74c","bdp_trlrn","Sun Mar 12 2023 19:56:23 GMT-0700 (Pacific Daylight Time)","552315","Untrustworthy,Trustworthy","image-keyboard-response","5","48284","0.0-6.0-1.0","","2357","","trustrating_stim/white_00659_941121_fa_edt.bmp","3","","","","","","","","","","",""
"","","","ratingFB","","60fd933d5461857048f9e74c","bdp_trlrn","Sun Mar 12 2023 19:56:23 GMT-0700 (Pacific Daylight Time)","552315","Untrustworthy,Trustworthy","image-keyboard-response","6","48486","0.0-6.0-2.0","","null","","trustrating_stim/white_00659_941121_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","","60fd933d5461857048f9e74c","bdp_trlrn","Sun Mar 12 2023 19:56:23 GMT-0700 (Pacific Daylight Time)","552315","Untrustworthy,Trustworthy","image-keyboard-response","7","50039","0.0-6.0-1.1","","1450","","trustrating_stim/white_mw048.bmp","2","","","","","","","","","","",""
"","","","ratingFB","","60fd933d5461857048f9e74c","bdp_trlrn","Sun Mar 12 2023 19:56:23 GMT-0700 (Pacific Daylight Time)","552315","Untrustworthy,Trustworthy","image-keyboard-response","8","50242","0.0-6.0-2.1","","null","","trustrating_stim/white_mw048.bmp","null","","","","","","","","","","",""
"","","","rating","","60fd933d5461857048f9e74c","bdp_trlrn","Sun Mar 12 2023 19:56:23 GMT-0700 (Pacific Daylight Time)","552315","Untrustworthy,Trustworthy","image-keyboard-response","9","52056","0.0-6.0-1.2","","1712","","trustrating_stim/white_00223_940128_fb_edt.bmp","1","","","","","","","","","","",""
"","","","ratingFB","","60fd933d5461857048f9e74c","bdp_trlrn","Sun Mar 12 2023 19:56:23 GMT-0700 (Pacific Daylight Time)","552315","Untrustworthy,Trustworthy","image-keyboard-response","10","52259","0.0-6.0-2.2","","null","","trustrating_stim/white_00223_940128_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","","60fd933d5461857048f9e74c","bdp_trlrn","Sun Mar 12 2023 19:56:23 GMT-0700 (Pacific Daylight Time)","552315","Untrustworthy,Trustworthy","image-keyboard-response","11","54364","0.0-6.0-1.3","","2003","","trustrating_stim/white_mw089.bmp","3","","","","","","","","","","",""
"","","","ratingFB","","60fd933d5461857048f9e74c","bdp_trlrn","Sun Mar 12 2023 19:56:23 GMT-0700 (Pacific Daylight Time)","552315","Untrustworthy,Trustworthy","image-keyboard-response","12","54566","0.0-6.0-2.3","","null","","trustrating_stim/white_mw089.bmp","null","","","","","","","","","","",""
"","","","rating","","60fd933d5461857048f9e74c","bdp_trlrn","Sun Mar 12 2023 19:56:23 GMT-0700 (Pacific Daylight Time)","552315","Untrustworthy,Trustworthy","image-keyboard-response","13","56147","0.0-6.0-1.4","","1479","","trustrating_stim/white_00785_941205_fb_edt.bmp","1","","","","","","","","","","",""
"","","","ratingFB","","60fd933d5461857048f9e74c","bdp_trlrn","Sun Mar 12 2023 19:56:23 GMT-0700 (Pacific Daylight Time)","552315","Untrustworthy,Trustworthy","image-keyboard-response","14","56360","0.0-6.0-2.4","","null","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","","60fd933d5461857048f9e74c","bdp_trlrn","Sun Mar 12 2023 19:56:23 GMT-0700 (Pacific Daylight Time)","552315","Untrustworthy,Trustworthy","image-keyboard-response","15","58185","0.0-6.0-1.5","","1722","","trustrating_stim/white_00299_940422_fa_edt.bmp","5","","","","","","","","","","",""
"","","","ratingFB","","60fd933d5461857048f9e74c","bdp_trlrn","Sun Mar 12 2023 19:56:23 GMT-0700 (Pacific Daylight Time)","552315","Untrustworthy,Trustworthy","image-keyboard-response","16","58387","0.0-6.0-2.5","","null","","trustrating_stim/white_00299_940422_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","","60fd933d5461857048f9e74c","bdp_trlrn","Sun Mar 12 2023 19:56:23 GMT-0700 (Pacific Daylight Time)","552315","Untrustworthy,Trustworthy","image-keyboard-response","17","59956","0.0-6.0-1.6","","1466","","trustrating_stim/white_00340_940422_fa_edt.bmp","2","","","","","","","","","","",""
"","","","ratingFB","","60fd933d5461857048f9e74c","bdp_trlrn","Sun Mar 12 2023 19:56:23 GMT-0700 (Pacific Daylight Time)","552315","Untrustworthy,Trustworthy","image-keyboard-response","18","60158","0.0-6.0-2.6","","null","","trustrating_stim/white_00340_940422_fa_edt.bmp","null","","","","","","","","","","",""
