"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round","numBlurs"
"focus","0","0","focusevent","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","",""
"","","","","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","pavlovia","0","5","0.0-0.0","","","","","","","","","","","","","","",""
"","","","","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","instructions","1","2440","0.0-1.0","[{""page_index"":0,""viewing_time"":2435}]","2435","","","","","","","","","","","","",""
"fullscreenexit","2","5376","fullscreenexit","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","",""
"","","","","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","fullscreen","2","6135","0.0-2.0","","","true","","","","","","","","","","","",""
"fullscreenexit","3","6462","fullscreenexit","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","",""
"","","","fullscreenfail","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","3","10160","0.0-3.0-0.0","","4021","","","32","","","","","","","","","",""
"","","","","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","instructions","4","15131","0.0-4.0","[{""page_index"":0,""viewing_time"":3838},{""page_index"":1,""viewing_time"":881}]","4719","","","","","","","","","","","","",""
"","","","","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","instructions","5","16423","0.0-5.0","[{""page_index"":0,""viewing_time"":1291}]","1291","","","","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","6","17157","0.0-6.0-1.0","","629","","trustrating_stim/white_mw019.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","7","17362","0.0-6.0-2.0","","null","","trustrating_stim/white_mw019.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","8","17797","0.0-6.0-1.1","","328","","trustrating_stim/white_mw046.bmp","5","","","","","","","","","",""
