"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"blur","0","0","blurevent","1","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"","","","","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","pavlovia","0","3","0.0-0.0","","","","","","","","","","","","","",""
"focus","1","28560","focusevent","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"","","","","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","instructions","1","30232","0.0-1.0","[{""page_index"":0,""viewing_time"":30228}]","30228","","","","","","","","","","","",""
"fullscreenenter","2","32184","fullscreenenter","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"","","","","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","fullscreen","2","33142","0.0-2.0","","","true","","","","","","","","","","",""
"","","","","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","instructions","3","37275","0.0-4.0","[{""page_index"":0,""viewing_time"":1549},{""page_index"":1,""viewing_time"":2582}]","4131","","","","","","","","","","","",""
"","","","","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","instructions","4","38083","0.0-5.0","[{""page_index"":0,""viewing_time"":807}]","807","","","","","","","","","","","",""
"","","","rating","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","image-keyboard-response","5","38607","0.0-6.0-1.0","","420","","trustrating_stim/white_mw012.bmp","1","","","","","","","","",""
"","","","ratingFB","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","image-keyboard-response","6","38811","0.0-6.0-2.0","","null","","trustrating_stim/white_mw012.bmp","null","","","","","","","","",""
"","","","rating","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","image-keyboard-response","7","38944","0.0-6.0-1.1","","30","","trustrating_stim/white_mw099.bmp","1","","","","","","","","",""
"","","","ratingFB","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","image-keyboard-response","8","39147","0.0-6.0-2.1","","null","","trustrating_stim/white_mw099.bmp","null","","","","","","","","",""
"","","","rating","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","image-keyboard-response","9","39379","0.0-6.0-1.2","","128","","trustrating_stim/white_00960_960627_fb_edt.bmp","1","","","","","","","","",""
"","","","ratingFB","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","image-keyboard-response","10","39582","0.0-6.0-2.2","","null","","trustrating_stim/white_00960_960627_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","image-keyboard-response","11","39983","0.0-6.0-1.3","","297","","trustrating_stim/white_00807_941205_fb_edt.bmp","1","","","","","","","","",""
"","","","ratingFB","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","image-keyboard-response","12","40186","0.0-6.0-2.3","","null","","trustrating_stim/white_00807_941205_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","image-keyboard-response","13","40488","0.0-6.0-1.4","","199","","trustrating_stim/white_mw046.bmp","1","","","","","","","","",""
"","","","ratingFB","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","image-keyboard-response","14","40690","0.0-6.0-2.4","","null","","trustrating_stim/white_mw046.bmp","null","","","","","","","","",""
"","","","rating","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","image-keyboard-response","15","40845","0.0-6.0-1.5","","53","","trustrating_stim/white_mw097.bmp","1","","","","","","","","",""
"","","","ratingFB","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","image-keyboard-response","16","41048","0.0-6.0-2.5","","null","","trustrating_stim/white_mw097.bmp","null","","","","","","","","",""
"","","","rating","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","image-keyboard-response","17","41295","0.0-6.0-1.6","","144","","trustrating_stim/white_mw071.bmp","1","","","","","","","","",""
"","","","ratingFB","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","image-keyboard-response","18","41498","0.0-6.0-2.6","","null","","trustrating_stim/white_mw071.bmp","null","","","","","","","","",""
"","","","rating","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","image-keyboard-response","19","41687","0.0-6.0-1.7","","85","","trustrating_stim/white_mw080.bmp","2","","","","","","","","",""
"","","","ratingFB","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","image-keyboard-response","20","41890","0.0-6.0-2.7","","null","","trustrating_stim/white_mw080.bmp","null","","","","","","","","",""
"","","","rating","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","image-keyboard-response","21","42094","0.0-6.0-1.8","","101","","trustrating_stim/white_mw040.bmp","2","","","","","","","","",""
"","","","ratingFB","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","image-keyboard-response","22","42296","0.0-6.0-2.8","","null","","trustrating_stim/white_mw040.bmp","null","","","","","","","","",""
"","","","rating","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","image-keyboard-response","23","42462","0.0-6.0-1.9","","63","","trustrating_stim/white_00120_931230_fa_edt.bmp","3","","","","","","","","",""
"","","","ratingFB","","https://ccnypsych.az1.qualtrics.com/jfe/form/SV_3mEUjljOKOh42Vg?PID","bdp_trlrn","Fri Feb 25 2022 15:44:49 GMT-0500 (EST)","380903","Untrustworthy,Trustworthy","image-keyboard-response","24","42664","0.0-6.0-2.9","","null","","trustrating_stim/white_00120_931230_fa_edt.bmp","null","","","","","","","","",""
