"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","numBlurs","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"focus","0","0","focusevent","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"blur","0","0","blurevent","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","1","","","","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","pavlovia","0","7","0.0-0.0","","","","","","","","","","","","","","","",""
"","","","","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","instructions","1","2585","0.0-1.0","[{""page_index"":0,""viewing_time"":2576}]","2577","","","","","","","","","","","","","",""
"blur","2","4674","blurevent","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","2","","","","","","","","","","","","","","","","","","","",""
"focus","2","8184","focusevent","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"fullscreenenter","2","10011","fullscreenenter","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","fullscreen","2","10995","0.0-2.0","","","true","","","","","","","","","","","","",""
"","","","","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","instructions","3","25580","0.0-4.0","[{""page_index"":0,""viewing_time"":11414},{""page_index"":1,""viewing_time"":3158}]","14572","","","","","","","","","","","","","",""
"","","","","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","instructions","4","26223","0.0-5.0","[{""page_index"":0,""viewing_time"":642}]","642","","","","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","5","28020","0.0-6.0-1.0","","1681","","trustrating_stim/white_mw097.bmp","5","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","6","28241","0.0-6.0-2.0","","null","","trustrating_stim/white_mw097.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","7","29591","0.0-6.0-1.1","","1227","","trustrating_stim/white_00340_940422_fa_edt.bmp","6","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","8","29811","0.0-6.0-2.1","","null","","trustrating_stim/white_00340_940422_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","9","30622","0.0-6.0-1.2","","687","","trustrating_stim/white_mw056.bmp","7","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","10","30832","0.0-6.0-2.2","","null","","trustrating_stim/white_mw056.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","11","31465","0.0-6.0-1.3","","521","","trustrating_stim/white_mw033.bmp","7","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","12","31682","0.0-6.0-2.3","","null","","trustrating_stim/white_mw033.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","13","32674","0.0-6.0-1.4","","871","","trustrating_stim/white_mw053.bmp","3","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","14","32886","0.0-6.0-2.4","","null","","trustrating_stim/white_mw053.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","15","33561","0.0-6.0-1.5","","548","","trustrating_stim/white_00120_931230_fa_edt.bmp","2","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","16","33778","0.0-6.0-2.5","","null","","trustrating_stim/white_00120_931230_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","17","34397","0.0-6.0-1.6","","513","","trustrating_stim/white_mw049.bmp","3","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","18","34612","0.0-6.0-2.6","","null","","trustrating_stim/white_mw049.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","19","35039","0.0-6.0-1.7","","306","","trustrating_stim/white_00577_940928_fa_edt.bmp","1","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","20","35242","0.0-6.0-2.7","","null","","trustrating_stim/white_00577_940928_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","21","36115","0.0-6.0-1.8","","752","","trustrating_stim/white_00659_941121_fa_edt.bmp","7","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","22","36322","0.0-6.0-2.8","","null","","trustrating_stim/white_00659_941121_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","23","37069","0.0-6.0-1.9","","636","","trustrating_stim/white_00299_940422_fa_edt.bmp","7","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","24","37291","0.0-6.0-2.9","","null","","trustrating_stim/white_00299_940422_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","25","38022","0.0-6.0-1.10","","610","","trustrating_stim/white_00602_940928_fb_edt.bmp","8","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","26","38225","0.0-6.0-2.10","","null","","trustrating_stim/white_00602_940928_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","27","40015","0.0-6.0-1.11","","1686","","trustrating_stim/white_mw071.bmp","2","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","28","40221","0.0-6.0-2.11","","null","","trustrating_stim/white_mw071.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","29","41979","0.0-6.0-1.12","","1636","","trustrating_stim/white_00807_941205_fb_edt.bmp","3","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","30","42190","0.0-6.0-2.12","","null","","trustrating_stim/white_00807_941205_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","31","43971","0.0-6.0-1.13","","1659","","trustrating_stim/white_mw048.bmp","1","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","32","44181","0.0-6.0-2.13","","null","","trustrating_stim/white_mw048.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","33","46015","0.0-6.0-1.14","","1714","","trustrating_stim/white_mw084.bmp","2","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","34","46221","0.0-6.0-2.14","","null","","trustrating_stim/white_mw084.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","35","47259","0.0-6.0-1.15","","914","","trustrating_stim/white_mw066.bmp","2","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","36","47471","0.0-6.0-2.15","","null","","trustrating_stim/white_mw066.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","37","48657","0.0-6.0-1.16","","1064","","trustrating_stim/white_00519_940519_fb_edt.bmp","8","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","38","48861","0.0-6.0-2.16","","null","","trustrating_stim/white_00519_940519_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","39","50086","0.0-6.0-1.17","","1113","","trustrating_stim/white_mw035.bmp","2","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","40","50291","0.0-6.0-2.17","","null","","trustrating_stim/white_mw035.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","41","51590","0.0-6.0-1.18","","1177","","trustrating_stim/white_00898_960530_fa_edt.bmp","5","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","42","51811","0.0-6.0-2.18","","null","","trustrating_stim/white_00898_960530_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","43","52938","0.0-6.0-1.19","","1021","","trustrating_stim/white_00757_941201_fa_edt.bmp","7","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","44","53155","0.0-6.0-2.19","","null","","trustrating_stim/white_00757_941201_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","45","54175","0.0-6.0-1.20","","907","","trustrating_stim/white_00761_941201_fb_edt.bmp","8","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","46","54389","0.0-6.0-2.20","","null","","trustrating_stim/white_00761_941201_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","47","55698","0.0-6.0-1.21","","1197","","trustrating_stim/white_mw099.bmp","8","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","48","55912","0.0-6.0-2.21","","null","","trustrating_stim/white_mw099.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","49","56871","0.0-6.0-1.22","","849","","trustrating_stim/white_mw089.bmp","9","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","50","57085","0.0-6.0-2.22","","null","","trustrating_stim/white_mw089.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","51","58000","0.0-6.0-1.23","","810","","trustrating_stim/white_00129_931230_fb_edt.bmp","6","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","52","58211","0.0-6.0-2.23","","null","","trustrating_stim/white_00129_931230_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","53","58990","0.0-6.0-1.24","","668","","trustrating_stim/white_mw063.bmp","6","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","54","59193","0.0-6.0-2.24","","null","","trustrating_stim/white_mw063.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","55","60025","0.0-6.0-1.25","","721","","trustrating_stim/white_00785_941205_fb_edt.bmp","7","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","56","60235","0.0-6.0-2.25","","null","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","57","61486","0.0-6.0-1.26","","1140","","trustrating_stim/white_mw060.bmp","2","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","58","61701","0.0-6.0-2.26","","null","","trustrating_stim/white_mw060.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","59","62358","0.0-6.0-1.27","","547","","trustrating_stim/white_mw046.bmp","2","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","60","62570","0.0-6.0-2.27","","null","","trustrating_stim/white_mw046.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","61","63654","0.0-6.0-1.28","","972","","trustrating_stim/white_00223_940128_fb_edt.bmp","8","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","62","63869","0.0-6.0-2.28","","null","","trustrating_stim/white_00223_940128_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","63","65028","0.0-6.0-1.29","","1049","","trustrating_stim/white_00109_931230_fa_edt.bmp","1","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","64","65234","0.0-6.0-2.29","","null","","trustrating_stim/white_00109_931230_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","65","66306","0.0-6.0-1.30","","959","","trustrating_stim/white_mw049.bmp","1","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","66","66518","0.0-6.0-2.30","","null","","trustrating_stim/white_mw049.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","67","67481","0.0-6.0-1.31","","851","","trustrating_stim/white_00785_941205_fb_edt.bmp","8","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","68","67688","0.0-6.0-2.31","","null","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","69","68588","0.0-6.0-1.32","","789","","trustrating_stim/white_mw053.bmp","7","","","","","","","","","","",""
"","","","ratingFB","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","70","68796","0.0-6.0-2.32","","null","","trustrating_stim/white_mw053.bmp","null","","","","","","","","","","",""
"","","","rating","5f932e6a3ceaf50d5768745b","bdp_trlrn","Wed Mar 15 2023 15:11:01 GMT-0400 (Eastern Daylight Time)","488126","Trustworthy,Untrustworthy","","image-keyboard-response","71","69681","0.0-6.0-1.33","","774","","trustrating_stim/white_00519_940519_fb_edt.bmp","9","","","","","","","","","","",""
