"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round","numBlurs"
"pavlovia","0","3","0.0-0.0","63d000d62878aa92b833c5fc","bdp_trlrn","Wed Mar 15 2023 14:17:26 GMT-0700 (PDT)","907070","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","21646","0.0-1.0","63d000d62878aa92b833c5fc","bdp_trlrn","Wed Mar 15 2023 14:17:26 GMT-0700 (PDT)","907070","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":21641}]","21642","","","","","","","","","","","","","","","","","","",""
"","","","","63d000d62878aa92b833c5fc","bdp_trlrn","Wed Mar 15 2023 14:17:26 GMT-0700 (PDT)","907070","Untrustworthy,Trustworthy","","","fullscreenenter","2","26161","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","27124","0.0-2.0","63d000d62878aa92b833c5fc","bdp_trlrn","Wed Mar 15 2023 14:17:26 GMT-0700 (PDT)","907070","Untrustworthy,Trustworthy","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","31461","0.0-4.0","63d000d62878aa92b833c5fc","bdp_trlrn","Wed Mar 15 2023 14:17:26 GMT-0700 (PDT)","907070","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":3556},{""page_index"":1,""viewing_time"":779}]","4336","","","","","","","","","","","","","","","","","","",""
"instructions","4","32721","0.0-5.0","63d000d62878aa92b833c5fc","bdp_trlrn","Wed Mar 15 2023 14:17:26 GMT-0700 (PDT)","907070","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":1259}]","1259","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","33793","0.0-6.0-1.0","63d000d62878aa92b833c5fc","bdp_trlrn","Wed Mar 15 2023 14:17:26 GMT-0700 (PDT)","907070","Untrustworthy,Trustworthy","","969","","","","rating","","trustrating_stim/white_00519_940519_fb_edt.bmp","5","","","","","","","","","","","",""
"image-keyboard-response","6","33996","0.0-6.0-2.0","63d000d62878aa92b833c5fc","bdp_trlrn","Wed Mar 15 2023 14:17:26 GMT-0700 (PDT)","907070","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00519_940519_fb_edt.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","7","34964","0.0-6.0-1.1","63d000d62878aa92b833c5fc","bdp_trlrn","Wed Mar 15 2023 14:17:26 GMT-0700 (PDT)","907070","Untrustworthy,Trustworthy","","864","","","","rating","","trustrating_stim/white_00109_931230_fa_edt.bmp","5","","","","","","","","","","","",""
"image-keyboard-response","8","35166","0.0-6.0-2.1","63d000d62878aa92b833c5fc","bdp_trlrn","Wed Mar 15 2023 14:17:26 GMT-0700 (PDT)","907070","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00109_931230_fa_edt.bmp","null","","","","","","","","","","","",""
