"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"blur","0","0","blurevent","1","63feb6ae378e8efd6fd318b6","bdp_trlrn","Tue Mar 14 2023 21:18:34 GMT-0400 (östnordamerikansk sommartid)","721556","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","","63feb6ae378e8efd6fd318b6","bdp_trlrn","Tue Mar 14 2023 21:18:34 GMT-0400 (östnordamerikansk sommartid)","721556","Untrustworthy,Trustworthy","pavlovia","0","8","0.0-0.0","","","","","","","","","","","","","","","",""
"focus","1","4966","focusevent","","63feb6ae378e8efd6fd318b6","bdp_trlrn","Tue Mar 14 2023 21:18:34 GMT-0400 (östnordamerikansk sommartid)","721556","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","","63feb6ae378e8efd6fd318b6","bdp_trlrn","Tue Mar 14 2023 21:18:34 GMT-0400 (östnordamerikansk sommartid)","721556","Untrustworthy,Trustworthy","instructions","1","7607","0.0-1.0","[{""page_index"":0,""viewing_time"":7597}]","7598","","","","","","","","","","","","","",""
"fullscreenenter","2","9734","fullscreenenter","","63feb6ae378e8efd6fd318b6","bdp_trlrn","Tue Mar 14 2023 21:18:34 GMT-0400 (östnordamerikansk sommartid)","721556","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","","63feb6ae378e8efd6fd318b6","bdp_trlrn","Tue Mar 14 2023 21:18:34 GMT-0400 (östnordamerikansk sommartid)","721556","Untrustworthy,Trustworthy","fullscreen","2","10723","0.0-2.0","","","true","","","","","","","","","","","","",""
"","","","","","63feb6ae378e8efd6fd318b6","bdp_trlrn","Tue Mar 14 2023 21:18:34 GMT-0400 (östnordamerikansk sommartid)","721556","Untrustworthy,Trustworthy","instructions","3","20990","0.0-4.0","[{""page_index"":0,""viewing_time"":9187},{""page_index"":1,""viewing_time"":1074}]","10261","","","","","","","","","","","","","",""
"","","","","","63feb6ae378e8efd6fd318b6","bdp_trlrn","Tue Mar 14 2023 21:18:34 GMT-0400 (östnordamerikansk sommartid)","721556","Untrustworthy,Trustworthy","instructions","4","22031","0.0-5.0","[{""page_index"":0,""viewing_time"":1039}]","1039","","","","","","","","","","","","","",""
"","","","rating","","63feb6ae378e8efd6fd318b6","bdp_trlrn","Tue Mar 14 2023 21:18:34 GMT-0400 (östnordamerikansk sommartid)","721556","Untrustworthy,Trustworthy","image-keyboard-response","5","25076","0.0-6.0-1.0","","2933","","trustrating_stim/white_mw071.bmp","6","","","","","","","","","","",""
"","","","ratingFB","","63feb6ae378e8efd6fd318b6","bdp_trlrn","Tue Mar 14 2023 21:18:34 GMT-0400 (östnordamerikansk sommartid)","721556","Untrustworthy,Trustworthy","image-keyboard-response","6","25284","0.0-6.0-2.0","","null","","trustrating_stim/white_mw071.bmp","null","","","","","","","","","","",""
"","","","rating","","63feb6ae378e8efd6fd318b6","bdp_trlrn","Tue Mar 14 2023 21:18:34 GMT-0400 (östnordamerikansk sommartid)","721556","Untrustworthy,Trustworthy","image-keyboard-response","7","28129","0.0-6.0-1.1","","2739","","trustrating_stim/white_00223_940128_fb_edt.bmp","5","","","","","","","","","","",""
"","","","ratingFB","","63feb6ae378e8efd6fd318b6","bdp_trlrn","Tue Mar 14 2023 21:18:34 GMT-0400 (östnordamerikansk sommartid)","721556","Untrustworthy,Trustworthy","image-keyboard-response","8","28339","0.0-6.0-2.1","","null","","trustrating_stim/white_00223_940128_fb_edt.bmp","null","","","","","","","","","","",""
