"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","numBlurs","view_history","rt","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"focus","0","0","focusevent","63f3a7e45f338798fd025d99","bdp_trlrn","Wed Mar 15 2023 14:13:12 GMT-0500 (Central Daylight Time)","1025642","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63f3a7e45f338798fd025d99","bdp_trlrn","Wed Mar 15 2023 14:13:12 GMT-0500 (Central Daylight Time)","1025642","Trustworthy,Untrustworthy","pavlovia","0","6","0.0-0.0","","","","","","","","","","","","","","","","",""
"blur","1","12007","blurevent","63f3a7e45f338798fd025d99","bdp_trlrn","Wed Mar 15 2023 14:13:12 GMT-0500 (Central Daylight Time)","1025642","Trustworthy,Untrustworthy","","","","","1","","","","","","","","","","","","","","","",""
"focus","1","14139","focusevent","63f3a7e45f338798fd025d99","bdp_trlrn","Wed Mar 15 2023 14:13:12 GMT-0500 (Central Daylight Time)","1025642","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"blur","1","16920","blurevent","63f3a7e45f338798fd025d99","bdp_trlrn","Wed Mar 15 2023 14:13:12 GMT-0500 (Central Daylight Time)","1025642","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"focus","1","18653","focusevent","63f3a7e45f338798fd025d99","bdp_trlrn","Wed Mar 15 2023 14:13:12 GMT-0500 (Central Daylight Time)","1025642","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"blur","1","19731","blurevent","63f3a7e45f338798fd025d99","bdp_trlrn","Wed Mar 15 2023 14:13:12 GMT-0500 (Central Daylight Time)","1025642","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"focus","1","20243","focusevent","63f3a7e45f338798fd025d99","bdp_trlrn","Wed Mar 15 2023 14:13:12 GMT-0500 (Central Daylight Time)","1025642","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63f3a7e45f338798fd025d99","bdp_trlrn","Wed Mar 15 2023 14:13:12 GMT-0500 (Central Daylight Time)","1025642","Trustworthy,Untrustworthy","instructions","1","20763","0.0-1.0","","[{""page_index"":0,""viewing_time"":20756}]","20756","","","","","","","","","","","","","",""
"blur","2","23211","blurevent","63f3a7e45f338798fd025d99","bdp_trlrn","Wed Mar 15 2023 14:13:12 GMT-0500 (Central Daylight Time)","1025642","Trustworthy,Untrustworthy","","","","","2","","","","","","","","","","","","","","","",""
"focus","2","23383","focusevent","63f3a7e45f338798fd025d99","bdp_trlrn","Wed Mar 15 2023 14:13:12 GMT-0500 (Central Daylight Time)","1025642","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"fullscreenexit","2","24386","fullscreenexit","63f3a7e45f338798fd025d99","bdp_trlrn","Wed Mar 15 2023 14:13:12 GMT-0500 (Central Daylight Time)","1025642","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63f3a7e45f338798fd025d99","bdp_trlrn","Wed Mar 15 2023 14:13:12 GMT-0500 (Central Daylight Time)","1025642","Trustworthy,Untrustworthy","fullscreen","2","25203","0.0-2.0","","","","true","","","","","","","","","","","","",""
"blur","3","31512","blurevent","63f3a7e45f338798fd025d99","bdp_trlrn","Wed Mar 15 2023 14:13:12 GMT-0500 (Central Daylight Time)","1025642","Trustworthy,Untrustworthy","","","","","3","","","","","","","","","","","","","","","",""
"focus","3","34541","focusevent","63f3a7e45f338798fd025d99","bdp_trlrn","Wed Mar 15 2023 14:13:12 GMT-0500 (Central Daylight Time)","1025642","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreenfail","63f3a7e45f338798fd025d99","bdp_trlrn","Wed Mar 15 2023 14:13:12 GMT-0500 (Central Daylight Time)","1025642","Trustworthy,Untrustworthy","image-keyboard-response","3","35442","0.0-3.0-0.0","","","10236","","","32","","","","","","","","","","",""
"blur","4","38196","blurevent","63f3a7e45f338798fd025d99","bdp_trlrn","Wed Mar 15 2023 14:13:12 GMT-0500 (Central Daylight Time)","1025642","Trustworthy,Untrustworthy","","","","","4","","","","","","","","","","","","","","","",""
"focus","4","38351","focusevent","63f3a7e45f338798fd025d99","bdp_trlrn","Wed Mar 15 2023 14:13:12 GMT-0500 (Central Daylight Time)","1025642","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"blur","4","45399","blurevent","63f3a7e45f338798fd025d99","bdp_trlrn","Wed Mar 15 2023 14:13:12 GMT-0500 (Central Daylight Time)","1025642","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"focus","4","47831","focusevent","63f3a7e45f338798fd025d99","bdp_trlrn","Wed Mar 15 2023 14:13:12 GMT-0500 (Central Daylight Time)","1025642","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63f3a7e45f338798fd025d99","bdp_trlrn","Wed Mar 15 2023 14:13:12 GMT-0500 (Central Daylight Time)","1025642","Trustworthy,Untrustworthy","instructions","4","98055","0.0-4.0","","[{""page_index"":0,""viewing_time"":54405},{""page_index"":1,""viewing_time"":7943}]","62349","","","","","","","","","","","","","",""
