"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","numBlurs"
"pavlovia","0","2","0.0-0.0","","","","","","","","","",""
"instructions","1","3118","0.0-1.0","[{""page_index"":0,""viewing_time"":3116}]","3116","","","","","","","",""
"","","","","","","fullscreenenter","2","5648","fullscreenenter","","","",""
"fullscreen","2","6632","0.0-2.0","","","","","","","true","","",""
"instructions","3","16503","0.0-4.0","[{""page_index"":0,""viewing_time"":5989},{""page_index"":1,""viewing_time"":3882}]","9871","","","","","","","",""
"instructions","4","17297","0.0-5.0","[{""page_index"":0,""viewing_time"":794}]","794","","","","","","","",""
"image-keyboard-response","5","18920","0.0-6.0-1.0","","1517","","","","rating","","trustrating_stim/white_00898_960530_fa_edt.bmp","6",""
"image-keyboard-response","6","19130","0.0-6.0-2.0","","null","","","","ratingFB","","trustrating_stim/white_00898_960530_fa_edt.bmp","null",""
"image-keyboard-response","7","20647","0.0-6.0-1.1","","1416","","","","rating","","trustrating_stim/white_mw048.bmp","4",""
"image-keyboard-response","8","20853","0.0-6.0-2.1","","null","","","","ratingFB","","trustrating_stim/white_mw048.bmp","null",""
"image-keyboard-response","9","22636","0.0-6.0-1.2","","1671","","","","rating","","trustrating_stim/white_mw066.bmp","7",""
"image-keyboard-response","10","22850","0.0-6.0-2.2","","null","","","","ratingFB","","trustrating_stim/white_mw066.bmp","null",""
"image-keyboard-response","11","24805","0.0-6.0-1.3","","1843","","","","rating","","trustrating_stim/white_mw099.bmp","5",""
"image-keyboard-response","12","25020","0.0-6.0-2.3","","null","","","","ratingFB","","trustrating_stim/white_mw099.bmp","null",""
"image-keyboard-response","13","26863","0.0-6.0-1.4","","1733","","","","rating","","trustrating_stim/white_mw084.bmp","7",""
"image-keyboard-response","14","27080","0.0-6.0-2.4","","null","","","","ratingFB","","trustrating_stim/white_mw084.bmp","null",""
"image-keyboard-response","15","29187","0.0-6.0-1.5","","1995","","","","rating","","trustrating_stim/white_00223_940128_fb_edt.bmp","3",""
"image-keyboard-response","16","29393","0.0-6.0-2.5","","null","","","","ratingFB","","trustrating_stim/white_00223_940128_fb_edt.bmp","null",""
"image-keyboard-response","17","31810","0.0-6.0-1.6","","2305","","","","rating","","trustrating_stim/white_mw071.bmp","7",""
"image-keyboard-response","18","32016","0.0-6.0-2.6","","null","","","","ratingFB","","trustrating_stim/white_mw071.bmp","null",""
"image-keyboard-response","19","34205","0.0-6.0-1.7","","2076","","","","rating","","trustrating_stim/white_00659_941121_fa_edt.bmp","5",""
"image-keyboard-response","20","34413","0.0-6.0-2.7","","null","","","","ratingFB","","trustrating_stim/white_00659_941121_fa_edt.bmp","null",""
"image-keyboard-response","21","36125","0.0-6.0-1.8","","1599","","","","rating","","trustrating_stim/white_mw056.bmp","4",""
"image-keyboard-response","22","36331","0.0-6.0-2.8","","null","","","","ratingFB","","trustrating_stim/white_mw056.bmp","null",""
"image-keyboard-response","23","37879","0.0-6.0-1.9","","1436","","","","rating","","trustrating_stim/white_00757_941201_fa_edt.bmp","3",""
"image-keyboard-response","24","38093","0.0-6.0-2.9","","null","","","","ratingFB","","trustrating_stim/white_00757_941201_fa_edt.bmp","null",""
"image-keyboard-response","25","40554","0.0-6.0-1.10","","2349","","","","rating","","trustrating_stim/white_00299_940422_fa_edt.bmp","4",""
"image-keyboard-response","26","40761","0.0-6.0-2.10","","null","","","","ratingFB","","trustrating_stim/white_00299_940422_fa_edt.bmp","null",""
"image-keyboard-response","27","43468","0.0-6.0-1.11","","2593","","","","rating","","trustrating_stim/white_00577_940928_fa_edt.bmp","6",""
"image-keyboard-response","28","43683","0.0-6.0-2.11","","null","","","","ratingFB","","trustrating_stim/white_00577_940928_fa_edt.bmp","null",""
