"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","numBlurs","view_history","rt","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"focus","0","0","focusevent","629fa760fe340707d1dfd548","bdp_trlrn","Wed Jul 27 2022 12:19:16 GMT-0500 (Central Daylight Time)","786520","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","629fa760fe340707d1dfd548","bdp_trlrn","Wed Jul 27 2022 12:19:16 GMT-0500 (Central Daylight Time)","786520","Untrustworthy,Trustworthy","pavlovia","0","18","0.0-0.0","","","","","","","","","","","","","","","","",""
"blur","1","8602","blurevent","629fa760fe340707d1dfd548","bdp_trlrn","Wed Jul 27 2022 12:19:16 GMT-0500 (Central Daylight Time)","786520","Untrustworthy,Trustworthy","","","","","1","","","","","","","","","","","","","","","",""
"focus","1","12872","focusevent","629fa760fe340707d1dfd548","bdp_trlrn","Wed Jul 27 2022 12:19:16 GMT-0500 (Central Daylight Time)","786520","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","629fa760fe340707d1dfd548","bdp_trlrn","Wed Jul 27 2022 12:19:16 GMT-0500 (Central Daylight Time)","786520","Untrustworthy,Trustworthy","instructions","1","15507","0.0-1.0","","[{""page_index"":0,""viewing_time"":15487}]","15488","","","","","","","","","","","","","",""
"fullscreenexit","2","17922","fullscreenexit","629fa760fe340707d1dfd548","bdp_trlrn","Wed Jul 27 2022 12:19:16 GMT-0500 (Central Daylight Time)","786520","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","629fa760fe340707d1dfd548","bdp_trlrn","Wed Jul 27 2022 12:19:16 GMT-0500 (Central Daylight Time)","786520","Untrustworthy,Trustworthy","fullscreen","2","18690","0.0-2.0","","","","true","","","","","","","","","","","","",""
"","","","fullscreenfail","629fa760fe340707d1dfd548","bdp_trlrn","Wed Jul 27 2022 12:19:16 GMT-0500 (Central Daylight Time)","786520","Untrustworthy,Trustworthy","image-keyboard-response","3","21546","0.0-3.0-0.0","","","2851","","","32","","","","","","","","","","",""
"","","","","629fa760fe340707d1dfd548","bdp_trlrn","Wed Jul 27 2022 12:19:16 GMT-0500 (Central Daylight Time)","786520","Untrustworthy,Trustworthy","instructions","4","65078","0.0-4.0","","[{""page_index"":0,""viewing_time"":8285},{""page_index"":1,""viewing_time"":34980}]","43266","","","","","","","","","","","","","",""
"","","","","629fa760fe340707d1dfd548","bdp_trlrn","Wed Jul 27 2022 12:19:16 GMT-0500 (Central Daylight Time)","786520","Untrustworthy,Trustworthy","instructions","5","67902","0.0-5.0","","[{""page_index"":0,""viewing_time"":2820}]","2821","","","","","","","","","","","","","",""
"","","","rating","629fa760fe340707d1dfd548","bdp_trlrn","Wed Jul 27 2022 12:19:16 GMT-0500 (Central Daylight Time)","786520","Untrustworthy,Trustworthy","image-keyboard-response","6","70915","0.0-6.0-1.0","","","2894","","trustrating_stim/white_mw046.bmp","4","","","","","","","","","","",""
"","","","ratingFB","629fa760fe340707d1dfd548","bdp_trlrn","Wed Jul 27 2022 12:19:16 GMT-0500 (Central Daylight Time)","786520","Untrustworthy,Trustworthy","image-keyboard-response","7","71129","0.0-6.0-2.0","","","null","","trustrating_stim/white_mw046.bmp","null","","","","","","","","","","",""
"","","","rating","629fa760fe340707d1dfd548","bdp_trlrn","Wed Jul 27 2022 12:19:16 GMT-0500 (Central Daylight Time)","786520","Untrustworthy,Trustworthy","image-keyboard-response","8","72927","0.0-6.0-1.1","","","1687","","trustrating_stim/white_mw066.bmp","7","","","","","","","","","","",""
"","","","ratingFB","629fa760fe340707d1dfd548","bdp_trlrn","Wed Jul 27 2022 12:19:16 GMT-0500 (Central Daylight Time)","786520","Untrustworthy,Trustworthy","image-keyboard-response","9","73143","0.0-6.0-2.1","","","null","","trustrating_stim/white_mw066.bmp","null","","","","","","","","","","",""
"","","","rating","629fa760fe340707d1dfd548","bdp_trlrn","Wed Jul 27 2022 12:19:16 GMT-0500 (Central Daylight Time)","786520","Untrustworthy,Trustworthy","image-keyboard-response","10","76299","0.0-6.0-1.2","","","3045","","trustrating_stim/white_mw060.bmp","3","","","","","","","","","","",""
"","","","ratingFB","629fa760fe340707d1dfd548","bdp_trlrn","Wed Jul 27 2022 12:19:16 GMT-0500 (Central Daylight Time)","786520","Untrustworthy,Trustworthy","image-keyboard-response","11","76504","0.0-6.0-2.2","","","null","","trustrating_stim/white_mw060.bmp","null","","","","","","","","","","",""
"","","","rating","629fa760fe340707d1dfd548","bdp_trlrn","Wed Jul 27 2022 12:19:16 GMT-0500 (Central Daylight Time)","786520","Untrustworthy,Trustworthy","image-keyboard-response","12","78748","0.0-6.0-1.3","","","2131","","trustrating_stim/white_mw048.bmp","2","","","","","","","","","","",""
"","","","ratingFB","629fa760fe340707d1dfd548","bdp_trlrn","Wed Jul 27 2022 12:19:16 GMT-0500 (Central Daylight Time)","786520","Untrustworthy,Trustworthy","image-keyboard-response","13","78962","0.0-6.0-2.3","","","null","","trustrating_stim/white_mw048.bmp","null","","","","","","","","","","",""
"","","","rating","629fa760fe340707d1dfd548","bdp_trlrn","Wed Jul 27 2022 12:19:16 GMT-0500 (Central Daylight Time)","786520","Untrustworthy,Trustworthy","image-keyboard-response","14","80267","0.0-6.0-1.4","","","1193","","trustrating_stim/white_00785_941205_fb_edt.bmp","1","","","","","","","","","","",""
"","","","ratingFB","629fa760fe340707d1dfd548","bdp_trlrn","Wed Jul 27 2022 12:19:16 GMT-0500 (Central Daylight Time)","786520","Untrustworthy,Trustworthy","image-keyboard-response","15","80474","0.0-6.0-2.4","","","null","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","629fa760fe340707d1dfd548","bdp_trlrn","Wed Jul 27 2022 12:19:16 GMT-0500 (Central Daylight Time)","786520","Untrustworthy,Trustworthy","image-keyboard-response","16","81905","0.0-6.0-1.5","","","1325","","trustrating_stim/white_00757_941201_fa_edt.bmp","2","","","","","","","","","","",""
