"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"focus","0","0","focusevent","5c75dbce7d36140017c53257","bdp_trlrn","Tue Mar 14 2023 10:53:44 GMT-0700 (Pacific Daylight Time)","512622","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","5c75dbce7d36140017c53257","bdp_trlrn","Tue Mar 14 2023 10:53:44 GMT-0700 (Pacific Daylight Time)","512622","Untrustworthy,Trustworthy","pavlovia","0","3","0.0-0.0","","","","","","","","","","","","","","","",""
"","","","","5c75dbce7d36140017c53257","bdp_trlrn","Tue Mar 14 2023 10:53:44 GMT-0700 (Pacific Daylight Time)","512622","Untrustworthy,Trustworthy","instructions","1","2588","0.0-1.0","[{""page_index"":0,""viewing_time"":2585}]","2585","","","","","","","","","","","","","",""
"fullscreenexit","2","5292","fullscreenexit","5c75dbce7d36140017c53257","bdp_trlrn","Tue Mar 14 2023 10:53:44 GMT-0700 (Pacific Daylight Time)","512622","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","5c75dbce7d36140017c53257","bdp_trlrn","Tue Mar 14 2023 10:53:44 GMT-0700 (Pacific Daylight Time)","512622","Untrustworthy,Trustworthy","fullscreen","2","6297","0.0-2.0","","","true","","","","","","","","","","","","",""
"","","","fullscreenfail","5c75dbce7d36140017c53257","bdp_trlrn","Tue Mar 14 2023 10:53:44 GMT-0700 (Pacific Daylight Time)","512622","Untrustworthy,Trustworthy","image-keyboard-response","3","7642","0.0-3.0-0.0","","1342","","","32","","","","","","","","","","",""
"","","","","5c75dbce7d36140017c53257","bdp_trlrn","Tue Mar 14 2023 10:53:44 GMT-0700 (Pacific Daylight Time)","512622","Untrustworthy,Trustworthy","instructions","4","11828","0.0-4.0","[{""page_index"":0,""viewing_time"":3071},{""page_index"":1,""viewing_time"":853}]","3924","","","","","","","","","","","","","",""
"","","","","5c75dbce7d36140017c53257","bdp_trlrn","Tue Mar 14 2023 10:53:44 GMT-0700 (Pacific Daylight Time)","512622","Untrustworthy,Trustworthy","instructions","5","12979","0.0-5.0","[{""page_index"":0,""viewing_time"":1150}]","1150","","","","","","","","","","","","","",""
"","","","rating","5c75dbce7d36140017c53257","bdp_trlrn","Tue Mar 14 2023 10:53:44 GMT-0700 (Pacific Daylight Time)","512622","Untrustworthy,Trustworthy","image-keyboard-response","6","17691","0.0-6.0-1.0","","4599","","trustrating_stim/white_00807_941205_fb_edt.bmp","7","","","","","","","","","","",""
"","","","ratingFB","5c75dbce7d36140017c53257","bdp_trlrn","Tue Mar 14 2023 10:53:44 GMT-0700 (Pacific Daylight Time)","512622","Untrustworthy,Trustworthy","image-keyboard-response","7","17895","0.0-6.0-2.0","","null","","trustrating_stim/white_00807_941205_fb_edt.bmp","null","","","","","","","","","","",""
