"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round","numBlurs"
"pavlovia","0","4","0.0-0.0","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","2838","0.0-1.0","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":2834}]","2834","","","","","","","","","","","","","","","","","","",""
"","","","","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","","fullscreenenter","2","6426","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","7383","0.0-2.0","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","15188","0.0-4.0","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":6926},{""page_index"":1,""viewing_time"":877}]","7803","","","","","","","","","","","","","","","","","","",""
"instructions","4","15884","0.0-5.0","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":694}]","694","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","18516","0.0-6.0-1.0","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","2527","","","","rating","","trustrating_stim/white_00120_931230_fa_edt.bmp","3","","","","","","","","","","","",""
"image-keyboard-response","6","18720","0.0-6.0-2.0","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00120_931230_fa_edt.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","7","22080","0.0-6.0-1.1","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","3254","","","","rating","","trustrating_stim/white_mw089.bmp","2","","","","","","","","","","","",""
"image-keyboard-response","8","22282","0.0-6.0-2.1","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw089.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","9","25439","0.0-6.0-1.2","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","3051","","","","rating","","trustrating_stim/white_mw097.bmp","5","","","","","","","","","","","",""
"image-keyboard-response","10","25642","0.0-6.0-2.2","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw097.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","11","28510","0.0-6.0-1.3","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","2763","","","","rating","","trustrating_stim/white_mw049.bmp","2","","","","","","","","","","","",""
"image-keyboard-response","12","28713","0.0-6.0-2.3","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw049.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","13","31294","0.0-6.0-1.4","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","2478","","","","rating","","trustrating_stim/white_00761_941201_fb_edt.bmp","7","","","","","","","","","","","",""
"image-keyboard-response","14","31497","0.0-6.0-2.4","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00761_941201_fb_edt.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","15","33963","0.0-6.0-1.5","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","2362","","","","rating","","trustrating_stim/white_00577_940928_fa_edt.bmp","2","","","","","","","","","","","",""
"image-keyboard-response","16","34165","0.0-6.0-2.5","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00577_940928_fa_edt.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","17","35959","0.0-6.0-1.6","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","1689","","","","rating","","trustrating_stim/white_00785_941205_fb_edt.bmp","4","","","","","","","","","","","",""
"image-keyboard-response","18","36161","0.0-6.0-2.6","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","19","39277","0.0-6.0-1.7","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","3012","","","","rating","","trustrating_stim/white_mw084.bmp","3","","","","","","","","","","","",""
"image-keyboard-response","20","39481","0.0-6.0-2.7","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw084.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","21","41177","0.0-6.0-1.8","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","1591","","","","rating","","trustrating_stim/white_00109_931230_fa_edt.bmp","3","","","","","","","","","","","",""
"image-keyboard-response","22","41381","0.0-6.0-2.8","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00109_931230_fa_edt.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","23","42734","0.0-6.0-1.9","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","1249","","","","rating","","trustrating_stim/white_00129_931230_fb_edt.bmp","5","","","","","","","","","","","",""
"image-keyboard-response","24","42938","0.0-6.0-2.9","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00129_931230_fb_edt.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","25","45378","0.0-6.0-1.10","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","2335","","","","rating","","trustrating_stim/white_mw066.bmp","6","","","","","","","","","","","",""
"image-keyboard-response","26","45581","0.0-6.0-2.10","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw066.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","27","47913","0.0-6.0-1.11","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","2228","","","","rating","","trustrating_stim/white_mw071.bmp","4","","","","","","","","","","","",""
"image-keyboard-response","28","48116","0.0-6.0-2.11","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw071.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","29","50733","0.0-6.0-1.12","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","2512","","","","rating","","trustrating_stim/white_00223_940128_fb_edt.bmp","5","","","","","","","","","","","",""
"image-keyboard-response","30","50936","0.0-6.0-2.12","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00223_940128_fb_edt.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","31","53000","0.0-6.0-1.13","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","1960","","","","rating","","trustrating_stim/white_mw033.bmp","7","","","","","","","","","","","",""
"image-keyboard-response","32","53203","0.0-6.0-2.13","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw033.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","33","54213","0.0-6.0-1.14","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","906","","","","rating","","trustrating_stim/white_00299_940422_fa_edt.bmp","7","","","","","","","","","","","",""
"image-keyboard-response","34","54417","0.0-6.0-2.14","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00299_940422_fa_edt.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","35","55433","0.0-6.0-1.15","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","912","","","","rating","","trustrating_stim/white_mw056.bmp","4","","","","","","","","","","","",""
"image-keyboard-response","36","55636","0.0-6.0-2.15","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw056.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","37","56965","0.0-6.0-1.16","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","1226","","","","rating","","trustrating_stim/white_mw046.bmp","3","","","","","","","","","","","",""
"image-keyboard-response","38","57169","0.0-6.0-2.16","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw046.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","39","58053","0.0-6.0-1.17","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","779","","","","rating","","trustrating_stim/white_mw035.bmp","4","","","","","","","","","","","",""
"image-keyboard-response","40","58257","0.0-6.0-2.17","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw035.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","41","59242","0.0-6.0-1.18","62ded68be9e12bf448a7ffdb","bdp_trlrn","Wed Mar 15 2023 19:55:40 GMT-0700 (Pacific Daylight Time)","506598","Untrustworthy,Trustworthy","","881","","","","rating","","trustrating_stim/white_mw060.bmp","4","","","","","","","","","","","",""
