"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"focus","0","0","focusevent","6075ed15dc9411d0165d4dd9","bdp_trlrn","Tue May 11 2021 15:48:20 GMT-0400 (Eastern Daylight Time)","835164","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"","","","","6075ed15dc9411d0165d4dd9","bdp_trlrn","Tue May 11 2021 15:48:20 GMT-0400 (Eastern Daylight Time)","835164","Untrustworthy,Trustworthy","pavlovia","0","14","0.0-0.0","","","","","","","","","","","","","",""
"","","","","6075ed15dc9411d0165d4dd9","bdp_trlrn","Tue May 11 2021 15:48:20 GMT-0400 (Eastern Daylight Time)","835164","Untrustworthy,Trustworthy","instructions","1","12174","0.0-1.0","[{""page_index"":0,""viewing_time"":12156}]","12157","","","","","","","","","","","",""
"fullscreenexit","2","15450","fullscreenexit","6075ed15dc9411d0165d4dd9","bdp_trlrn","Tue May 11 2021 15:48:20 GMT-0400 (Eastern Daylight Time)","835164","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"","","","","6075ed15dc9411d0165d4dd9","bdp_trlrn","Tue May 11 2021 15:48:20 GMT-0400 (Eastern Daylight Time)","835164","Untrustworthy,Trustworthy","fullscreen","2","16455","0.0-2.0","","","true","","","","","","","","","","",""
"","","","fullscreenfail","6075ed15dc9411d0165d4dd9","bdp_trlrn","Tue May 11 2021 15:48:20 GMT-0400 (Eastern Daylight Time)","835164","Untrustworthy,Trustworthy","image-keyboard-response","3","20768","0.0-3.0-0.0","","4309","","","32","","","","","","","","",""
"","","","","6075ed15dc9411d0165d4dd9","bdp_trlrn","Tue May 11 2021 15:48:20 GMT-0400 (Eastern Daylight Time)","835164","Untrustworthy,Trustworthy","instructions","4","82454","0.0-4.0","[{""page_index"":0,""viewing_time"":21117},{""page_index"":1,""viewing_time"":40316}]","61433","","","","","","","","","","","",""
"","","","","6075ed15dc9411d0165d4dd9","bdp_trlrn","Tue May 11 2021 15:48:20 GMT-0400 (Eastern Daylight Time)","835164","Untrustworthy,Trustworthy","instructions","5","90044","0.0-5.0","[{""page_index"":0,""viewing_time"":7588}]","7588","","","","","","","","","","","",""
"","","","rating","6075ed15dc9411d0165d4dd9","bdp_trlrn","Tue May 11 2021 15:48:20 GMT-0400 (Eastern Daylight Time)","835164","Untrustworthy,Trustworthy","image-keyboard-response","6","91235","0.0-6.0-1.0","","1070","","trustrating_stim/white_mw012.bmp","6","","","","","","","","",""
"","","","ratingFB","6075ed15dc9411d0165d4dd9","bdp_trlrn","Tue May 11 2021 15:48:20 GMT-0400 (Eastern Daylight Time)","835164","Untrustworthy,Trustworthy","image-keyboard-response","7","91439","0.0-6.0-2.0","","null","","trustrating_stim/white_mw012.bmp","null","","","","","","","","",""
"","","","rating","6075ed15dc9411d0165d4dd9","bdp_trlrn","Tue May 11 2021 15:48:20 GMT-0400 (Eastern Daylight Time)","835164","Untrustworthy,Trustworthy","image-keyboard-response","8","92664","0.0-6.0-1.1","","1111","","trustrating_stim/white_00807_941205_fb_edt.bmp","3","","","","","","","","",""
"","","","ratingFB","6075ed15dc9411d0165d4dd9","bdp_trlrn","Tue May 11 2021 15:48:20 GMT-0400 (Eastern Daylight Time)","835164","Untrustworthy,Trustworthy","image-keyboard-response","9","92879","0.0-6.0-2.1","","null","","trustrating_stim/white_00807_941205_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","6075ed15dc9411d0165d4dd9","bdp_trlrn","Tue May 11 2021 15:48:20 GMT-0400 (Eastern Daylight Time)","835164","Untrustworthy,Trustworthy","image-keyboard-response","10","94282","0.0-6.0-1.2","","1289","","trustrating_stim/white_00785_941205_fb_edt.bmp","2","","","","","","","","",""
"","","","ratingFB","6075ed15dc9411d0165d4dd9","bdp_trlrn","Tue May 11 2021 15:48:20 GMT-0400 (Eastern Daylight Time)","835164","Untrustworthy,Trustworthy","image-keyboard-response","11","94493","0.0-6.0-2.2","","null","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","6075ed15dc9411d0165d4dd9","bdp_trlrn","Tue May 11 2021 15:48:20 GMT-0400 (Eastern Daylight Time)","835164","Untrustworthy,Trustworthy","image-keyboard-response","12","95594","0.0-6.0-1.3","","988","","trustrating_stim/white_mw097.bmp","2","","","","","","","","",""
"","","","ratingFB","6075ed15dc9411d0165d4dd9","bdp_trlrn","Tue May 11 2021 15:48:20 GMT-0400 (Eastern Daylight Time)","835164","Untrustworthy,Trustworthy","image-keyboard-response","13","95801","0.0-6.0-2.3","","null","","trustrating_stim/white_mw097.bmp","null","","","","","","","","",""
"","","","rating","6075ed15dc9411d0165d4dd9","bdp_trlrn","Tue May 11 2021 15:48:20 GMT-0400 (Eastern Daylight Time)","835164","Untrustworthy,Trustworthy","image-keyboard-response","14","97221","0.0-6.0-1.4","","1308","","trustrating_stim/white_mw080.bmp","2","","","","","","","","",""
"","","","ratingFB","6075ed15dc9411d0165d4dd9","bdp_trlrn","Tue May 11 2021 15:48:20 GMT-0400 (Eastern Daylight Time)","835164","Untrustworthy,Trustworthy","image-keyboard-response","15","97424","0.0-6.0-2.4","","null","","trustrating_stim/white_mw080.bmp","null","","","","","","","","",""
