"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","numBlurs","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"focus","0","0","focusevent","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","",""
"","","","","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","pavlovia","0","11","0.0-0.0","","","","","","","","","","","","","","",""
"","","","","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","instructions","1","3462","0.0-1.0","[{""page_index"":0,""viewing_time"":3449}]","3449","","","","","","","","","","","","",""
"fullscreenexit","2","5844","fullscreenexit","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","",""
"","","","","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","fullscreen","2","6590","0.0-2.0","","","true","","","","","","","","","","","",""
"","","","fullscreenfail","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","3","7287","0.0-3.0-0.0","","692","","","32","","","","","","","","","",""
"blur","4","9652","blurevent","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","","","","","","","","","","1","","","","","","","","",""
"fullscreenexit","4","10186","fullscreenexit","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","",""
"focus","4","10189","focusevent","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","",""
"","","","","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","instructions","4","51456","0.0-4.0","[{""page_index"":0,""viewing_time"":35479},{""page_index"":1,""viewing_time"":8428}]","43908","","","","","","","","","","","","",""
"","","","","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","instructions","5","53366","0.0-5.0","[{""page_index"":0,""viewing_time"":1908}]","1908","","","","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","6","55179","0.0-6.0-1.0","","1697","","trustrating_stim/white_mw019.bmp","3","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","7","55396","0.0-6.0-2.0","","null","","trustrating_stim/white_mw019.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","8","56976","0.0-6.0-1.1","","1472","","trustrating_stim/white_mw051.bmp","4","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","9","57184","0.0-6.0-2.1","","null","","trustrating_stim/white_mw051.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","10","58224","0.0-6.0-1.2","","931","","trustrating_stim/white_mw085.bmp","1","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","11","58438","0.0-6.0-2.2","","null","","trustrating_stim/white_mw085.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","12","60705","0.0-6.0-1.3","","2161","","trustrating_stim/white_mw035.bmp","5","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","13","60921","0.0-6.0-2.3","","null","","trustrating_stim/white_mw035.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","14","62635","0.0-6.0-1.4","","1605","","trustrating_stim/white_mw046.bmp","2","","","","","","","","","",""
