"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","24","66026","0.0-6.0-2.9","","null","","trustrating_stim/white_mw051.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","25","67131","0.0-6.0-1.10","","999","","trustrating_stim/white_mw057.bmp","1","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","26","67338","0.0-6.0-2.10","","null","","trustrating_stim/white_mw057.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","27","68981","0.0-6.0-1.11","","1537","","trustrating_stim/white_00657_941121_fa_edt.bmp","6","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","28","69187","0.0-6.0-2.11","","null","","trustrating_stim/white_00657_941121_fa_edt.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","29","70798","0.0-6.0-1.12","","1507","","trustrating_stim/white_mw097.bmp","2","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","30","71002","0.0-6.0-2.12","","null","","trustrating_stim/white_mw097.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","31","72859","0.0-6.0-1.13","","1751","","trustrating_stim/white_00109_931230_fa_edt.bmp","5","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","32","73067","0.0-6.0-2.13","","null","","trustrating_stim/white_00109_931230_fa_edt.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","33","74322","0.0-6.0-1.14","","1150","","trustrating_stim/white_mw043.bmp","2","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","34","74530","0.0-6.0-2.14","","null","","trustrating_stim/white_mw043.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","35","75647","0.0-6.0-1.15","","1011","","trustrating_stim/white_mw071.bmp","2","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","36","75850","0.0-6.0-2.15","","null","","trustrating_stim/white_mw071.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","37","77909","0.0-6.0-1.16","","1953","","trustrating_stim/white_mw089.bmp","3","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","38","78114","0.0-6.0-2.16","","null","","trustrating_stim/white_mw089.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","39","79631","0.0-6.0-1.17","","1411","","trustrating_stim/white_mw085.bmp","2","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","40","79834","0.0-6.0-2.17","","null","","trustrating_stim/white_mw085.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","41","81904","0.0-6.0-1.18","","1964","","trustrating_stim/white_mw006.bmp","4","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","42","82114","0.0-6.0-2.18","","null","","trustrating_stim/white_mw006.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","43","83105","0.0-6.0-1.19","","885","","trustrating_stim/white_mw019.bmp","6","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","44","83314","0.0-6.0-2.19","","null","","trustrating_stim/white_mw019.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","45","84705","0.0-6.0-1.20","","1286","","trustrating_stim/white_mw082.bmp","2","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","46","84914","0.0-6.0-2.20","","null","","trustrating_stim/white_mw082.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","47","87294","0.0-6.0-1.21","","2271","","trustrating_stim/white_mw044.bmp","4","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","48","87499","0.0-6.0-2.21","","null","","trustrating_stim/white_mw044.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","49","88500","0.0-6.0-1.22","","895","","trustrating_stim/white_00761_941201_fb_edt.bmp","3","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","50","88708","0.0-6.0-2.22","","null","","trustrating_stim/white_00761_941201_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","51","90817","0.0-6.0-1.23","","2003","","trustrating_stim/white_mw072.bmp","3","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","52","91021","0.0-6.0-2.23","","null","","trustrating_stim/white_mw072.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","53","92354","0.0-6.0-1.24","","1228","","trustrating_stim/white_00960_960627_fb_edt.bmp","2","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","54","92565","0.0-6.0-2.24","","null","","trustrating_stim/white_00960_960627_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","55","93538","0.0-6.0-1.25","","868","","trustrating_stim/white_mw054.bmp","2","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","56","93749","0.0-6.0-2.25","","null","","trustrating_stim/white_mw054.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","57","95129","0.0-6.0-1.26","","1274","","trustrating_stim/white_00658_941121_fb_edt.bmp","7","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","58","95336","0.0-6.0-2.26","","null","","trustrating_stim/white_00658_941121_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","59","97173","0.0-6.0-1.27","","1731","","trustrating_stim/white_00253_940128_fa_edt.bmp","5","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","60","97376","0.0-6.0-2.27","","null","","trustrating_stim/white_00253_940128_fa_edt.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","61","98469","0.0-6.0-1.28","","987","","trustrating_stim/white_mw012.bmp","3","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","62","98672","0.0-6.0-2.28","","null","","trustrating_stim/white_mw012.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","63","99942","0.0-6.0-1.29","","1163","","trustrating_stim/white_00897_960530_fb_edt.bmp","2","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","64","100145","0.0-6.0-2.29","","null","","trustrating_stim/white_00897_960530_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","65","102387","0.0-6.0-1.30","","2135","","trustrating_stim/white_mw025.bmp","4","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","66","102594","0.0-6.0-2.30","","null","","trustrating_stim/white_mw025.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","67","103551","0.0-6.0-1.31","","851","","trustrating_stim/white_mw040.bmp","3","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","68","103761","0.0-6.0-2.31","","null","","trustrating_stim/white_mw040.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","69","104906","0.0-6.0-1.32","","1040","","trustrating_stim/white_mw080.bmp","2","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","70","105113","0.0-6.0-2.32","","null","","trustrating_stim/white_mw080.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","71","107760","0.0-6.0-1.33","","2541","","trustrating_stim/white_00757_941201_fa_edt.bmp","1","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","72","107969","0.0-6.0-2.33","","null","","trustrating_stim/white_00757_941201_fa_edt.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","73","109229","0.0-6.0-1.34","","1154","","trustrating_stim/white_mw099.bmp","1","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","74","109433","0.0-6.0-2.34","","null","","trustrating_stim/white_mw099.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","75","110837","0.0-6.0-1.35","","1298","","trustrating_stim/white_mw016.bmp","1","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","76","111044","0.0-6.0-2.35","","null","","trustrating_stim/white_mw016.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","77","112595","0.0-6.0-1.36","","1446","","trustrating_stim/white_00807_941205_fb_edt.bmp","4","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","78","112804","0.0-6.0-2.36","","null","","trustrating_stim/white_00807_941205_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","79","114511","0.0-6.0-1.37","","1603","","trustrating_stim/white_mw058.bmp","3","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","80","114716","0.0-6.0-2.37","","null","","trustrating_stim/white_mw058.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","81","116064","0.0-6.0-1.38","","1243","","trustrating_stim/white_00785_941205_fb_edt.bmp","2","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","82","116270","0.0-6.0-2.38","","null","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","83","117936","0.0-6.0-1.39","","1562","","trustrating_stim/white_00120_931230_fa_edt.bmp","6","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","84","118150","0.0-6.0-2.39","","null","","trustrating_stim/white_00120_931230_fa_edt.bmp","null","","","","","","","","",""
"","","","","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","instructions","85","119706","0.0-7.0","[{""page_index"":0,""viewing_time"":1452}]","1452","","","","","","","","","","","",""
"","","","","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","instructions","86","189073","0.0-8.0","[{""page_index"":0,""viewing_time"":30756},{""page_index"":1,""viewing_time"":13889},{""page_index"":2,""viewing_time"":1773},{""page_index"":3,""viewing_time"":6972},{""page_index"":4,""viewing_time"":6374},{""page_index"":5,""viewing_time"":8051},{""page_index"":6,""viewing_time"":1441}]","69257","","","","","","","","","","","",""
"","","","","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","html-keyboard-response","87","195716","0.0-9.0","","6639","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>1) What is the minimum number of points you can choose to send to your partner?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","B","","","","","","","","",""
