"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"blur","0","0","blurevent","1","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"","","","","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","pavlovia","0","16","0.0-0.0","","","","","","","","","","","","","",""
"focus","1","8670","focusevent","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"","","","","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","instructions","1","11352","0.0-1.0","[{""page_index"":0,""viewing_time"":11332}]","11333","","","","","","","","","","","",""
"fullscreenenter","2","13518","fullscreenenter","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"","","","","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","fullscreen","2","14470","0.0-2.0","","","true","","","","","","","","","","",""
"","","","","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","instructions","3","44160","0.0-4.0","[{""page_index"":0,""viewing_time"":25704},{""page_index"":1,""viewing_time"":3983}]","29687","","","","","","","","","","","",""
"","","","","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","instructions","4","45545","0.0-5.0","[{""page_index"":0,""viewing_time"":1383}]","1383","","","","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","5","47701","0.0-6.0-1.0","","2046","","trustrating_stim/white_mw066.bmp","7","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","6","47906","0.0-6.0-2.0","","null","","trustrating_stim/white_mw066.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","7","49539","0.0-6.0-1.1","","1527","","trustrating_stim/white_mw022.bmp","6","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","8","49754","0.0-6.0-2.1","","null","","trustrating_stim/white_mw022.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","9","51984","0.0-6.0-1.2","","2124","","trustrating_stim/white_00602_940928_fb_edt.bmp","7","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","10","52194","0.0-6.0-2.2","","null","","trustrating_stim/white_00602_940928_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","11","54280","0.0-6.0-1.3","","1980","","trustrating_stim/white_00223_940128_fb_edt.bmp","4","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","12","54490","0.0-6.0-2.3","","null","","trustrating_stim/white_00223_940128_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","13","56479","0.0-6.0-1.4","","1883","","trustrating_stim/white_mw046.bmp","8","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","14","56682","0.0-6.0-2.4","","null","","trustrating_stim/white_mw046.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","15","58580","0.0-6.0-1.5","","1793","","trustrating_stim/white_mw013.bmp","6","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","16","58788","0.0-6.0-2.5","","null","","trustrating_stim/white_mw013.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","17","60885","0.0-6.0-1.6","","1991","","trustrating_stim/white_mw084.bmp","3","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","18","61092","0.0-6.0-2.6","","null","","trustrating_stim/white_mw084.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","19","62386","0.0-6.0-1.7","","1188","","trustrating_stim/white_mw035.bmp","2","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","20","62591","0.0-6.0-2.7","","null","","trustrating_stim/white_mw035.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","21","64005","0.0-6.0-1.8","","1310","","trustrating_stim/white_mw004.bmp","2","","","","","","","","",""
"","","","ratingFB","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","22","64216","0.0-6.0-2.8","","null","","trustrating_stim/white_mw004.bmp","null","","","","","","","","",""
"","","","rating","","608f2aa883599160c8b87a79","bdp_trlrn","Tue May 11 2021 19:41:49 GMT-0700 (Pacific Daylight Time)","494232","Untrustworthy,Trustworthy","image-keyboard-response","23","65820","0.0-6.0-1.9","","1498","","trustrating_stim/white_mw051.bmp","3","","","","","","","","",""
