"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"pavlovia","0","12","0.0-0.0","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","blur","1","2736","blurevent","1","","","","","","","","","","","","","","","",""
"","","","","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","focus","1","16870","focusevent","","","","","","","","","","","","","","","","",""
"instructions","1","21827","0.0-1.0","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","","","[{""page_index"":0,""viewing_time"":21812}]","21812","","","","","","","","","","","","","",""
"","","","","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","fullscreenenter","2","26302","fullscreenenter","","","","","","","","","","","","","","","","",""
"fullscreen","2","27290","0.0-2.0","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","32413","0.0-4.0","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","","","[{""page_index"":0,""viewing_time"":4081},{""page_index"":1,""viewing_time"":1039}]","5121","","","","","","","","","","","","","",""
"instructions","4","33572","0.0-5.0","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","","","[{""page_index"":0,""viewing_time"":1158}]","1158","","","","","","","","","","","","","",""
"image-keyboard-response","5","36030","0.0-6.0-1.0","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","rating","","","2352","","trustrating_stim/white_00129_931230_fb_edt.bmp","5","","","","","","","","","","",""
"image-keyboard-response","6","36234","0.0-6.0-2.0","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_00129_931230_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","7","38284","0.0-6.0-1.1","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","rating","","","1944","","trustrating_stim/white_00120_931230_fa_edt.bmp","7","","","","","","","","","","",""
"image-keyboard-response","8","38490","0.0-6.0-2.1","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_00120_931230_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","9","40033","0.0-6.0-1.2","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","rating","","","1437","","trustrating_stim/white_mw063.bmp","4","","","","","","","","","","",""
"image-keyboard-response","10","40242","0.0-6.0-2.2","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_mw063.bmp","null","","","","","","","","","","",""
"image-keyboard-response","11","47086","0.0-6.0-1.3","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","rating","","","6738","","trustrating_stim/white_mw089.bmp","4","","","","","","","","","","",""
"image-keyboard-response","12","47290","0.0-6.0-2.3","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_mw089.bmp","null","","","","","","","","","","",""
"image-keyboard-response","13","49301","0.0-6.0-1.4","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","rating","","","1905","","trustrating_stim/white_mw035.bmp","6","","","","","","","","","","",""
"image-keyboard-response","14","49506","0.0-6.0-2.4","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_mw035.bmp","null","","","","","","","","","","",""
"image-keyboard-response","15","51286","0.0-6.0-1.5","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","rating","","","1674","","trustrating_stim/white_mw033.bmp","6","","","","","","","","","","",""
"image-keyboard-response","16","51490","0.0-6.0-2.5","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_mw033.bmp","null","","","","","","","","","","",""
"image-keyboard-response","17","53812","0.0-6.0-1.6","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","rating","","","2217","","trustrating_stim/white_mw046.bmp","3","","","","","","","","","","",""
"image-keyboard-response","18","54018","0.0-6.0-2.6","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_mw046.bmp","null","","","","","","","","","","",""
"image-keyboard-response","19","56916","0.0-6.0-1.7","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","rating","","","2793","","trustrating_stim/white_mw066.bmp","4","","","","","","","","","","",""
"image-keyboard-response","20","57122","0.0-6.0-2.7","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_mw066.bmp","null","","","","","","","","","","",""
"image-keyboard-response","21","59792","0.0-6.0-1.8","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","rating","","","2566","","trustrating_stim/white_mw099.bmp","3","","","","","","","","","","",""
"image-keyboard-response","22","59994","0.0-6.0-2.8","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_mw099.bmp","null","","","","","","","","","","",""
"image-keyboard-response","23","61808","0.0-6.0-1.9","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","rating","","","1692","","trustrating_stim/white_00659_941121_fa_edt.bmp","2","","","","","","","","","","",""
"image-keyboard-response","24","62010","0.0-6.0-2.9","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_00659_941121_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","25","63097","0.0-6.0-1.10","60ff5fb6cbf1bb7de9bf2801","bdp_trlrn","Tue Mar 14 2023 21:26:10 GMT-0400 (Eastern Daylight Time)","633259","Untrustworthy,Trustworthy","","","","rating","","","981","","trustrating_stim/white_00757_941201_fa_edt.bmp","2","","","","","","","","","","",""
