"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"","","","","63e51ddb19fccd05514c629c","bdp_trlrn","Tue Mar 14 2023 10:47:54 GMT-0700 (Pacific Daylight Time)","394219","Untrustworthy,Trustworthy","focus","1","12089","focusevent","","","","","","","","","","","","","","","","",""
"","","","","63e51ddb19fccd05514c629c","bdp_trlrn","Tue Mar 14 2023 10:47:54 GMT-0700 (Pacific Daylight Time)","394219","Untrustworthy,Trustworthy","blur","1","12667","blurevent","","","","","","","","","","","","","","","","",""
"","","","","63e51ddb19fccd05514c629c","bdp_trlrn","Tue Mar 14 2023 10:47:54 GMT-0700 (Pacific Daylight Time)","394219","Untrustworthy,Trustworthy","focus","1","13384","focusevent","","","","","","","","","","","","","","","","",""
"instructions","1","14449","0.0-1.0","63e51ddb19fccd05514c629c","bdp_trlrn","Tue Mar 14 2023 10:47:54 GMT-0700 (Pacific Daylight Time)","394219","Untrustworthy,Trustworthy","","","","","","[{""page_index"":0,""viewing_time"":14446}]","14446","","","","","","","","","","","","","",""
"fullscreen","2","18365","0.0-2.0","63e51ddb19fccd05514c629c","bdp_trlrn","Tue Mar 14 2023 10:47:54 GMT-0700 (Pacific Daylight Time)","394219","Untrustworthy,Trustworthy","","","","","","","","true","","","","","","","","","","","","",""
"","","","","63e51ddb19fccd05514c629c","bdp_trlrn","Tue Mar 14 2023 10:47:54 GMT-0700 (Pacific Daylight Time)","394219","Untrustworthy,Trustworthy","blur","3","19683","blurevent","2","","","","","","","","","","","","","","","",""
"","","","","63e51ddb19fccd05514c629c","bdp_trlrn","Tue Mar 14 2023 10:47:54 GMT-0700 (Pacific Daylight Time)","394219","Untrustworthy,Trustworthy","focus","3","29634","focusevent","","","","","","","","","","","","","","","","",""
"image-keyboard-response","3","29777","0.0-3.0-0.0","63e51ddb19fccd05514c629c","bdp_trlrn","Tue Mar 14 2023 10:47:54 GMT-0700 (Pacific Daylight Time)","394219","Untrustworthy,Trustworthy","","","","fullscreenfail","","","11409","","","32","","","","","","","","","","",""
"instructions","4","35406","0.0-4.0","63e51ddb19fccd05514c629c","bdp_trlrn","Tue Mar 14 2023 10:47:54 GMT-0700 (Pacific Daylight Time)","394219","Untrustworthy,Trustworthy","","","","","","[{""page_index"":0,""viewing_time"":3984},{""page_index"":1,""viewing_time"":1394}]","5378","","","","","","","","","","","","","",""
"instructions","5","36073","0.0-5.0","63e51ddb19fccd05514c629c","bdp_trlrn","Tue Mar 14 2023 10:47:54 GMT-0700 (Pacific Daylight Time)","394219","Untrustworthy,Trustworthy","","","","","","[{""page_index"":0,""viewing_time"":665}]","665","","","","","","","","","","","","","",""
