"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","numBlurs","view_history","rt","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"focus","0","0","focusevent","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","pavlovia","0","3","0.0-0.0","","","","","","","","","","","","","","","","",""
"blur","1","2690","blurevent","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","","","","","1","","","","","","","","","","","","","","","",""
"focus","1","17511","focusevent","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","instructions","1","19294","0.0-1.0","","[{""page_index"":0,""viewing_time"":19291}]","19291","","","","","","","","","","","","","",""
"fullscreenenter","2","23170","fullscreenenter","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","fullscreen","2","24158","0.0-2.0","","","","true","","","","","","","","","","","","",""
"","","","","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","instructions","3","43018","0.0-4.0","","[{""page_index"":0,""viewing_time"":9225},{""page_index"":1,""viewing_time"":9629}]","18854","","","","","","","","","","","","","",""
"","","","","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","instructions","4","44231","0.0-5.0","","[{""page_index"":0,""viewing_time"":1211}]","1211","","","","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","5","49882","0.0-6.0-1.0","","","5542","","trustrating_stim/white_00577_940928_fa_edt.bmp","2","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","6","50087","0.0-6.0-2.0","","","null","","trustrating_stim/white_00577_940928_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","7","51983","0.0-6.0-1.1","","","1779","","trustrating_stim/white_00785_941205_fb_edt.bmp","1","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","8","52197","0.0-6.0-2.1","","","null","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","9","54737","0.0-6.0-1.2","","","2434","","trustrating_stim/white_00299_940422_fa_edt.bmp","4","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","10","54952","0.0-6.0-2.2","","","null","","trustrating_stim/white_00299_940422_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","11","57294","0.0-6.0-1.3","","","2236","","trustrating_stim/white_00898_960530_fa_edt.bmp","6","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","12","57503","0.0-6.0-2.3","","","null","","trustrating_stim/white_00898_960530_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","13","59576","0.0-6.0-1.4","","","1959","","trustrating_stim/white_mw060.bmp","2","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","14","59791","0.0-6.0-2.4","","","null","","trustrating_stim/white_mw060.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","15","70203","0.0-6.0-1.5","","","10304","","trustrating_stim/white_00223_940128_fb_edt.bmp","7","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","16","70420","0.0-6.0-2.5","","","null","","trustrating_stim/white_00223_940128_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","17","71813","0.0-6.0-1.6","","","1275","","trustrating_stim/white_00659_941121_fa_edt.bmp","6","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","18","72015","0.0-6.0-2.6","","","null","","trustrating_stim/white_00659_941121_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","19","74257","0.0-6.0-1.7","","","2136","","trustrating_stim/white_mw049.bmp","3","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","20","74473","0.0-6.0-2.7","","","null","","trustrating_stim/white_mw049.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","21","75967","0.0-6.0-1.8","","","1386","","trustrating_stim/white_00757_941201_fa_edt.bmp","9","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","22","76178","0.0-6.0-2.8","","","null","","trustrating_stim/white_00757_941201_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","23","79295","0.0-6.0-1.9","","","3000","","trustrating_stim/white_00340_940422_fa_edt.bmp","7","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","24","79510","0.0-6.0-2.9","","","null","","trustrating_stim/white_00340_940422_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","25","81246","0.0-6.0-1.10","","","1633","","trustrating_stim/white_mw099.bmp","5","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","26","81455","0.0-6.0-2.10","","","null","","trustrating_stim/white_mw099.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","27","86179","0.0-6.0-1.11","","","4621","","trustrating_stim/white_mw071.bmp","5","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","28","86383","0.0-6.0-2.11","","","null","","trustrating_stim/white_mw071.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","29","88045","0.0-6.0-1.12","","","1557","","trustrating_stim/white_mw046.bmp","6","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","30","88262","0.0-6.0-2.12","","","null","","trustrating_stim/white_mw046.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","31","90235","0.0-6.0-1.13","","","1859","","trustrating_stim/white_00807_941205_fb_edt.bmp","7","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","32","90449","0.0-6.0-2.13","","","null","","trustrating_stim/white_00807_941205_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","33","92115","0.0-6.0-1.14","","","1551","","trustrating_stim/white_00109_931230_fa_edt.bmp","5","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","34","92331","0.0-6.0-2.14","","","null","","trustrating_stim/white_00109_931230_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","35","94654","0.0-6.0-1.15","","","2207","","trustrating_stim/white_mw084.bmp","3","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","36","94867","0.0-6.0-2.15","","","null","","trustrating_stim/white_mw084.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","37","96269","0.0-6.0-1.16","","","1287","","trustrating_stim/white_00519_940519_fb_edt.bmp","3","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","38","96484","0.0-6.0-2.16","","","null","","trustrating_stim/white_00519_940519_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","39","99582","0.0-6.0-1.17","","","2991","","trustrating_stim/white_00602_940928_fb_edt.bmp","2","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","40","99793","0.0-6.0-2.17","","","null","","trustrating_stim/white_00602_940928_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","41","102483","0.0-6.0-1.18","","","2584","","trustrating_stim/white_00761_941201_fb_edt.bmp","7","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","42","102697","0.0-6.0-2.18","","","null","","trustrating_stim/white_00761_941201_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","43","104420","0.0-6.0-1.19","","","1607","","trustrating_stim/white_00120_931230_fa_edt.bmp","5","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","44","104635","0.0-6.0-2.19","","","null","","trustrating_stim/white_00120_931230_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","45","106097","0.0-6.0-1.20","","","1358","","trustrating_stim/white_mw097.bmp","9","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","46","106313","0.0-6.0-2.20","","","null","","trustrating_stim/white_mw097.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","47","108256","0.0-6.0-1.21","","","1829","","trustrating_stim/white_mw056.bmp","6","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","48","108471","0.0-6.0-2.21","","","null","","trustrating_stim/white_mw056.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","49","111705","0.0-6.0-1.22","","","3128","","trustrating_stim/white_mw033.bmp","5","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","50","111917","0.0-6.0-2.22","","","null","","trustrating_stim/white_mw033.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","51","113907","0.0-6.0-1.23","","","1884","","trustrating_stim/white_mw089.bmp","7","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","52","114124","0.0-6.0-2.23","","","null","","trustrating_stim/white_mw089.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","53","115990","0.0-6.0-1.24","","","1750","","trustrating_stim/white_mw066.bmp","6","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","54","116207","0.0-6.0-2.24","","","null","","trustrating_stim/white_mw066.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","55","118538","0.0-6.0-1.25","","","2220","","trustrating_stim/white_mw063.bmp","6","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","56","118755","0.0-6.0-2.25","","","null","","trustrating_stim/white_mw063.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","57","120683","0.0-6.0-1.26","","","1812","","trustrating_stim/white_00129_931230_fb_edt.bmp","3","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","58","120897","0.0-6.0-2.26","","","null","","trustrating_stim/white_00129_931230_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","59","122149","0.0-6.0-1.27","","","1136","","trustrating_stim/white_mw053.bmp","3","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","60","122369","0.0-6.0-2.27","","","null","","trustrating_stim/white_mw053.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","61","125044","0.0-6.0-1.28","","","2560","","trustrating_stim/white_mw048.bmp","7","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","62","125258","0.0-6.0-2.28","","","null","","trustrating_stim/white_mw048.bmp","null","","","","","","","","","","",""
"","","","rating","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","63","127502","0.0-6.0-1.29","","","2142","","trustrating_stim/white_mw035.bmp","2","","","","","","","","","","",""
"","","","ratingFB","63ed12d2c25b08ba24fe8a41","bdp_trlrn","Fri Mar 10 2023 11:26:50 GMT-0800 (Pacific Standard Time)","846621","Trustworthy,Untrustworthy","image-keyboard-response","64","127717","0.0-6.0-2.29","","","null","","trustrating_stim/white_mw035.bmp","null","","","","","","","","","","",""
