"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","numBlurs","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"focus","0","0","focusevent","5f721a81ee2a860fe028a8a4","bdp_trlrn","Sat Apr 08 2023 08:31:44 GMT-0700 (Pacific Daylight Time)","685836","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","5f721a81ee2a860fe028a8a4","bdp_trlrn","Sat Apr 08 2023 08:31:44 GMT-0700 (Pacific Daylight Time)","685836","Untrustworthy,Trustworthy","pavlovia","0","5","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","5f721a81ee2a860fe028a8a4","bdp_trlrn","Sat Apr 08 2023 08:31:44 GMT-0700 (Pacific Daylight Time)","685836","Untrustworthy,Trustworthy","instructions","1","6964","0.0-1.0","[{""page_index"":0,""viewing_time"":6958}]","6958","","","","","","","","","","","","","","",""
"fullscreenexit","2","11950","fullscreenexit","5f721a81ee2a860fe028a8a4","bdp_trlrn","Sat Apr 08 2023 08:31:44 GMT-0700 (Pacific Daylight Time)","685836","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","5f721a81ee2a860fe028a8a4","bdp_trlrn","Sat Apr 08 2023 08:31:44 GMT-0700 (Pacific Daylight Time)","685836","Untrustworthy,Trustworthy","fullscreen","2","12745","0.0-2.0","","","true","","","","","","","","","","","","","",""
"fullscreenexit","3","16274","fullscreenexit","5f721a81ee2a860fe028a8a4","bdp_trlrn","Sat Apr 08 2023 08:31:44 GMT-0700 (Pacific Daylight Time)","685836","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreenfail","5f721a81ee2a860fe028a8a4","bdp_trlrn","Sat Apr 08 2023 08:31:44 GMT-0700 (Pacific Daylight Time)","685836","Untrustworthy,Trustworthy","image-keyboard-response","3","16692","0.0-3.0-0.0","","3945","","","32","","","","","","","","","","","",""
"blur","4","20671","blurevent","5f721a81ee2a860fe028a8a4","bdp_trlrn","Sat Apr 08 2023 08:31:44 GMT-0700 (Pacific Daylight Time)","685836","Untrustworthy,Trustworthy","","","","","","","","","","1","","","","","","","","","","",""
"focus","4","21850","focusevent","5f721a81ee2a860fe028a8a4","bdp_trlrn","Sat Apr 08 2023 08:31:44 GMT-0700 (Pacific Daylight Time)","685836","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","5f721a81ee2a860fe028a8a4","bdp_trlrn","Sat Apr 08 2023 08:31:44 GMT-0700 (Pacific Daylight Time)","685836","Untrustworthy,Trustworthy","instructions","4","33507","0.0-4.0","[{""page_index"":0,""viewing_time"":15109},{""page_index"":1,""viewing_time"":1456}]","16565","","","","","","","","","","","","","","",""
"","","","","5f721a81ee2a860fe028a8a4","bdp_trlrn","Sat Apr 08 2023 08:31:44 GMT-0700 (Pacific Daylight Time)","685836","Untrustworthy,Trustworthy","instructions","5","34516","0.0-5.0","[{""page_index"":0,""viewing_time"":1007}]","1007","","","","","","","","","","","","","","",""
"","","","rating","5f721a81ee2a860fe028a8a4","bdp_trlrn","Sat Apr 08 2023 08:31:44 GMT-0700 (Pacific Daylight Time)","685836","Untrustworthy,Trustworthy","image-keyboard-response","6","44787","0.0-6.0-1.0","","10168","","trustrating_stim/white_00659_941121_fa_edt.bmp","5","","","","","","","","","","","",""
"","","","ratingFB","5f721a81ee2a860fe028a8a4","bdp_trlrn","Sat Apr 08 2023 08:31:44 GMT-0700 (Pacific Daylight Time)","685836","Untrustworthy,Trustworthy","image-keyboard-response","7","44996","0.0-6.0-2.0","","null","","trustrating_stim/white_00659_941121_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","5f721a81ee2a860fe028a8a4","bdp_trlrn","Sat Apr 08 2023 08:31:44 GMT-0700 (Pacific Daylight Time)","685836","Untrustworthy,Trustworthy","image-keyboard-response","8","49491","0.0-6.0-1.1","","4385","","trustrating_stim/white_00129_931230_fb_edt.bmp","6","","","","","","","","","","","",""
