"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","numBlurs"
"pavlovia","0","6","0.0-0.0","","","","","","","","","",""
"instructions","1","3388","0.0-1.0","[{""page_index"":0,""viewing_time"":3382}]","3382","","","","","","","",""
"","","","","","","fullscreenenter","2","5384","fullscreenenter","","","",""
"fullscreen","2","6381","0.0-2.0","","","","","","","true","","",""
"instructions","3","31896","0.0-4.0","[{""page_index"":0,""viewing_time"":13023},{""page_index"":1,""viewing_time"":12489}]","25513","","","","","","","",""
"instructions","4","33065","0.0-5.0","[{""page_index"":0,""viewing_time"":1168}]","1168","","","","","","","",""
"image-keyboard-response","5","37790","0.0-6.0-1.0","","4616","","","","rating","","trustrating_stim/white_00340_940422_fa_edt.bmp","2",""
"image-keyboard-response","6","37995","0.0-6.0-2.0","","null","","","","ratingFB","","trustrating_stim/white_00340_940422_fa_edt.bmp","null",""
"image-keyboard-response","7","40557","0.0-6.0-1.1","","2449","","","","rating","","trustrating_stim/white_00757_941201_fa_edt.bmp","3",""
"image-keyboard-response","8","40764","0.0-6.0-2.1","","null","","","","ratingFB","","trustrating_stim/white_00757_941201_fa_edt.bmp","null",""
"","","","","","","fullscreenexit","9","41617","fullscreenexit","","","",""
"","","","","","","blur","9","232762","blurevent","","","","1"
"","","","","","","focus","9","232768","focusevent","","","",""
