"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","numBlurs","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"focus","0","0","focusevent","63f58712a2c1bd62fa7bb352","bdp_trlrn","Tue Mar 14 2023 18:50:01 GMT-0600 (Mountain Daylight Time)","490039","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_trlrn","Tue Mar 14 2023 18:50:01 GMT-0600 (Mountain Daylight Time)","490039","Trustworthy,Untrustworthy","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_trlrn","Tue Mar 14 2023 18:50:01 GMT-0600 (Mountain Daylight Time)","490039","Trustworthy,Untrustworthy","instructions","1","3393","0.0-1.0","[{""page_index"":0,""viewing_time"":3390}]","3390","","","","","","","","","","","","","","",""
"fullscreenexit","2","5984","fullscreenexit","63f58712a2c1bd62fa7bb352","bdp_trlrn","Tue Mar 14 2023 18:50:01 GMT-0600 (Mountain Daylight Time)","490039","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_trlrn","Tue Mar 14 2023 18:50:01 GMT-0600 (Mountain Daylight Time)","490039","Trustworthy,Untrustworthy","fullscreen","2","6790","0.0-2.0","","","true","","","","","","","","","","","","","",""
"","","","fullscreenfail","63f58712a2c1bd62fa7bb352","bdp_trlrn","Tue Mar 14 2023 18:50:01 GMT-0600 (Mountain Daylight Time)","490039","Trustworthy,Untrustworthy","image-keyboard-response","3","8721","0.0-3.0-0.0","","1930","","","32","","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_trlrn","Tue Mar 14 2023 18:50:01 GMT-0600 (Mountain Daylight Time)","490039","Trustworthy,Untrustworthy","instructions","4","22906","0.0-4.0","[{""page_index"":0,""viewing_time"":13290},{""page_index"":1,""viewing_time"":639}]","13929","","","","","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_trlrn","Tue Mar 14 2023 18:50:01 GMT-0600 (Mountain Daylight Time)","490039","Trustworthy,Untrustworthy","instructions","5","23859","0.0-5.0","[{""page_index"":0,""viewing_time"":952}]","952","","","","","","","","","","","","","","",""
"","","","rating","63f58712a2c1bd62fa7bb352","bdp_trlrn","Tue Mar 14 2023 18:50:01 GMT-0600 (Mountain Daylight Time)","490039","Trustworthy,Untrustworthy","image-keyboard-response","6","28091","0.0-6.0-1.0","","4129","","trustrating_stim/white_mw056.bmp","5","","","","","","","","","","","",""
"","","","ratingFB","63f58712a2c1bd62fa7bb352","bdp_trlrn","Tue Mar 14 2023 18:50:01 GMT-0600 (Mountain Daylight Time)","490039","Trustworthy,Untrustworthy","image-keyboard-response","7","28304","0.0-6.0-2.0","","null","","trustrating_stim/white_mw056.bmp","null","","","","","","","","","","","",""
"","","","rating","63f58712a2c1bd62fa7bb352","bdp_trlrn","Tue Mar 14 2023 18:50:01 GMT-0600 (Mountain Daylight Time)","490039","Trustworthy,Untrustworthy","image-keyboard-response","8","29612","0.0-6.0-1.1","","1206","","trustrating_stim/white_00757_941201_fa_edt.bmp","5","","","","","","","","","","","",""
"","","","ratingFB","63f58712a2c1bd62fa7bb352","bdp_trlrn","Tue Mar 14 2023 18:50:01 GMT-0600 (Mountain Daylight Time)","490039","Trustworthy,Untrustworthy","image-keyboard-response","9","29820","0.0-6.0-2.1","","null","","trustrating_stim/white_00757_941201_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63f58712a2c1bd62fa7bb352","bdp_trlrn","Tue Mar 14 2023 18:50:01 GMT-0600 (Mountain Daylight Time)","490039","Trustworthy,Untrustworthy","image-keyboard-response","10","30692","0.0-6.0-1.2","","770","","trustrating_stim/white_00807_941205_fb_edt.bmp","6","","","","","","","","","","","",""
"blur","11","30809","blurevent","63f58712a2c1bd62fa7bb352","bdp_trlrn","Tue Mar 14 2023 18:50:01 GMT-0600 (Mountain Daylight Time)","490039","Trustworthy,Untrustworthy","","","","","","","","","","1","","","","","","","","","","",""
"","","","ratingFB","63f58712a2c1bd62fa7bb352","bdp_trlrn","Tue Mar 14 2023 18:50:01 GMT-0600 (Mountain Daylight Time)","490039","Trustworthy,Untrustworthy","image-keyboard-response","11","30903","0.0-6.0-2.2","","null","","trustrating_stim/white_00807_941205_fb_edt.bmp","null","","","","","","","","","","","",""
"focus","12","32931","focusevent","63f58712a2c1bd62fa7bb352","bdp_trlrn","Tue Mar 14 2023 18:50:01 GMT-0600 (Mountain Daylight Time)","490039","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","blurwarn","63f58712a2c1bd62fa7bb352","bdp_trlrn","Tue Mar 14 2023 18:50:01 GMT-0600 (Mountain Daylight Time)","490039","Trustworthy,Untrustworthy","image-keyboard-response","12","41060","0.0-6.0-0.3-0.3","","10040","","","49","1","","","","","","","","","","",""
"","","","rating","63f58712a2c1bd62fa7bb352","bdp_trlrn","Tue Mar 14 2023 18:50:01 GMT-0600 (Mountain Daylight Time)","490039","Trustworthy,Untrustworthy","image-keyboard-response","13","42924","0.0-6.0-1.3","","1606","","trustrating_stim/white_00299_940422_fa_edt.bmp","6","","","","","","","","","","","",""
"","","","ratingFB","63f58712a2c1bd62fa7bb352","bdp_trlrn","Tue Mar 14 2023 18:50:01 GMT-0600 (Mountain Daylight Time)","490039","Trustworthy,Untrustworthy","image-keyboard-response","14","43129","0.0-6.0-2.3","","null","","trustrating_stim/white_00299_940422_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63f58712a2c1bd62fa7bb352","bdp_trlrn","Tue Mar 14 2023 18:50:01 GMT-0600 (Mountain Daylight Time)","490039","Trustworthy,Untrustworthy","image-keyboard-response","15","45445","0.0-6.0-1.4","","2214","","trustrating_stim/white_mw049.bmp","8","","","","","","","","","","","",""
