"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","numBlurs","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"focus","0","0","focusevent","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","pavlovia","0","8","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","instructions","1","6687","0.0-1.0","[{""page_index"":0,""viewing_time"":6677}]","6677","","","","","","","","","","","","","","",""
"fullscreenexit","2","11990","fullscreenexit","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","fullscreen","2","12986","0.0-2.0","","","true","","","","","","","","","","","","","",""
"","","","fullscreenfail","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","3","23055","0.0-3.0-0.0","","10067","","","32","","","","","","","","","","","",""
"blur","4","77997","blurevent","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","","","","","","","","","","1","","","","","","","","","","",""
"focus","4","78205","focusevent","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"blur","4","78396","blurevent","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"focus","4","78568","focusevent","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
